source,target,relation,weight,mentions,evidence,seed_edge,feature_importance,rank,source_feature,cohort,age_band,density_bin,network_cohort,network_age_band,outcome,panel,drug,gene,importance_norm,inv_rank_norm,tier_weight,context_tags,primary_context,intervention_priority
ABCB1,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8.0,item_drug_SIMVASTATIN,ed,65-74,all,ed,65-74,ED,ED 65-74,SIMVASTATIN,ABCB1,0.1463690119430743,0.125,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.11068450597153714
ADD1,FUROSEMIDE,feature_importance_drug_gene,0.1152159212045888,,Top consensus drug feature rank 6; combined importance 0.1152,True,0.1152159212045888,6.0,item_drug_FUROSEMIDE,ed,65-74,all,ed,65-74,ED,ED 65-74,FUROSEMIDE,ADD1,0.29235178296937514,0.16666666666666666,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.3961758914846875
ADRA2C,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1.0,item_drug_CARVEDILOL,ed,65-74,all,ed,65-74,ED,ED 65-74,CARVEDILOL,ADRA2C,1.0,1.0,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,1.0
ADRA2C,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 24; combined importance 0.0009,True,0.0008534541696594,24.0,item_drug_ATENOLOL,ed,65-74,all,ed,65-74,ED,ED 65-74,ATENOLOL,ADRA2C,0.0021655761250176575,0.041666666666666664,1.2,underappreciated_signaling,underappreciated_signaling,0.21358278806250877
ADRB1,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1.0,item_drug_CARVEDILOL,ed,65-74,all,ed,65-74,ED,ED 65-74,CARVEDILOL,ADRB1,1.0,1.0,1.0,dynamics,dynamics,0.8
ADRB1,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 24; combined importance 0.0009,True,0.0008534541696594,24.0,item_drug_ATENOLOL,ed,65-74,all,ed,65-74,ED,ED 65-74,ATENOLOL,ADRB1,0.0021655761250176575,0.041666666666666664,1.0,context_review,context_review,0.013582788062508828
ADRB2,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1.0,item_drug_CARVEDILOL,ed,65-74,all,ed,65-74,ED,ED 65-74,CARVEDILOL,ADRB2,1.0,1.0,1.0,dynamics,dynamics,0.8
CES1,CLOPIDOGREL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 21; combined importance 0.0078,True,0.0077854785147482,21.0,item_drug_CLOPIDOGREL,ed,65-74,all,ed,65-74,ED,ED 65-74,CLOPIDOGREL,CES1,0.019755069449253742,0.047619047619047616,1.2,kinetics,kinetics,0.22416324901034113
CETP,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8.0,item_drug_SIMVASTATIN,ed,65-74,all,ed,65-74,ED,ED 65-74,SIMVASTATIN,CETP,0.1463690119430743,0.125,1.2,dynamics;underappreciated_signaling,underappreciated_signaling,0.3106845059715371
CYP2C19,OMEPRAZOLE,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 17; combined importance 0.0134,True,0.0134331774560239,17.0,item_drug_OMEPRAZOLE,ed,65-74,all,ed,65-74,ED,ED 65-74,OMEPRAZOLE,CYP2C19,0.034085683116997806,0.058823529411764705,1.0,dynamics;kinetics;kinetic_pathways,kinetic_pathways,0.034689900382028314
