context,cohort,age_band,panel,gene,drug,feature_importance,intervention_priority
dynamics,ed,65-74,ED 65-74,ABCB1,SIMVASTATIN,0.0576840694301267,0.11068450597153714
kinetics,ed,65-74,ED 65-74,ABCB1,SIMVASTATIN,0.0576840694301267,0.11068450597153714
kinetic_pathways,ed,65-74,ED 65-74,ABCB1,SIMVASTATIN,0.0576840694301267,0.11068450597153714
dynamics,ed,65-74,ED 65-74,ADD1,FUROSEMIDE,0.1152159212045888,0.3961758914846875
underappreciated_signaling,ed,65-74,ED 65-74,ADD1,FUROSEMIDE,0.1152159212045888,0.3961758914846875
dynamics,ed,65-74,ED 65-74,ADRA2C,CARVEDILOL,0.3941002857391777,1.0
underappreciated_signaling,ed,65-74,ED 65-74,ADRA2C,CARVEDILOL,0.3941002857391777,1.0
underappreciated_signaling,ed,65-74,ED 65-74,ADRA2C,ATENOLOL,0.0008534541696594,0.21358278806250877
dynamics,ed,65-74,ED 65-74,ADRB1,CARVEDILOL,0.3941002857391777,0.8
context_review,ed,65-74,ED 65-74,ADRB1,ATENOLOL,0.0008534541696594,0.013582788062508828
dynamics,ed,65-74,ED 65-74,ADRB2,CARVEDILOL,0.3941002857391777,0.8
kinetics,ed,65-74,ED 65-74,CES1,CLOPIDOGREL,0.0077854785147482,0.22416324901034113
dynamics,ed,65-74,ED 65-74,CETP,SIMVASTATIN,0.0576840694301267,0.3106845059715371
underappreciated_signaling,ed,65-74,ED 65-74,CETP,SIMVASTATIN,0.0576840694301267,0.3106845059715371
dynamics,ed,65-74,ED 65-74,CYP2C19,OMEPRAZOLE,0.0134331774560239,0.034689900382028314
kinetics,ed,65-74,ED 65-74,CYP2C19,OMEPRAZOLE,0.0134331774560239,0.034689900382028314
kinetic_pathways,ed,65-74,ED 65-74,CYP2C19,OMEPRAZOLE,0.0134331774560239,0.034689900382028314
kinetics,ed,65-74,ED 65-74,CYP2C19,CLOPIDOGREL,0.0077854785147482,0.024163249010341156
context_review,ed,65-74,ED 65-74,CYP2C8,IBUPROFEN,0.0403084051909705,0.08113978173774694
context_review,ed,65-74,ED 65-74,CYP2C9,IBUPROFEN,0.0403084051909705,0.08113978173774694
context_review,ed,65-74,ED 65-74,CYP2C9,MELOXICAM,0.0229784095416196,0.052229920896400814
context_review,ed,65-74,ED 65-74,CYP2C9,NAPROXEN,0.0004144450712703,0.012525811685841541
dynamics,ed,65-74,ED 65-74,CYP2D6,CARVEDILOL,0.3941002857391777,0.8
kinetics,ed,65-74,ED 65-74,CYP2D6,CARVEDILOL,0.3941002857391777,0.8
kinetic_pathways,ed,65-74,ED 65-74,CYP2D6,CARVEDILOL,0.3941002857391777,0.8
dynamics,ed,65-74,ED 65-74,CYP3A4,SIMVASTATIN,0.0576840694301267,0.11068450597153714
kinetics,ed,65-74,ED 65-74,CYP3A4,SIMVASTATIN,0.0576840694301267,0.11068450597153714
kinetic_pathways,ed,65-74,ED 65-74,CYP3A4,SIMVASTATIN,0.0576840694301267,0.11068450597153714
dynamics,ed,65-74,ED 65-74,CYP3A5,SIMVASTATIN,0.0576840694301267,0.11068450597153714
kinetics,ed,65-74,ED 65-74,CYP3A5,SIMVASTATIN,0.0576840694301267,0.11068450597153714
kinetic_pathways,ed,65-74,ED 65-74,CYP3A5,SIMVASTATIN,0.0576840694301267,0.11068450597153714
context_review,ed,65-74,ED 65-74,G6PD,OFLOXACIN,0.0017422174199157,0.015846736836991976
dynamics,ed,65-74,ED 65-74,GRK4,CARVEDILOL,0.3941002857391777,1.0
underappreciated_signaling,ed,65-74,ED 65-74,GRK4,CARVEDILOL,0.3941002857391777,1.0
underappreciated_signaling,ed,65-74,ED 65-74,GRK4,ATENOLOL,0.0008534541696594,0.21358278806250877
dynamics,ed,65-74,ED 65-74,GRK5,CARVEDILOL,0.3941002857391777,1.0
underappreciated_signaling,ed,65-74,ED 65-74,GRK5,CARVEDILOL,0.3941002857391777,1.0
underappreciated_signaling,ed,65-74,ED 65-74,GRK5,ATENOLOL,0.0008534541696594,0.21358278806250877
allergic_response,ed,65-74,ED 65-74,HLA-A,ALLOPURINOL,0.0210520503320137,0.048137573037804346
allergic_response,ed,65-74,ED 65-74,HLA-B,ALLOPURINOL,0.0210520503320137,0.048137573037804346
allergic_response,ed,65-74,ED 65-74,HLA-C,ALLOPURINOL,0.0210520503320137,0.048137573037804346
dynamics,ed,65-74,ED 65-74,HMGCR,SIMVASTATIN,0.0576840694301267,0.11068450597153714
underappreciated_signaling,ed,65-74,ED 65-74,HMGCR,SIMVASTATIN,0.0576840694301267,0.11068450597153714
dynamics,ed,65-74,ED 65-74,LPA,SIMVASTATIN,0.0576840694301267,0.3106845059715371
underappreciated_signaling,ed,65-74,ED 65-74,LPA,SIMVASTATIN,0.0576840694301267,0.3106845059715371
dynamics,ed,65-74,ED 65-74,NEDD4L,HYDROCHLOROTHIAZIDE,0.0134934340370799,0.23586928984239566
underappreciated_signaling,ed,65-74,ED 65-74,NEDD4L,HYDROCHLOROTHIAZIDE,0.0134934340370799,0.23586928984239566
dynamics,ed,65-74,ED 65-74,PRKCA,HYDROCHLOROTHIAZIDE,0.0134934340370799,0.23586928984239566
underappreciated_signaling,ed,65-74,ED 65-74,PRKCA,HYDROCHLOROTHIAZIDE,0.0134934340370799,0.23586928984239566
underappreciated_signaling,ed,65-74,ED 65-74,PTGFR,LATANOPROST,0.0112290876601472,0.2309131517194316
dynamics,ed,65-74,ED 65-74,SLCO1B1,SIMVASTATIN,0.0576840694301267,0.11068450597153714
kinetics,ed,65-74,ED 65-74,SLCO1B1,SIMVASTATIN,0.0576840694301267,0.11068450597153714
kinetic_pathways,ed,65-74,ED 65-74,SLCO1B1,SIMVASTATIN,0.0576840694301267,0.11068450597153714
dynamics,ed,65-74,ED 65-74,YEATS4,HYDROCHLOROTHIAZIDE,0.0134934340370799,0.23586928984239566
underappreciated_signaling,ed,65-74,ED 65-74,YEATS4,HYDROCHLOROTHIAZIDE,0.0134934340370799,0.23586928984239566
dynamics,ed,75-84,ED 75-84,ABCB1,SIMVASTATIN,0.0628544048775277,0.4156508266488471
kinetics,ed,75-84,ED 75-84,ABCB1,SIMVASTATIN,0.0628544048775277,0.4156508266488471
kinetic_pathways,ed,75-84,ED 75-84,ABCB1,SIMVASTATIN,0.0628544048775277,0.4156508266488471
dynamics,ed,75-84,ED 75-84,ADRA2C,CARVEDILOL,0.07040110649759,0.7015479856454467
underappreciated_signaling,ed,75-84,ED 75-84,ADRA2C,CARVEDILOL,0.07040110649759,0.7015479856454467
underappreciated_signaling,ed,75-84,ED 75-84,ADRA2C,ATENOLOL,0.0049709752911674,0.2977042893370274
dynamics,ed,75-84,ED 75-84,ADRB1,CARVEDILOL,0.07040110649759,0.5015479856454468
context_review,ed,75-84,ED 75-84,ADRB1,ATENOLOL,0.0049709752911674,0.09770428933702743
dynamics,ed,75-84,ED 75-84,ADRB2,CARVEDILOL,0.07040110649759,0.5015479856454468
dynamics,ed,75-84,ED 75-84,CETP,SIMVASTATIN,0.0628544048775277,0.6156508266488471
underappreciated_signaling,ed,75-84,ED 75-84,CETP,SIMVASTATIN,0.0628544048775277,0.6156508266488471
dynamics,ed,75-84,ED 75-84,CYP2C19,OMEPRAZOLE,0.0439853916043712,0.30089761044729985
kinetics,ed,75-84,ED 75-84,CYP2C19,OMEPRAZOLE,0.0439853916043712,0.30089761044729985
kinetic_pathways,ed,75-84,ED 75-84,CYP2C19,OMEPRAZOLE,0.0439853916043712,0.30089761044729985
dynamics,ed,75-84,ED 75-84,CYP2D6,CARVEDILOL,0.07040110649759,0.5015479856454468
kinetics,ed,75-84,ED 75-84,CYP2D6,CARVEDILOL,0.07040110649759,0.5015479856454468
kinetic_pathways,ed,75-84,ED 75-84,CYP2D6,CARVEDILOL,0.07040110649759,0.5015479856454468
dynamics,ed,75-84,ED 75-84,CYP3A4,SIMVASTATIN,0.0628544048775277,0.4156508266488471
kinetics,ed,75-84,ED 75-84,CYP3A4,SIMVASTATIN,0.0628544048775277,0.4156508266488471
kinetic_pathways,ed,75-84,ED 75-84,CYP3A4,SIMVASTATIN,0.0628544048775277,0.4156508266488471
dynamics,ed,75-84,ED 75-84,CYP3A5,SIMVASTATIN,0.0628544048775277,0.4156508266488471
kinetics,ed,75-84,ED 75-84,CYP3A5,SIMVASTATIN,0.0628544048775277,0.4156508266488471
kinetic_pathways,ed,75-84,ED 75-84,CYP3A5,SIMVASTATIN,0.0628544048775277,0.4156508266488471
dynamics,ed,75-84,ED 75-84,GRK4,CARVEDILOL,0.07040110649759,0.7015479856454467
underappreciated_signaling,ed,75-84,ED 75-84,GRK4,CARVEDILOL,0.07040110649759,0.7015479856454467
underappreciated_signaling,ed,75-84,ED 75-84,GRK4,ATENOLOL,0.0049709752911674,0.2977042893370274
dynamics,ed,75-84,ED 75-84,GRK5,CARVEDILOL,0.07040110649759,0.7015479856454467
underappreciated_signaling,ed,75-84,ED 75-84,GRK5,CARVEDILOL,0.07040110649759,0.7015479856454467
underappreciated_signaling,ed,75-84,ED 75-84,GRK5,ATENOLOL,0.0049709752911674,0.2977042893370274
dynamics,ed,75-84,ED 75-84,HMGCR,SIMVASTATIN,0.0628544048775277,0.4156508266488471
