cohort_name,year,drug_name,frequency
opioid_ed,2016,SUBOXONE,33129
opioid_ed,2016,GABAPENTIN,22951
opioid_ed,2016,BUPRENORPHINE HCL/NALOXON,14891
opioid_ed,2016,CLONAZEPAM,13331
opioid_ed,2016,OXYCODONE HYDROCHLORIDE,12336
opioid_ed,2016,OXYCODONE/ACETAMINOPHEN,9682
opioid_ed,2016,ALPRAZOLAM,9508
opioid_ed,2016,HYDROCODONE BITARTRATE/AC,8773
opioid_ed,2016,TRAZODONE HYDROCHLORIDE,8102
opioid_ed,2016,BUPRENORPHINE HCL,7719
opioid_ed,2016,OMEPRAZOLE,7389
opioid_ed,2016,QUETIAPINE FUMARATE,7083
opioid_ed,2016,LISINOPRIL,6300
opioid_ed,2016,LEVOTHYROXINE SODIUM,5874
opioid_ed,2016,DULOXETINE HYDROCHLORIDE,4819
opioid_ed,2016,BUPROPION HYDROCHLORIDE E,4666
opioid_ed,2016,FUROSEMIDE,4477
opioid_ed,2016,AMPHETAMINE/DEXTROAMPHETA,4470
opioid_ed,2016,ATORVASTATIN CALCIUM,4319
opioid_ed,2016,CYCLOBENZAPRINE HYDROCHLO,4240
opioid_ed,2016,AMLODIPINE BESYLATE,4236
opioid_ed,2016,PREDNISONE,4062
opioid_ed,2016,PANTOPRAZOLE SODIUM,3935
opioid_ed,2016,ESCITALOPRAM OXALATE,3801
opioid_ed,2016,TRAMADOL HCL,3671
opioid_ed,2016,CITALOPRAM HYDROBROMIDE,3632
opioid_ed,2016,MORPHINE SULFATE ER,3573
opioid_ed,2016,PROMETHAZINE HYDROCHLORID,3546
opioid_ed,2016,ZOLPIDEM TARTRATE,3539
opioid_ed,2016,PROAIR HFA,3531
opioid_ed,2016,CLONIDINE HYDROCHLORIDE,3441
opioid_ed,2016,IBUPROFEN,3399
opioid_ed,2016,DIAZEPAM,3308
opioid_ed,2016,TIZANIDINE HYDROCHLORIDE,3273
opioid_ed,2016,LYRICA,3221
opioid_ed,2016,METFORMIN HYDROCHLORIDE,3172
opioid_ed,2016,LAMOTRIGINE,3134
opioid_ed,2016,SERTRALINE HYDROCHLORIDE,3064
opioid_ed,2016,LORAZEPAM,3021
opioid_ed,2016,METOPROLOL TARTRATE,2895
opioid_ed,2016,HYDROXYZINE PAMOATE,2824
opioid_ed,2016,OXYCONTIN,2806
opioid_ed,2016,HYDROCHLOROTHIAZIDE,2727
opioid_ed,2016,HYDROCODONE/ACETAMINOPHEN,2722
opioid_ed,2016,TOPIRAMATE,2652
opioid_ed,2016,MONTELUKAST SODIUM,2618
opioid_ed,2016,FLUTICASONE PROPIONATE,2618
opioid_ed,2016,MIRTAZAPINE,2594
opioid_ed,2016,VENTOLIN HFA,2589
opioid_ed,2016,BACLOFEN,2576
opioid_ed,2016,MELOXICAM,2570
opioid_ed,2016,FENTANYL,2464
opioid_ed,2016,AZITHROMYCIN,2392
opioid_ed,2016,VENLAFAXINE HCL ER,2245
opioid_ed,2016,SIMVASTATIN,2198
opioid_ed,2016,FLUOXETINE HYDROCHLORIDE,2160
opioid_ed,2016,ONDANSETRON HYDROCHLORIDE,2157
opioid_ed,2016,HYDROMORPHONE HCL,2055
opioid_ed,2016,METHADONE HCL,2048
opioid_ed,2016,ONDANSETRON ODT,1960
opioid_ed,2016,AMOXICILLIN,1958
opioid_ed,2016,FLUOXETINE HCL,1933
opioid_ed,2016,LOSARTAN POTASSIUM,1888
opioid_ed,2016,AMITRIPTYLINE HCL,1870
opioid_ed,2016,RANITIDINE HYDROCHLORIDE,1852
opioid_ed,2016,ARIPIPRAZOLE,1823
opioid_ed,2016,ATENOLOL,1809
opioid_ed,2016,PRAVASTATIN SODIUM,1803
opioid_ed,2016,METOPROLOL SUCCINATE ER,1790
opioid_ed,2016,SERTRALINE HCL,1759
opioid_ed,2016,CEPHALEXIN,1744
opioid_ed,2016,SULFAMETHOXAZOLE/TRIMETHO,1725
opioid_ed,2016,POTASSIUM CHLORIDE ER,1708
opioid_ed,2016,BUSPIRONE HYDROCHLORIDE,1700
opioid_ed,2016,FLUCONAZOLE,1623
opioid_ed,2016,SYMBICORT,1602
opioid_ed,2016,CARVEDILOL,1522
opioid_ed,2016,AMOXICILLIN/CLAVULANATE P,1483
opioid_ed,2016,VITAMIN D,1450
opioid_ed,2016,LISINOPRIL/HYDROCHLOROTHI,1430
opioid_ed,2016,BUSPIRONE HCL,1421
opioid_ed,2016,DICLOFENAC SODIUM DR,1415
opioid_ed,2016,TAMSULOSIN HYDROCHLORIDE,1407
opioid_ed,2016,CLOPIDOGREL,1386
opioid_ed,2016,NAPROXEN,1335
opioid_ed,2016,CIPROFLOXACIN HYDROCHLORI,1307
opioid_ed,2016,SPIRIVA HANDIHALER,1280
opioid_ed,2016,METHOCARBAMOL,1256
opioid_ed,2016,ADVAIR DISKUS,1243
opioid_ed,2016,PROPRANOLOL HYDROCHLORIDE,1226
opioid_ed,2016,DULOXETINE HCL,1225
opioid_ed,2016,SUMATRIPTAN SUCCINATE,1204
opioid_ed,2016,WARFARIN SODIUM,1195
opioid_ed,2016,VENLAFAXINE HYDROCHLORIDE,1170
opioid_ed,2016,HYDROXYZINE HYDROCHLORIDE,1151
opioid_ed,2016,LEVOFLOXACIN,1126
opioid_ed,2016,RISPERIDONE,1092
opioid_ed,2016,POLYETHYLENE GLYCOL 3350,1085
opioid_ed,2016,DICYCLOMINE HYDROCHLORIDE,1080
opioid_ed,2016,OLANZAPINE,1068
opioid_ed,2016,ESOMEPRAZOLE MAGNESIUM,1060
opioid_ed,2016,DOXYCYCLINE HYCLATE,1059
opioid_ed,2016,RANITIDINE HCL,1053
opioid_ed,2016,BUTALBITAL/ACETAMINOPHEN/,1038
opioid_ed,2016,AMITRIPTYLINE HYDROCHLORI,1033
opioid_ed,2016,METHYLPREDNISOLONE DOSE P,1026
opioid_ed,2016,VYVANSE,986
opioid_ed,2016,LEVETIRACETAM,970
opioid_ed,2016,SPIRONOLACTONE,951
opioid_ed,2016,METHYLPHENIDATE HYDROCHLO,942
opioid_ed,2016,PAROXETINE HYDROCHLORIDE,938
opioid_ed,2016,ZUBSOLV,905
opioid_ed,2016,CLINDAMYCIN HCL,903
opioid_ed,2016,TIZANIDINE HCL,903
opioid_ed,2016,FAMOTIDINE,899
opioid_ed,2016,NEXIUM,899
opioid_ed,2016,ALLOPURINOL,869
opioid_ed,2016,DIVALPROEX SODIUM DR,865
opioid_ed,2016,PAROXETINE HCL,837
opioid_ed,2016,LORATADINE,833
opioid_ed,2016,OXYMORPHONE HYDROCHLORIDE,833
opioid_ed,2016,MORPHINE SULFATE,832
opioid_ed,2016,ISOSORBIDE MONONITRATE ER,802
opioid_ed,2016,METFORMIN HYDROCHLORIDE E,782
opioid_ed,2016,ROPINIROLE HCL,776
opioid_ed,2016,METRONIDAZOLE,772
opioid_ed,2016,NYSTATIN,761
opioid_ed,2016,DOXEPIN HCL,757
opioid_ed,2016,ZIPRASIDONE HCL,705
opioid_ed,2016,DIVALPROEX SODIUM ER,700
opioid_ed,2016,LIDOCAINE,695
opioid_ed,2016,LOSARTAN POTASSIUM/HYDROC,685
opioid_ed,2016,TRIAMCINOLONE ACETONIDE,681
opioid_ed,2016,ESTRADIOL,678
opioid_ed,2016,LANTUS SOLOSTAR,677
opioid_ed,2016,GLIMEPIRIDE,676
opioid_ed,2016,CRESTOR,661
opioid_ed,2016,LITHIUM CARBONATE,658
opioid_ed,2016,TEMAZEPAM,657
opioid_ed,2016,CELECOXIB,654
opioid_ed,2016,LINZESS,651
opioid_ed,2016,BENZONATATE,639
opioid_ed,2016,GLIPIZIDE,629
opioid_ed,2016,NITROFURANTOIN MONOHYDRAT,623
opioid_ed,2016,FENOFIBRATE,618
opioid_ed,2016,IBU,613
opioid_ed,2016,OPANA ER (CRUSH RESISTANT,610
