feature,importance_normalized,importance_scaled,n_models,models
item_FUROSEMIDE,1.0,0.1338703197549972,3,"catboost,xgboost,xgboost_rf"
item_CEPHALEXIN,0.6101894871994067,0.08168626176252233,3,"catboost,xgboost,xgboost_rf"
item_PREDNISONE,0.4679500933970156,0.06264462863243928,3,"catboost,xgboost,xgboost_rf"
item_HYDROCODONE BITARTRATE/AC,0.43326379633025963,0.05800116295299584,3,"catboost,xgboost,xgboost_rf"
item_ELIQUIS,0.3632140290981929,0.04862357821487594,3,"catboost,xgboost,xgboost_rf"
item_TRAMADOL HCL,0.3631581422455922,0.04861609662404818,3,"catboost,xgboost,xgboost_rf"
item_WARFARIN SODIUM,0.2975545282908712,0.039833719846846284,3,"catboost,xgboost,xgboost_rf"
item_PANTOPRAZOLE SODIUM,0.2938401135208902,0.03933646995388624,3,"catboost,xgboost,xgboost_rf"
item_ONDANSETRON ODT,0.24935545240816848,0.0333812941465335,3,"catboost,xgboost,xgboost_rf"
item_NITROFURANTOIN MONOHYDRAT,0.24269620248869644,0.032489818230485336,3,"catboost,xgboost,xgboost_rf"
item_GABAPENTIN,0.2397537191122841,0.03209590704001125,3,"catboost,xgboost,xgboost_rf"
item_CIPROFLOXACIN HYDROCHLORI,0.23464034521704344,0.03141137804162853,3,"catboost,xgboost,xgboost_rf"
item_SULFAMETHOXAZOLE/TRIMETHO,0.22669552879653754,0.030347802927020655,3,"catboost,xgboost,xgboost_rf"
item_ISOSORBIDE MONONITRATE ER,0.21196077965296134,0.028375257347660436,3,"catboost,xgboost,xgboost_rf"
item_OMEPRAZOLE,0.2107598442443977,0.028214487740510923,3,"catboost,xgboost,xgboost_rf"
item_CLOPIDOGREL,0.1962024479753699,0.02626568444717597,3,"catboost,xgboost,xgboost_rf"
item_CARVEDILOL,0.17839069585878767,0.02388121949593236,3,"catboost,xgboost,xgboost_rf"
item_QUETIAPINE FUMARATE,0.1733446496713544,0.023205703679322183,3,"catboost,xgboost,xgboost_rf"
item_OXYCODONE/ACETAMINOPHEN,0.17216102054819096,0.023047250870132967,3,"catboost,xgboost,xgboost_rf"
item_AMIODARONE HYDROCHLORIDE,0.17003388401905714,0.022762490422815286,3,"catboost,xgboost,xgboost_rf"
item_LEVOFLOXACIN,0.1637165272784763,0.021916783855947343,3,"catboost,xgboost,xgboost_rf"
