Source,Source Name,Source Frequency,Target,Feature Name,Feature Rank,Feature Importance
FP-Growth Itemset,FP-Growth Itemset 14,0.0909,Final Feature,FP-Growth Drug: drug_name_itemset_14_match,7,12.49
FP-Growth Itemset,FP-Growth Itemset 3,0.1667,Final Feature,FP-Growth Drug: drug_name_itemset_3_match,19,9.05
FP-Growth Itemset,FP-Growth Itemset 10,0.0909,Final Feature,FP-Growth Drug: drug_name_itemset_10_match,39,7.02
FP-Growth Itemset,FP-Growth Itemset 6,0.0909,Final Feature,FP-Growth Drug: drug_name_itemset_6_match,48,6.21
FP-Growth Itemset,FP-Growth Itemset 4,0.1364,Final Feature,FP-Growth Drug: drug_name_itemset_4_match,50,6.14
FP-Growth Itemset,FP-Growth Itemset 1,0.1667,Final Feature,FP-Growth Drug: drug_name_itemset_1_match,59,5.70
FP-Growth Itemset,FP-Growth Itemset 8,0.0909,Final Feature,FP-Growth Drug: drug_name_itemset_8_match,74,4.97
FP-Growth Itemset,FP-Growth Itemset 7,0.0909,Final Feature,FP-Growth Drug: drug_name_itemset_7_match,76,4.95
FP-Growth Itemset,FP-Growth Itemset 5,0.1364,Final Feature,FP-Growth Drug: drug_name_itemset_5_match,79,4.79
FP-Growth Itemset,FP-Growth Itemset 0,0.1818,Final Feature,FP-Growth Drug: drug_name_itemset_0_match,96,3.90
FP-Growth Itemset,FP-Growth Itemset 13,0.0909,Final Feature,FP-Growth Drug: drug_name_itemset_13_match,107,3.27
FP-Growth Itemset,FP-Growth Itemset 9,0.0909,Final Feature,FP-Growth Drug: drug_name_itemset_9_match,112,3.14
FP-Growth Itemset,FP-Growth Itemset 12,0.0909,Final Feature,FP-Growth Drug: drug_name_itemset_12_match,125,1.69
