feature,importance_normalized,importance_scaled,n_models,models
item_HYDROCODONE BITARTRATE/AC,1.0,0.1196736439703798,3,"catboost,xgboost,xgboost_rf"
item_PREDNISONE,0.9680422003842308,0.1158491376370855,3,"catboost,xgboost,xgboost_rf"
item_FUROSEMIDE,0.7054530651380889,0.0844241389551488,3,"catboost,xgboost,xgboost_rf"
item_ONDANSETRON ODT,0.6978053566011322,0.08350890980650781,3,"catboost,xgboost,xgboost_rf"
item_OXYCODONE/ACETAMINOPHEN,0.6255421049427898,0.07486090315540539,3,"catboost,xgboost,xgboost_rf"
item_GABAPENTIN,0.5938612383749193,0.07106953840908894,3,"catboost,xgboost,xgboost_rf"
item_CEPHALEXIN,0.5587320229994167,0.06686549719528226,3,"catboost,xgboost,xgboost_rf"
item_OXYCODONE HYDROCHLORIDE,0.42564369889831266,0.05093833248019221,3,"catboost,xgboost,xgboost_rf"
item_TRAMADOL HCL,0.38491113266764354,0.0460637178511032,3,"catboost,xgboost,xgboost_rf"
item_ELIQUIS,0.3325823702194794,0.03980134416447102,3,"catboost,xgboost,xgboost_rf"
item_ONDANSETRON HYDROCHLORIDE,0.3111655103704041,0.03723831050392926,3,"catboost,xgboost,xgboost_rf"
item_PANTOPRAZOLE SODIUM,0.2722931076169515,0.03258630841653937,3,"catboost,xgboost,xgboost_rf"
item_CLOPIDOGREL,0.24242278334433148,0.029011617864258044,3,"catboost,xgboost,xgboost_rf"
item_SULFAMETHOXAZOLE/TRIMETHO,0.2266653169394953,0.027125864439850458,3,"catboost,xgboost,xgboost_rf"
item_CIPROFLOXACIN HYDROCHLORI,0.21983213147480868,0.026308112235365978,3,"catboost,xgboost,xgboost_rf"
item_CARVEDILOL,0.2053759076580981,0.02457808325316883,3,"catboost,xgboost,xgboost_rf"
item_DOXYCYCLINE HYCLATE,0.20511998623451963,0.024547456203839108,3,"catboost,xgboost,xgboost_rf"
item_OMEPRAZOLE,0.18385550704655368,0.02200265849228292,3,"catboost,xgboost,xgboost_rf"
item_WARFARIN SODIUM,0.15220492367020608,0.018214917845847074,3,"catboost,xgboost,xgboost_rf"
item_CYCLOBENZAPRINE HYDROCHLO,0.15051441449233027,0.018012608452365308,3,"catboost,xgboost,xgboost_rf"
item_AMOXICILLIN/CLAVULANATE P,0.1402157856108854,0.016780134006224204,3,"catboost,xgboost,xgboost_rf"
item_NITROFURANTOIN MONOHYDRAT,0.13485214789376848,0.01613824793567985,3,"catboost,xgboost,xgboost_rf"
item_METOPROLOL TARTRATE,0.1326667840135473,0.015876717476732534,3,"catboost,xgboost,xgboost_rf"
item_QUETIAPINE FUMARATE,0.12855917708753758,0.01538514518789898,3,"catboost,xgboost,xgboost_rf"
item_XARELTO,0.1234730964261813,0.014776475381627196,3,"catboost,xgboost,xgboost_rf"
item_LEVOFLOXACIN,0.12028102246540286,0.014394468258917876,3,"catboost,xgboost,xgboost_rf"
item_ISOSORBIDE MONONITRATE ER,0.10725208840318685,0.012835248242642684,3,"catboost,xgboost,xgboost_rf"
item_METHYLPREDNISOLONE DOSE P,0.10013009574193855,0.011982933428540798,3,"catboost,xgboost,xgboost_rf"
item_LEVETIRACETAM,0.09979758091493841,0.01194314016751951,3,"catboost,xgboost,xgboost_rf"
item_OMEPRAZOLE DR,0.09933332407904419,0.011887580860229889,3,"catboost,xgboost,xgboost_rf"
item_AZITHROMYCIN,0.09928871879192404,0.011882242782979877,3,"catboost,xgboost,xgboost_rf"
item_LORAZEPAM,0.09244504006709735,0.011063234811817304,3,"catboost,xgboost,xgboost_rf"
item_BENZONATATE,0.0906648084537807,0.010850188007540432,3,"catboost,xgboost,xgboost_rf"
item_VENTOLIN HFA,0.0887574778281573,0.010621930801315776,3,"catboost,xgboost,xgboost_rf"
item_TRAZODONE HYDROCHLORIDE,0.08370389655578742,0.010017150315350803,3,"catboost,xgboost,xgboost_rf"
item_FAMOTIDINE,0.08312818379162384,0.009948252670983088,3,"catboost,xgboost,xgboost_rf"
item_HYDRALAZINE HYDROCHLORIDE,0.08007801768650942,0.009583228178469105,3,"catboost,xgboost,xgboost_rf"
item_TAMSULOSIN HYDROCHLORIDE,0.07922441086269873,0.009481073939345698,3,"catboost,xgboost,xgboost_rf"
item_NAPROXEN,0.07848571740615753,0.009392671801624338,3,"catboost,xgboost,xgboost_rf"
item_METOPROLOL SUCCINATE ER,0.07833559622430933,0.009374706252755423,3,"catboost,xgboost,xgboost_rf"
item_IBUPROFEN,0.0778594461700302,0.009317723640683145,3,"catboost,xgboost,xgboost_rf"
item_PROAIR HFA,0.07133603177221261,0.008537042868567473,3,"catboost,xgboost,xgboost_rf"
item_LIDOCAINE,0.06820915876745474,0.00816283858185549,3,"catboost,xgboost,xgboost_rf"
item_MECLIZINE HCL,0.06704724673901558,0.008023788335439158,3,"catboost,xgboost,xgboost_rf"
item_METHOCARBAMOL,0.06617023228634926,0.007918832820073891,3,"catboost,xgboost,xgboost_rf"
item_DEXAMETHASONE,0.06592714182759357,0.007889741299060168,3,"catboost,xgboost,xgboost_rf"
item_DIAZEPAM,0.06591355945571836,0.007888115847124101,3,"catboost,xgboost,xgboost_rf"
item_METRONIDAZOLE,0.06224831610419289,0.007449482819208839,3,"catboost,xgboost,xgboost_rf"
item_HYDROMORPHONE HCL,0.058956956153578106,0.007055593780300599,3,"catboost,xgboost,xgboost_rf"
item_BUMETANIDE,0.05777549257033401,0.006914203728075476,3,"catboost,xgboost,xgboost_rf"
item_AMIODARONE HYDROCHLORIDE,0.05760507105234909,0.006893808764007257,3,"catboost,xgboost,xgboost_rf"
item_CLONAZEPAM,0.056401816191858384,0.006749810870227263,3,"catboost,xgboost,xgboost_rf"
item_SUCRALFATE,0.053467323574349905,0.0063986294454858456,3,"catboost,xgboost,xgboost_rf"
item_AMLODIPINE BESYLATE,0.05298546211393685,0.006340963328629326,3,"catboost,xgboost,xgboost_rf"
item_MIRTAZAPINE,0.05116625231872851,0.006123251863290136,3,"catboost,xgboost,xgboost_rf"
item_DONEPEZIL HCL,0.050885024936586566,0.006089596357684959,3,"catboost,xgboost,xgboost_rf"
item_DICYCLOMINE HYDROCHLORIDE,0.047865457816735166,0.005728233757239197,3,"catboost,xgboost,xgboost_rf"
item_LYRICA,0.0476480470107488,0.005702215413848271,3,"catboost,xgboost,xgboost_rf"
item_MIDODRINE HCL,0.04731683449359242,0.005662578004991565,3,"catboost,xgboost,xgboost_rf"
item_DULOXETINE HYDROCHLORIDE,0.0468395567772674,0.005605460441493089,3,"catboost,xgboost,xgboost_rf"
item_SPIRONOLACTONE,0.046672835183054144,0.005585508260785038,3,"catboost,xgboost,xgboost_rf"
item_ALPRAZOLAM,0.044721910163228885,0.0053520339545495635,3,"catboost,xgboost,xgboost_rf"
item_MECLIZINE HYDROCHLORIDE,0.04454883510283337,0.0053313214313916385,3,"catboost,xgboost,xgboost_rf"
item_LANTUS SOLOSTAR,0.04454836440323654,0.005331265101055671,3,"catboost,xgboost,xgboost_rf"
item_NITROGLYCERIN,0.043596001117808224,0.005217292316304861,3,"catboost,xgboost,xgboost_rf"
item_LACTULOSE,0.04286255625503173,0.005129518296925043,3,"catboost,xgboost,xgboost_rf"
item_CARBIDOPA/LEVODOPA,0.04263364211183004,0.005102123307251739,3,"catboost,xgboost,xgboost_rf"
item_HYDROCODONE/ACETAMINOPHEN,0.04179298832610798,0.0050015192053968855,3,"catboost,xgboost,xgboost_rf"
item_OLANZAPINE,0.03961114975284152,0.004740410632778954,3,"catboost,xgboost,xgboost_rf"
item_CLINDAMYCIN HCL,0.03943150157073996,0.0047189114801942066,3,"catboost,xgboost,xgboost_rf"
item_FLUCONAZOLE,0.039227138935591155,0.004694454658954559,3,"catboost,xgboost,xgboost_rf"
item_ATORVASTATIN CALCIUM,0.038906983171383414,0.004656140452013697,3,"catboost,xgboost,xgboost_rf"
item_SIMVASTATIN,0.037898565194525356,0.004535459398077855,3,"catboost,xgboost,xgboost_rf"
item_PROCHLORPERAZINE MALEATE,0.037711587616853844,0.00451308311001715,3,"catboost,xgboost,xgboost_rf"
item_POTASSIUM CHLORIDE ER,0.03626240115518039,0.0043396536853561474,3,"catboost,xgboost,xgboost_rf"
