feature,importance_normalized,importance_scaled,n_models,models,mc_cv_recall_mean,mc_cv_recall_std
item_H0004,1.0,0.1998154130133825,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_80305,0.8746372887760976,0.17476601109370102,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_S0109,0.8240852114576703,0.16466492688563503,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H0005,0.55993123858152,0.11188289169626124,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_AMOXICILLIN,0.5398889456899949,0.10787813266440596,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_87880,0.5170967693789488,0.10332390454134044,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F909,0.4946953518798378,0.09884775605167037,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_G9012,0.4382473159745205,0.08756856844345515,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_90791,0.420235678804313,0.08396956572324295,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_R918,0.4038101718550423,0.08068749626822024,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99213,0.39732245608051875,0.07939115066122038,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_METHYLPHENIDATE HYDROCHLO,0.3896259820073804,0.07785327651554945,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F902,0.35940626085222027,0.07181491045178187,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99284,0.34464115034451165,0.06886461379749584,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_R509,0.3300168001110081,0.06594244321553597,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99214,0.3202946230508917,0.06399980239087957,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_R51,0.29672198783884,0.05928962655016967,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_92551,0.2758519705894062,0.055119475433877636,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99202,0.27513934713423166,0.05497708228385891,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99232,0.2721610210479003,0.05438196682683008,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z00129,0.2665194526788362,0.05325469451312231,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_71046,0.26382420490280023,0.052716142465580276,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_J069,0.2627817468214985,0.05250784327351584,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_J029,0.2618166384762169,0.052314999750900724,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_80050,0.25786026238480797,0.05152445482815958,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99238,0.2577432234338399,0.051501068641833236,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99173,0.25721125030481795,0.0513947722113457,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_OSELTAMIVIR PHOSPHATE,0.25058855633501126,0.050071455880507536,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_99291,0.25018020856059664,0.049989861701309785,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_J8499,0.24708846715825988,0.049372084116071295,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_Z4682,0.24606001307486383,0.04916658313863221,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_90837,0.2448129957391564,0.04891740985466298,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_31500,0.24444646720764807,0.04884417180475846,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_70450,0.24340511506911722,0.048636093597105544,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_36680,0.2415681741148589,0.048269044481649225,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_R569,0.24075781811062377,0.048107122861975105,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
