feature,importance_normalized,importance_scaled,n_models
item_SUBOXONE,1.0,0.8699642857142857,3
item_H0020,0.8006225215242933,0.6965130000646521,3
item_80307,0.7810872509581434,0.6795180123603363,3
item_S0109,0.6528182981117261,0.5679286044179834,3
item_80305,0.33661825418849717,0.2928458590634858,3
item_H0004,0.26834943148775126,0.23345442148607617,3
item_G0480,0.1860891019431722,0.16189087265120472,3
item_BUPRENORPHINE HCL/NALOXON,0.16200012961877683,0.14093432704942088,3
item_90853,0.15118925184579518,0.13152924948970446,3
item_G9012,0.1465438801396531,0.12748794201149322,3
item_G0483,0.14242012296500173,0.12390042054658847,3
item_NARCAN,0.13772274874244123,0.11981387273632593,3
item_80348,0.129491892774007,0.11265332200292988,3
item_82075,0.1031516191282054,0.08973822465514127,3
item_G0482,0.10156300671241925,0.08835618858956502,3
item_90791,0.09260117122700312,0.08055971178280603,3
item_G0481,0.07557790599205474,0.06575007900215935,3
item_H0006,0.07445466199267511,0.06477289683855618,3
item_GABAPENTIN,0.06394604329482563,0.05563077387923777,3
item_CLONIDINE HYDROCHLORIDE,0.05835321210029732,0.05076521048396938,3
item_F1123,0.051569509389342134,0.04486363140053518,3
item_99395,0.04583712189456728,0.039876659008205875,3
item_H0005,0.04507788968240959,0.03921615409906483,3
item_F1910,0.04352070629151886,0.03786146016268242,3
item_99232,0.039571891088211485,0.034426131964919414,3
item_BUPRENORPHINE HCL,0.03942285741804041,0.03429647799450166,3
item_B182,0.037248741486003274,0.03240507478062692,3
item_90792,0.035796931310491366,0.03114205177829497,3
item_VIVITROL,0.03565934535801254,0.031022356913422408,3
item_F1110,0.033034714073769435,0.02873902143296249,3
item_36415,0.032118566838403695,0.027942006057738417,3
item_J0574,0.031930828488858455,0.02777868039857511,3
item_BUPRENORPHINE HYDROCHLORI,0.0315602235684934,0.027456267353747524,3
item_99396,0.030924538522052913,0.026903244066381678,3
item_H0015,0.030520857249532383,0.02655205577647712,3
item_99214,0.02959549082145274,0.025747020032848834,3
item_99284,0.029197283262472815,0.025400593678234832,3
item_90471,0.02861159742688561,0.024891067918625234,3
item_H0010,0.027766358209171442,0.024155739986328827,3
item_O99323,0.02718293245925956,0.023648180420539417,3
item_99283,0.02605669540822472,0.022668394408890926,3
item_99222,0.025674586599518805,0.02233597339205995,3
item_F1190,0.025408269210589814,0.022104286775027047,3
item_99409,0.024247501298735874,0.02109446014771097,3
item_99213,0.02365368565324079,0.02057786174383187,3
item_99215,0.023195278704445193,0.020179064070056447,3
item_QUETIAPINE FUMARATE,0.02279818494632296,0.019833606682410035,3
item_Z01419,0.022737710523313193,0.01978099609419236,3
item_80061,0.022029129435564693,0.019164555854318584,3
item_99233,0.021292684663017633,0.01852387520380166,3
item_F1520,0.019541792012636255,0.017000661129850235,3
item_88175,0.01920379597791494,0.016706616650929644,3
item_Z23,0.019017270638105994,0.01654434626691514,3
item_87880,0.019014838362821578,0.016542230274284673,3
item_86592,0.01898677605922852,0.01651781707238384,3
item_90686,0.018832830149882872,0.016383889629321316,3
item_87522,0.018753762300934704,0.01631510342458816,3
item_H2036,0.018048145194267205,0.015701241742398387,3
item_Z0000,0.017930776811658795,0.01559913544125702,3
item_80362,0.017656776368476804,0.015360764841418803,3
item_NALTREXONE HCL,0.017274926779584244,0.015028569336567594,3
item_ZUBSOLV,0.017154011715830496,0.014923377549496967,3
item_T401X1A,0.016996286059177974,0.01478616186126844,3
item_F1121,0.016851710126831357,0.014660385963553037,3
item_TRAZODONE HYDROCHLORIDE,0.016731358295480534,0.014555684168557513,3
item_80076,0.016409430353947645,0.014275618356850381,3
item_VITAMIN D,0.016395433378063397,0.014263441487723082,3
item_G8929,0.016127417619041386,0.014030277349365326,3
item_S0201,0.015933125120870223,0.013861249814974207,3
item_A9270,0.014960673907195044,0.013015251989477289,3
item_K047,0.014772274451597449,0.012851351191659366,3
item_88305,0.014730929549475672,0.012815382603417068,3
item_PRAZOSIN HCL,0.013849309205584295,0.012048404390672424,3
item_80051,0.013689791746172734,0.011909629898036487,3
item_O99322,0.013524274807072002,0.011765636072338104,3
item_AZELASTINE HYDROCHLORIDE,0.013493903570714326,0.01173921418139394,3
item_O99320,0.013476825753376472,0.011724357090232054,3
item_90833,0.013463493841702796,0.011712758803215657,3
item_F13239,0.013461057517075832,0.011710639287801793,4
item_80306,0.013458139570453663,0.011708100778452885,3
item_Z79891,0.013414478908120347,0.01167011756153227,3
item_90837,0.01325733546934541,0.011533408382063745,3
item_82306,0.013237826508170285,0.01151643628259,3
item_J0572,0.013114443193569966,0.011409097205434671,3
item_HYDROXYZINE PAMOATE,0.01310805119970076,0.011403536399053959,3
item_F1920,0.012909190918391614,0.011230535056467905,3
item_IBUPROFEN,0.012841712913148163,0.011171831601834862,3
item_99223,0.012614127686268151,0.010973840582493068,3
item_BUPROPION HYDROCHLORIDE E,0.012426233750998971,0.010810379569306569,3
item_97110,0.0121090253326959,0.01053441957425498,3
item_CITALOPRAM HYDROBROMIDE,0.01199731392708351,0.010437234641065258,3
item_81025,0.011591953399541851,0.010084585459265712,3
item_80053,0.011385047154958876,0.00990458441598726,3
item_FLUOXETINE HCL,0.011173706638449727,0.00972072571449989,3
item_F1124,0.011137062622695357,0.009688846729508436,3
item_77063,0.01113217851558674,0.009684597730756335,3
item_77067,0.011029447117512137,0.009595225083409934,3
item_99204,0.01096906486795875,0.0095426946828074,3
item_99408,0.010967036194978165,0.009540929809766898,3
item_88142,0.010811738394488709,0.009405826269691088,3
item_87491,0.010762524155210604,0.00936301163917054,3
item_F1021,0.01068915221444002,0.009299180671126587,4
item_99244,0.010657980816412407,0.00927206266810678,3
item_99386,0.010576894540269482,0.009201520503800869,3
