feature,scaled_importance_mean,scaled_importance_std,scaled_importance_count,importance_mean,importance_std,recall_mean,logloss_mean
item_AMOXICILLIN,0.009795107438016528,0.01625017023583939,200,0.03381818181818182,0.06059192769584012,0.11636363636363636,0.585811850786513
item_87880,0.00806584297520661,0.01285965976912897,200,0.03390909090909091,0.041150346933951656,0.11636363636363636,0.585811850786513
item_99213,0.004543999999999999,0.01054825226354111,200,0.018272727272727274,0.04455473001761036,0.11636363636363636,0.585811850786513
item_Z00129,0.0019203471074380166,0.0051834575728600864,200,0.0030000000000000005,0.02671284607054729,0.11636363636363636,0.585811850786513
item_92551,0.0015867768595041324,0.0041685023043095985,200,0.006727272727272728,0.0161300005469957,0.11636363636363636,0.585811850786513
item_J029,0.001131685950413223,0.003241297775529636,200,0.004818181818181818,0.014861515866416562,0.11636363636363636,0.585811850786513
item_99173,0.0010326033057851238,0.0034816480677070435,200,0.003909090909090909,0.014453512523033934,0.11636363636363636,0.585811850786513
item_J069,0.0008098264462809916,0.0035539380486910425,200,0.005454545454545454,0.02046025502770748,0.11636363636363636,0.585811850786513
item_99202,0.00014049586776859502,0.0015166898598357311,200,0.0008181818181818182,0.008211964157883962,0.11636363636363636,0.585811850786513
item_99212,0.00013739669421487626,0.0056128113573592165,200,-0.017727272727272727,0.04284176412319439,0.11636363636363636,0.585811850786513
item_87081,8.264462809917356e-05,0.0006363984234994258,200,0.0004545454545454545,0.0033794585459739172,0.11636363636363636,0.585811850786513
item_99214,7.900826446281017e-05,0.009581898077054531,200,-0.005636363636363635,0.051438544245014005,0.11636363636363636,0.585811850786513
item_90651,5.7851239669421495e-05,0.0005829744917588196,200,0.0001818181818181818,0.0018136077686256669,0.11636363636363636,0.585811850786513
item_90686,5.7033057851239716e-05,0.0025205686047663255,200,0.0004545454545454547,0.016347639508399178,0.11636363636363636,0.585811850786513
item_87804,4.132231404958678e-05,0.00038639608722529535,200,0.00045454545454545455,0.004250356959478248,0.11636363636363636,0.585811850786513
item_S0109,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_S20212,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_S42402,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_S43402A,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_S5002X,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_R569,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_R6250,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_ZOLMITRIPTAN,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_73630,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_7197,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_SULFATRIM PEDIATRIC,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_R21,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
item_29130,0.0,0.0,200,0.0,0.0,0.11636363636363636,0.585811850786513
