feature,importance_normalized,importance_scaled
item_H0004,1.0,0.21772727272727274
item_80305,0.853247724067152,0.18577529992189357
item_S0109,0.7407748489003657,0.16128688755603418
item_METHYLPHENIDATE HYDROCHLO,0.5958620237635888,0.12973541335579955
item_H0005,0.5874246516176094,0.1278983673294704
item_G9012,0.5336484291457377,0.11618981707309473
item_87880,0.4324555781889949,0.09415737361478571
item_AMOXICILLIN,0.3946637703934348,0.08592906637202513
item_R918,0.3653166927897894,0.07953940720286778
item_99284,0.2960593474010551,0.06446019427504791
item_99213,0.2836509263266851,0.06175854259567371
item_99214,0.27590110692295017,0.06007119555276961
item_F909,0.2517433463625144,0.054811392230747456
item_99232,0.2348020356015123,0.051122806842329276
item_99238,0.23120287713542628,0.05033917188539509
item_99291,0.22482257823240773,0.04895000680605605
item_36680,0.21376560039905626,0.046542601177794525
item_Z4682,0.2133592985466561,0.0464541381835674
item_31500,0.21159872270688967,0.046070812807545526
item_70450,0.21117850186839646,0.04597931927043723
item_R509,0.21019733993175918,0.045765693557869386
item_R569,0.21011022793254217,0.045746726899858044
item_99233,0.20949426172526192,0.045612614257454755
item_99202,0.19858167369756913,0.043236646227788916
item_99051,0.1949804323489149,0.042452557770513745
item_AMOXICILLIN/CLAVULANATE P,0.18760415508070716,0.0408465410380267
item_F902,0.18220774124565237,0.0396715945712125
item_92551,0.17733006153506212,0.03860959067058853
item_90791,0.17619713575633508,0.03836292183058387
item_99215,0.17563623055023622,0.038240797469801434
item_93010,0.17393446277380017,0.03787027621302286
item_99173,0.16983364691001526,0.036977416759044236
item_99282,0.16981363710082137,0.03697306007786066
item_J029,0.1664500611875329,0.03624071786764921
item_R51,0.16476437830855792,0.03587369873172693
item_99174,0.1638951786873795,0.03568445026875217
item_90837,0.1635224260984725,0.03560329186416743
item_J0561,0.16124215523518395,0.035106814708024146
item_87804,0.15999340475040502,0.034834927670656365
item_80050,0.1598420254671475,0.0348019682721653
item_90686,0.15971710307061154,0.03477476925946497
item_J069,0.1596705860509177,0.034764641235631624
item_B349,0.15720138344010245,0.034227028485367766
item_H66001,0.15718019423534438,0.03422241501760453
item_R070,0.15385380828961193,0.03349817007760187
item_71046,0.153828572131005,0.033492675477614274
item_90471,0.15314237191093463,0.033343270975153494
item_36416,0.1522409980091644,0.03314701729381352
item_96372,0.1520497485424503,0.03310537706901531
item_92508,0.15121240864357266,0.03292306533648696
item_87081,0.15099855727658437,0.0328765040615836
item_TRIAMCINOLONE ACETONIDE,0.15068818003860865,0.03280892647204252
item_99392,0.1506379152612036,0.03279798245914388
item_H0023,0.1504230896410747,0.032751209062761265
item_J8499,0.15031742150121277,0.03272820222685496
item_99285,0.1494134032678392,0.03253137280240681
item_82784,0.14931476984241512,0.032509897615689475
item_99211,0.14928670032562918,0.0325037861163529
item_OSELTAMIVIR PHOSPHATE,0.14914616059913552,0.0324731867849936
item_73630,0.14912641727208845,0.03246888812424108
item_R110,0.14901430064010515,0.032444477275731985
item_69210,0.14841839475672308,0.032314732312941075
item_83655,0.14840068181226432,0.032310875721852095
item_99383,0.1483463719615039,0.032299050986163806
item_ALBUTEROL SULFATE,0.14807112371521275,0.03223912193617587
item_90651,0.14791971111423757,0.032206155283509
item_99394,0.14773290730490857,0.03216548299956873
item_CYPROHEPTADINE HYDROCHLOR,0.14760924139186635,0.03213855755759272
item_83516,0.14727531197278737,0.03206585201589325
item_IBUPROFEN,0.1472745546210469,0.032065687119764305
item_90715,0.14723134383932338,0.03205627895410723
item_R1310,0.1472037519692352,0.03205027145148349
item_AMPHETAMINE/DEXTROAMPHETA,0.1471757054889101,0.0320441649678127
item_Z0100,0.14710088934004426,0.032027875451764186
item_99204,0.14707074537850656,0.03202131228922939
item_85018,0.14640593822813092,0.031876565641488504
item_PROVENTIL HFA,0.14631719141031976,0.03185724303888326
item_88304,0.14580715964549182,0.031746195213722996
item_S9088,0.145697314564239,0.03172227894375931
item_90707,0.145378597839274,0.03165288562046012
item_90716,0.14498609854536598,0.03156742781965014
item_80053,0.1448405561071374,0.03153573926150855
item_J09X2,0.14481804135581064,0.031530837186106046
item_90847,0.14463607406018875,0.031491217943104735
item_FLOVENT HFA,0.14432291888594145,0.031423035521075435
item_F4310,0.14428593042752394,0.031414982124901805
item_DEXTROAMPHETAMINE SULFATE,0.14417899128007178,0.031391698555979265
item_POLYMYXIN B SULFATE/TRIME,0.1441287355396909,0.03138075651068725
item_90461,0.14407872909430317,0.03136986874371419
item_OFLOXACIN,0.14407030876646634,0.03136803540869881
item_36415,0.14402732464020662,0.03135867659211772
item_PERMETHRIN,0.14369188500127064,0.03128564223436756
item_85027,0.1436636532209542,0.03127949540583503
item_MONTELUKAST SODIUM,0.14361357453029489,0.031268591909096026
item_AZITHROMYCIN,0.14361007578352825,0.03126783013650456
item_MUPIROCIN,0.14355747063828014,0.03125637656169827
item_R1084,0.14355598163407654,0.03125605236487394
item_81002,0.14354410417873842,0.03125346631891623
item_H6691,0.14354377298978147,0.03125339421004788
item_CEFDINIR,0.14336989737103684,0.031215536745784842
item_M7989,0.14328359184010175,0.031196745677913067
item_99000,0.14325484690601786,0.031190487121810256
