feature,item_name
item_ALBUTEROL SULFATE HFA,ALBUTEROL SULFATE HFA
item_BD 1ML TUBERCULIN SYRINGE,BD 1ML TUBERCULIN SYRINGE
item_3ML LUER-LOK SYRINGE,3ML LUER-LOK SYRINGE
item_CVS CLOTRIMAZOLE 3,CVS CLOTRIMAZOLE 3
item_CVS PAIN RELIEF REGULAR S,CVS PAIN RELIEF REGULAR S
item_WIXELA INHUB,WIXELA INHUB
item_BD 3ML LUER-LOK SYRINGE/2,BD 3ML LUER-LOK SYRINGE/2
item_FLUZONE QUADRIVALENT 2019,FLUZONE QUADRIVALENT 2019
item_KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE
item_SODIUM CHLORIDE 0.9%,SODIUM CHLORIDE 0.9%
item_STERILE WATER FOR INJECTI,STERILE WATER FOR INJECTI
item_DOXY 100,DOXY 100
item_INTROVALE,INTROVALE
item_XELJANZ,XELJANZ
item_AFLURIA QUADRIVALENT 2019,AFLURIA QUADRIVALENT 2019
item_MENEST,MENEST
item_SIMBRINZA,SIMBRINZA
item_RA ANTACID/ANTI-GAS,RA ANTACID/ANTI-GAS
item_FLUARIX QUADRIVALENT 2019,FLUARIX QUADRIVALENT 2019
item_PROSHIELD PLUS SKIN PROTE,PROSHIELD PLUS SKIN PROTE
item_VANIPLY,VANIPLY
item_ONETOUCH VERIO FLEX BLOOD,ONETOUCH VERIO FLEX BLOOD
item_ONETOUCH VERIO MID CONTRO,ONETOUCH VERIO MID CONTRO
item_HIBICLENS,HIBICLENS
item_EZFE 200,EZFE 200
item_IRON SLOW RELEASE,IRON SLOW RELEASE
item_D3 ULTRA STRENGTH,D3 ULTRA STRENGTH
item_VIOS AEROSOL DELIVERY SYS,VIOS AEROSOL DELIVERY SYS
item_FREESTYLE LIBRE 14 DAY/SE,FREESTYLE LIBRE 14 DAY/SE
item_EQ CLEARLAX,EQ CLEARLAX
item_OB COMPLETE ONE,OB COMPLETE ONE
item_RISA-BID PROBIOTIC,RISA-BID PROBIOTIC
item_SULFATRIM PEDIATRIC,SULFATRIM PEDIATRIC
item_FC2 FEMALE CONDOM,FC2 FEMALE CONDOM
item_BENADRYL ALLERGY,BENADRYL ALLERGY
