feature,importance_raw,importance_normalized,importance_scaled,model_type,mc_cv_mean,mc_cv_sd,rank
item_GLIPIZIDE ER,0.030395136778115502,1,1,catboost,1,0,1
item_FREESTYLE FREEDOM LITE,0.030395136778115502,1,1,catboost,1,0,2
item_FREESTYLE LITE TEST STRIP,0.030395136778115502,1,1,catboost,1,0,3
item_ACETAMINOPHEN,0.030395136778115502,1,1,catboost,1,0,4
item_FREESTYLE LANCETS,0.030395136778115502,1,1,catboost,1,0,5
item_BUMETANIDE,0.030395136778115502,1,1,catboost,1,0,6
item_ALBUTEROL SULFATE,0.030395136778115502,1,1,catboost,1,0,7
item_QVAR,0.030395136778115502,1,1,catboost,1,0,8
item_VITAMIN D,0.030395136778115502,1,1,catboost,1,0,9
item_DILTIAZEM HYDROCHLORIDE E,0.030395136778115502,1,1,catboost,1,0,10
item_XARELTO,0.030395136778115502,1,1,catboost,1,0,11
item_CARVEDILOL,0.030395136778115502,1,1,catboost,1,0,12
item_MAGNESIUM OXIDE,0.030395136778115502,1,1,catboost,1,0,13
item_DOCUSATE SODIUM,0.030395136778115502,1,1,catboost,1,0,14
item_INCRUSE ELLIPTA,0.030395136778115502,1,1,catboost,1,0,15
item_LEVOFLOXACIN,0.030395136778115502,1,1,catboost,1,0,16
item_PREDNISONE,0.030395136778115502,1,1,catboost,1,0,17
item_POTASSIUM CHLORIDE ER,0.030395136778115502,1,1,catboost,1,0,18
item_OMEPRAZOLE,0.030395136778115502,1,1,catboost,1,0,19
item_CVS MUCUS EXTENDED RELEAS,0.030395136778115502,1,1,catboost,1,0,20
item_NYSTATIN,0.030395136778115502,1,1,catboost,1,0,21
item_SULFAMETHOXAZOLE/TRIMETHO,0.030395136778115502,1,1,catboost,1,0,22
item_CVS NON-ASPIRIN EXTRA STR,0.030395136778115502,1,1,catboost,1,0,23
item_PRAVASTATIN SODIUM,0.030395136778115502,1,1,catboost,1,0,24
item_AZITHROMYCIN,0.030395136778115502,1,1,catboost,1,0,25
item_HYDROCODONE BITARTRATE/AC,0.030395136778115502,1,1,catboost,1,0,26
item_CALCIUM HIGH POTENCY,0.030395136778115502,1,1,catboost,1,0,27
item_COMBIVENT RESPIMAT,0.030395136778115502,1,1,catboost,1,0,28
item_FUROSEMIDE,0.030395136778115502,1,1,catboost,1,0,29
item_KLOR-CON M10,0.030395136778115502,1,1,catboost,1,0,30
item_CVS CALCIUM,0.030395136778115502,1,1,catboost,1,0,31
item_CHLORTHALIDONE,0.030395136778115502,1,1,catboost,1,0,32
item_BD PEN NEEDLE/NANO/ULTRA,0.030395136778115502,1,1,catboost,1,0,33
item_HUMALOG KWIKPEN,0.030395136778115502,1,1,catboost,1,0,34
item_DORZOLAMIDE HCL/TIMOLOL M,0.030395136778115502,1,1,catboost,1,0,35
item_LEVOTHYROXINE SODIUM,0.030395136778115502,1,1,catboost,1,0,36
item_RANITIDINE HCL,0.030395136778115502,1,1,catboost,1,0,37
item_WARFARIN SODIUM,0.030395136778115502,1,1,catboost,1,0,38
item_LISINOPRIL,0.030395136778115502,1,1,catboost,1,0,39
item_POLYETHYLENE GLYCOL 3350,0.030395136778115502,1,1,catboost,1,0,40
item_JANTOVEN,0.030395136778115502,1,1,catboost,1,0,41
item_LANTUS,0.030395136778115502,1,1,catboost,1,0,42
item_HUMALOG,0.030395136778115502,1,1,catboost,1,0,43
item_HYDROCHLOROTHIAZIDE,0.030395136778115502,1,1,catboost,1,0,44
item_TRAMADOL HCL,0.030395136778115502,1,1,catboost,1,0,45
item_TRAZODONE HYDROCHLORIDE,0.030395136778115502,1,1,catboost,1,0,46
item_METOPROLOL TARTRATE,0.030395136778115502,1,1,catboost,1,0,47
item_COLCHICINE,0.030395136778115502,1,1,catboost,1,0,48
item_ALLOPURINOL,0.030395136778115502,1,1,catboost,1,0,49
item_CIPROFLOXACIN HYDROCHLORI,0.030395136778115502,1,1,catboost,1,0,50
item_SPIRONOLACTONE,0.030395136778115502,1,1,catboost,1,0,51
item_METOLAZONE,0.030395136778115502,1,1,catboost,1,0,52
item_DULOXETINE HYDROCHLORIDE,0.030395136778115502,1,1,catboost,1,0,53
item_GABAPENTIN,0.030395136778115502,1,1,catboost,1,0,54
item_NYSTOP,0.030395136778115502,1,1,catboost,1,0,55
item_FENTANYL,0.030395136778115502,1,1,catboost,1,0,56
item_CEPHALEXIN,0.030395136778115502,1,1,catboost,1,0,57
item_BUSPIRONE HYDROCHLORIDE,0.030395136778115502,1,1,catboost,1,0,58
item_TRIAMCINOLONE ACETONIDE,0.030395136778115502,1,1,catboost,1,0,59
item_PENICILLIN V POTASSIUM,0.030395136778115502,1,1,catboost,1,0,60
item_PROCTOSOL HC,0.030395136778115502,1,1,catboost,1,0,61
item_SANTYL,0.030395136778115502,1,1,catboost,1,0,62
item_NITROFURANTOIN MONOHYDRAT,0.030395136778115502,1,1,catboost,1,0,63
item_ZOLPIDEM TARTRATE,0.030395136778115502,1,1,catboost,1,0,64
item_BACITRACIN,0.030395136778115502,1,1,catboost,1,0,65
item_GENTAMICIN SULFATE,0.030395136778115502,1,1,catboost,1,0,66
item_AZELASTINE HYDROCHLORIDE,0.030395136778115502,1,1,catboost,1,0,67
item_LOSARTAN POTASSIUM,0.030395136778115502,1,1,catboost,1,0,68
item_LOVASTATIN,0.030395136778115502,1,1,catboost,1,0,69
item_TOPROL XL,0.030395136778115502,1,1,catboost,1,0,70
item_DIGOX,0.030395136778115502,1,1,catboost,1,0,71
item_COUMADIN,0.030395136778115502,1,1,catboost,1,0,72
item_DIGOXIN,0.030395136778115502,1,1,catboost,1,0,73
