drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,guideline_id,guideline_url,source
BUPRENORPHINE HCL/NALOXON,buprenorphine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUPRENORPHINE HCL/NALOXON,buprenorphine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
QUETIAPINE FUMARATE,quetiapine,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NALTREXONE HCL,naltrexone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NALTREXONE HCL,naltrexone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUPRENORPHINE HCL,buprenorphine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUPRENORPHINE HCL,buprenorphine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRIAMCINOLONE ACETONIDE,triamcinolone,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
BUPROPION HYDROCHLORIDE E,bupropion,CYP2B6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MIRTAZAPINE,mirtazapine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MIRTAZAPINE,mirtazapine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHYLPHENIDATE HYDROCHLO,methylphenidate,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SULFAMETHOXAZOLE/TRIMETHO,sulfamethoxazole / trimethoprim,NAT2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
