drug_name,cpic_drug_name,fuzzy_score,match_method,needs_review,google_search_url
ABACAVIR,abacavir,100.0,fuzzy,False,
ACEBUTOLOL,acebutolol,100.0,fuzzy,False,
ALENDRONATE,alendronate,100.0,fuzzy,False,
ALLOPURINOL,allopurinol,100.0,fuzzy,False,
AMINOSALICYLIC ACID,aminosalicylic acid,100.0,fuzzy,False,
AMITRIPTYLINE,amitriptyline,100.0,fuzzy,False,
AMPHETAMINE,amphetamine,100.0,fuzzy,False,
ARIPIPRAZOLE,aripiprazole,100.0,fuzzy,False,
ASPIRIN,aspirin,100.0,fuzzy,False,
ATAZANAVIR,atazanavir,100.0,fuzzy,False,
ATENOLOL,atenolol,100.0,fuzzy,False,
ATOMOXETINE,atomoxetine,100.0,fuzzy,False,
ATORVASTATIN,atorvastatin,100.0,fuzzy,False,
AZATHIOPRINE,azathioprine,100.0,fuzzy,False,
BETAXOLOL,betaxolol,100.0,fuzzy,False,
BISOPROLOL,bisoprolol,100.0,fuzzy,False,
BUDESONIDE,budesonide,100.0,fuzzy,False,
BUPRENORPHINE,buprenorphine,100.0,fuzzy,False,
BUPROPION,bupropion,100.0,fuzzy,False,
CAPECITABINE,capecitabine,100.0,fuzzy,False,
CAPTOPRIL,captopril,100.0,fuzzy,False,
CARBAMAZEPINE,carbamazepine,100.0,fuzzy,False,
CARISOPRODOL,carisoprodol,100.0,fuzzy,False,
CARVEDILOL,carvedilol,100.0,fuzzy,False,
CELECOXIB,celecoxib,100.0,fuzzy,False,
CEVIMELINE,cevimeline,100.0,fuzzy,False,
CHLOROQUINE,chloroquine,100.0,fuzzy,False,
CIPROFLOXACIN,ciprofloxacin,100.0,fuzzy,False,
CITALOPRAM,citalopram,100.0,fuzzy,False,
CLOMIPRAMINE,clomipramine,100.0,fuzzy,False,
CLOPIDOGREL,clopidogrel,100.0,fuzzy,False,
CLOZAPINE,clozapine,100.0,fuzzy,False,
CODEINE,codeine,100.0,fuzzy,False,
CYCLOSPORINE,cyclosporine,100.0,fuzzy,False,
DAPSONE,dapsone,100.0,fuzzy,False,
DARIFENACIN,darifenacin,100.0,fuzzy,False,
DESFLURANE,desflurane,100.0,fuzzy,False,
DESIPRAMINE,desipramine,100.0,fuzzy,False,
DESVENLAFAXINE,desvenlafaxine,100.0,fuzzy,False,
DIAZEPAM,diazepam,100.0,fuzzy,False,
DICLOFENAC,diclofenac,100.0,fuzzy,False,
DIGOXIN,digoxin,100.0,fuzzy,False,
DIVALPROEX SODIUM,DIVALPROEX SODIUM,100.0,exact,False,
DONEPEZIL,donepezil,100.0,fuzzy,False,
DOXEPIN,doxepin,100.0,fuzzy,False,
DRONABINOL,dronabinol,100.0,fuzzy,False,
DULOXETINE,duloxetine,100.0,fuzzy,False,
ESCITALOPRAM,escitalopram,100.0,fuzzy,False,
ESOMEPRAZOLE,esomeprazole,100.0,fuzzy,False,
FENTANYL,fentanyl,100.0,fuzzy,False,
FLECAINIDE,flecainide,100.0,fuzzy,False,
FLUOROURACIL,fluorouracil,100.0,fuzzy,False,
FLUOXETINE,fluoxetine,100.0,fuzzy,False,
FLURBIPROFEN,flurbiprofen,100.0,fuzzy,False,
FLUTICASONE PROPIONATE,fluticasone propionate,100.0,fuzzy,False,
FLUVASTATIN,fluvastatin,100.0,fuzzy,False,
FLUVOXAMINE,fluvoxamine,100.0,fuzzy,False,
FUROSEMIDE,furosemide,100.0,fuzzy,False,
GALANTAMINE,galantamine,100.0,fuzzy,False,
GENTAMICIN,gentamicin,100.0,fuzzy,False,
GLIMEPIRIDE,glimepiride,100.0,fuzzy,False,
GLIPIZIDE,glipizide,100.0,fuzzy,False,
GLYBURIDE,glyburide,100.0,fuzzy,False,
HALOPERIDOL,haloperidol,100.0,fuzzy,False,
HYDRALAZINE,hydralazine,100.0,fuzzy,False,
HYDROCHLOROTHIAZIDE,hydrochlorothiazide,100.0,fuzzy,False,
HYDROCODONE,hydrocodone,100.0,fuzzy,False,
HYDROMORPHONE,hydromorphone,100.0,fuzzy,False,
IBUPROFEN,ibuprofen,100.0,fuzzy,False,
IMIPRAMINE,imipramine,100.0,fuzzy,False,
INDOMETHACIN,indomethacin,100.0,fuzzy,False,
ISONIAZID,isoniazid,100.0,fuzzy,False,
L-METHYLFOLATE,l-methylfolate,100.0,fuzzy,False,
LABETALOL,labetalol,100.0,fuzzy,False,
LAMOTRIGINE,lamotrigine,100.0,fuzzy,False,
LANSOPRAZOLE,lansoprazole,100.0,fuzzy,False,
LATANOPROST,latanoprost,100.0,fuzzy,False,
LIDOCAINE,lidocaine,100.0,fuzzy,False,
LOVASTATIN,lovastatin,100.0,fuzzy,False,
MECLIZINE,meclizine,100.0,fuzzy,False,
MELOXICAM,meloxicam,100.0,fuzzy,False,
MERCAPTOPURINE,mercaptopurine,100.0,fuzzy,False,
METFORMIN,metformin,100.0,fuzzy,False,
METHADONE,methadone,100.0,fuzzy,False,
METHAZOLAMIDE,methazolamide,100.0,fuzzy,False,
METHIMAZOLE,methimazole,100.0,fuzzy,False,
METHOTREXATE,methotrexate,100.0,fuzzy,False,
METHYLPHENIDATE,methylphenidate,100.0,fuzzy,False,
METOCLOPRAMIDE,metoclopramide,100.0,fuzzy,False,
METOPROLOL,metoprolol,100.0,fuzzy,False,
MIDAZOLAM,midazolam,100.0,fuzzy,False,
MIRTAZAPINE,mirtazapine,100.0,fuzzy,False,
MODAFINIL,modafinil,100.0,fuzzy,False,
MORPHINE,morphine,100.0,fuzzy,False,
MOXIFLOXACIN,moxifloxacin,100.0,fuzzy,False,
MYCOPHENOLIC ACID,mycophenolic acid,100.0,fuzzy,False,
NABUMETONE,nabumetone,100.0,fuzzy,False,
NADOLOL,nadolol,100.0,fuzzy,False,
NALOXONE,naloxone,100.0,fuzzy,False,
NALTREXONE,naltrexone,100.0,fuzzy,False,
NAPROXEN,naproxen,100.0,fuzzy,False,
NEOMYCIN,neomycin,100.0,fuzzy,False,
NICOTINE,nicotine,100.0,fuzzy,False,
NITROFURANTOIN,nitrofurantoin,100.0,fuzzy,False,
NORTRIPTYLINE,nortriptyline,100.0,fuzzy,False,
OFLOXACIN,ofloxacin,100.0,fuzzy,False,
OLANZAPINE,olanzapine,100.0,fuzzy,False,
OMEPRAZOLE,omeprazole,100.0,fuzzy,False,
ONDANSETRON,ondansetron,100.0,fuzzy,False,
OXAZEPAM,oxazepam,100.0,fuzzy,False,
OXCARBAZEPINE,oxcarbazepine,100.0,fuzzy,False,
OXYCODONE,oxycodone,100.0,fuzzy,False,
PALIPERIDONE,paliperidone,100.0,fuzzy,False,
PANTOPRAZOLE,pantoprazole,100.0,fuzzy,False,
PAROXETINE,paroxetine,100.0,fuzzy,False,
PERPHENAZINE,perphenazine,100.0,fuzzy,False,
PHENAZOPYRIDINE,phenazopyridine,100.0,fuzzy,False,
PHENYTOIN,phenytoin,100.0,fuzzy,False,
PIMOZIDE,pimozide,100.0,fuzzy,False,
PINDOLOL,pindolol,100.0,fuzzy,False,
PIROXICAM,piroxicam,100.0,fuzzy,False,
PRAVASTATIN,pravastatin,100.0,fuzzy,False,
PROBENECID,probenecid,100.0,fuzzy,False,
PROPAFENONE,propafenone,100.0,fuzzy,False,
PROPRANOLOL,propranolol,100.0,fuzzy,False,
PROPYLTHIOURACIL,propylthiouracil,100.0,fuzzy,False,
QUETIAPINE,quetiapine,100.0,fuzzy,False,
QUININE,quinine,100.0,fuzzy,False,
RABEPRAZOLE,rabeprazole,100.0,fuzzy,False,
RALOXIFENE,raloxifene,100.0,fuzzy,False,
RIBAVIRIN,ribavirin,100.0,fuzzy,False,
RISEDRONATE,risedronate,100.0,fuzzy,False,
RISPERIDONE,risperidone,100.0,fuzzy,False,
ROSUVASTATIN,rosuvastatin,100.0,fuzzy,False,
SERTRALINE,sertraline,100.0,fuzzy,False,
SILDENAFIL,sildenafil,100.0,fuzzy,False,
SIMVASTATIN,simvastatin,100.0,fuzzy,False,
SIROLIMUS,sirolimus,100.0,fuzzy,False,
SOTALOL,sotalol,100.0,fuzzy,False,
SPIRONOLACTONE,spironolactone,100.0,fuzzy,False,
SULFACETAMIDE,sulfacetamide,100.0,fuzzy,False,
SULFADIAZINE,sulfadiazine,100.0,fuzzy,False,
SULFAMETHOXAZOLE / TRIMETHOPRIM,sulfamethoxazole / trimethoprim,100.0,fuzzy,False,
SULFASALAZINE,sulfasalazine,100.0,fuzzy,False,
TACROLIMUS,tacrolimus,100.0,fuzzy,False,
TAMOXIFEN,tamoxifen,100.0,fuzzy,False,
TAMSULOSIN,tamsulosin,100.0,fuzzy,False,
TENOFOVIR,tenofovir,100.0,fuzzy,False,
TERBINAFINE,terbinafine,100.0,fuzzy,False,
THIORIDAZINE,thioridazine,100.0,fuzzy,False,
TIMOLOL,timolol,100.0,fuzzy,False,
TOBRAMYCIN,tobramycin,100.0,fuzzy,False,
TOLTERODINE,tolterodine,100.0,fuzzy,False,
TRAMADOL,tramadol,100.0,fuzzy,False,
TRIAMCINOLONE,triamcinolone,100.0,fuzzy,False,
VALPROIC ACID,valproic acid,100.0,fuzzy,False,
VENLAFAXINE,venlafaxine,100.0,fuzzy,False,
VITAMIN C,vitamin c,100.0,fuzzy,False,
VORICONAZOLE,voriconazole,100.0,fuzzy,False,
WARFARIN,warfarin,100.0,fuzzy,False,
ZIPRASIDONE,ziprasidone,100.0,fuzzy,False,
