title,pubdate,pmc_id,authors
A Clinical Decision Support System for the Prediction of Quality of Life in ALS.,2022,PMC8955774,"Antoniadi, Galvin, Heverin, Wei, Hardiman, Mooney"
"A Multicohort Machine Learning Framework to Predict Mortality in Elderly Patients With Heart Disease: Insights From HARLS, SHARE, and HRS.",2026,PMC12759112,"Yang, Zhang"
A Simplified Machine Learning Model for Predicting Reduced Kidney Function in Thai Patients with Type 2 Diabetes: A Retrospective Study.,2025,PMC12250820,"Pongsittisak, Suraamornkul"
A multicenter study on developing a prognostic model for severe fever with thrombocytopenia syndrome using machine learning.,2025,PMC11962041,"Xu, Yang, Quan, Xie, Zheng"
AI Machine Learning-Based Diabetes Prediction in Older Adults in South Korea: Cross-Sectional Analysis.,2025,PMC11779598,"Lee, Park, Won"
AI-driven analysis by identifying risk factors of VL relapse in HIV co-infected patients.,2025,PMC12215746,"Kumar, Mondal, Khatua, Guha, Mukherjee, Lahiri, Prasad, Sekh"
An individualized risk prediction tool for ectopic pregnancy within the first 10 weeks of gestation based on machine learning algorithms.,2025,PMC12722958,"Du, Chen, Lu, Hu, Chen, Huang, Ji, Zhou, Zou, Ruan"
An interpretable deep-learning approach to detect biomarkers in anxious-depressed symptoms from prefrontal fNIRS signals during an autobiographical memory test.,2025,NA,"Zhang, Xu, Cheng, Zhao, Potenza, Shi"
An interpretable machine learning model for preoperative prediction of renal mass malignancy.,2026,PMC6804853,"Wang, He, Ou, Li, Wei, Zhou, Su, Mi, Lu, Wang"
Analyzing classification and feature selection strategies for diabetes prediction across diverse diabetes datasets.,2024,PMC11371799,"Kaliappan, Saravana Kumar, Sundaravelan, Anesh, Rithik, Singh, Vera-Garcia, Himeur, Mansoor, Atalla, Srinivasan"
Artificial intelligence-driven diagnosis of autism spectrum disorder in children.,2025,PMC12723018,"Alsharif, Al-Nefaie, Ahmad, Farhah"
Bridging the gap: explainable ai for autism diagnosis and parental support with TabPFNMix and SHAP.,2025,PMC12630575,Jiang
Building a predictive model for hypertension related to environmental chemicals using machine learning.,2024,NA,"Liu, Lu, Wang, Han, Ou, Gao, Luo, Huo, Zeng"
Combining computed tomography features of left atrial epicardial and pericoronary adipose tissue with the triglyceride-glucose index to predict the recurrence of atrial fibrillation after radiofrequency catheter ablation: a machine learning study.,2024,PMC11651957,"Li, Wang, Wang, Chen, Li, Zhang, Sun, Xie, Hu"
Comparative analysis of explainable machine learning prediction models for hospital mortality.,2022,PMC8882271,"Stenwig, Salvi, Rossi, Skjærvold"
Constructing a fall risk prediction model for hospitalized patients using machine learning.,2025,PMC11748310,"Kang, Yan, Tian, Pu, Wu"
Construction and SHAP interpretability analysis of a risk prediction model for feeding intolerance in preterm newborns based on machine learning.,2024,PMC11572196,"Xu, Peng, Peng, Wang, Zhou, Fu"
Construction and validation of a machine learning-based model predicting early readmission in patients with decompensated cirrhosis: a prospective two-center cohort study.,2025,PMC12462353,"Yang, Li, Yang, Wu, Wang, Sun"
Construction of a machine learning-based prediction model for unfavorable discharge outcomes in patients with ischemic stroke.,2024,PMC11408056,"He, Zhang, Mei, Qianyun, Zhang, Chen, Li, Meng, Wei"
Decoding the association between health level and human settlements environment: a machine learning-driven provincial analysis in China.,2025,PMC12440893,"Zhu, Peng"
Development and Statistical Validation of a Machine Learning Model for Predicting Functional Outcomes at Discharge after Bipolar Hip Arthroplasty.,2025,PMC12685601,"Kaneoka, Kawazoe, Yamazaki, Shiraishi"
Development and validation of a successful aging prediction model for older adults in China based on health ecology theory.,2025,PMC12554565,"Zhang, Peng, Li, Li, Li, Pan, Liu, Chen"
Development and validation of an interpretable multi-task model to predict outcomes in patients with rhabdomyolysis: a multicenter retrospective cohort study.,2025,PMC12396465,"Liu, Shi, Wang, Li, Luo, Yang, Zhao, Zhang, Yang, Jin, Song, Guo, Fan, Lv"
Development and validation of an interpretable predictive model for short-term rebleeding after endoscopic hemostasis in peptic ulcer: a retrospective single-center cohort study.,2025,PMC7233308,"Li, Zhu, Xu"
"Development and validation of machine learning models to predict vancomycin- and teicoplanin-associated acute kidney injury: A retrospective, multicenter study.",2026,NA,"Lo, Chan, Ku, Wang, Chen"
Development and validation of the machine learning model for acute exacerbation of chronic obstructive pulmonary disease prediction based on inflammatory biomarkers.,2025,PMC12354386,"Zhu, Wang, Gu, Wang, Deng"
Development of a machine learning model to predict lateral hinge fractures by analyzing patient factors before open wedge high tibial osteotomy.,2023,PMC8436968,"Jeong, Kim, Choi, Park, Lee"
Development of an explainable machine learning model for predicting device-related pressure injuries in clinical settings.,2025,PMC12239401,"Qian, Pan, Chen, Hu, Fang, Huang, Xu, Gao"
Development of explainable artificial intelligence based machine learning model for predicting 30-day hospital readmission after renal transplantation.,2025,PMC12013099,"Alnazari, Alanazi, Alosaimi, Alanazi, Alhajeri, Alhussaini, Alanazi, Azzam"
Enhanced desalination with polyamide thin-film membranes using ensemble ML chemometric methods and SHAP analysis.,2024,PMC11443411,"Usman, Abba, Abdu, Yogarathinam, Usman, Lawal, Salhi, Aljundi"
Enhancing diabetes risk prediction through focal active learning and machine learning models.,2025,PMC12237043,"Zhang, Xia, Cai, Wang, Dong"
Enhancing end-stage renal disease outcome prediction: a multisourced data-driven approach.,2026,PMC12758457,"Li, Padman"
