title,pubdate,pmc_id,authors
"""A Lot of Things Stopped with COVID"": Screening Pregnant Patients for Opioid Use and Related Conditions During the COVID-19 Pandemic.",2023,PMC9637513,"Foti, Vereen, Vamos, Sappenfield, Kirby"
"""Anything can happen"": experiences of people using opioids in a xylazine market.",2025,PMC12312578,"Reed, Martin González, Green, Esteves Camacho, Laurano, Clark-García, Geraci, Kane, Rising"
"""Before medically advised"" departure from hospital and subsequent drug overdose: a population-based cohort study.",2024,PMC11426346,"Khan, Nicole, Crabtree, Moe, Nasmith, Daly-Grafstein, Brubacher, Slaunwhite, Staples"
"""Coke in the Dope"": The Underrecognized Complications of a Cocaine-Adulterated Fentanyl Supply.",NA,PMC11446664,"Mariano, Berk"
"""Convenience, Quickness, and Compassion"": Experiences of People Involved in the Criminal-Legal System Accessing Medications for Opioid Use Disorder Services From a Mobile Unit in Chicago.",2026,PMC12771649,"Martinford, Watson, Messmer, Rashid, Staton, Dennis, Grella, Elmes-Patel"
"""Expected to happen"": perspectives on post-release overdose from recently incarcerated people with opioid use disorder.",2024,PMC11265078,"Michener, Bianchet, Fox, Evans, Friedmann"
"""Here's the 'kicker': School factors associated with opioid misuse among US African American Youth.",2023,NA,"Yockey, King, Vidourek"
"""I don't know how you can overdose smoking them:"" Perceptions of overdose risks among persons who use illicit fentanyl-laced counterfeit pills.",2025,PMC12221302,"Daniulaityte, Sweeney, Timmons, Hooten, Williams, Coles, Russell, LoVecchio"
"""I feel like people would look at me like I'm dirty or like I'm a thief:"" a qualitative exploration of interpersonal and intrapersonal experiences that influence recovery among adults at risk of opioid-related overdose.",2025,PMC11907472,"Szlyk, Jones, Michener, Zhang, Kaiser, Holtz, Frempong, Lateef, Hutson, Cavazos-Rehg"
"""I was 15 when I started doing drugs with my dad"": Victimization, Social Determinants of Health, and Criminogenic Risk Among Women Opioid Intervention Court Participants.",2022,PMC9256849,"Morse, Cerulli, Hordes, El-Bassel, Bleasdale, Wilson, Henry, Przybyla"
"""I'm putting a Band-Aid on a bullet hole the only way I know how:"" a qualitative study of barriers and facilitators to opioid misuse and recovery in Nevada.",2022,PMC9694560,"Swigart, Lee"
"""Just give them a choice"": Patients' perspectives on starting medications for opioid use disorder in the ED.",2022,PMC9378535,"Schoenfeld, Westafer, Beck, Potee, Vysetty, Simon, Tozloski, Girardin, Soares"
"""The idea is to help people achieve greater success and liberty"": A qualitative study of expanded methadone take-home access in opioid use disorder treatment.",2022,PMC9710250,"Suen, Castellanos, Joshi, Satterwhite, Knight"
"""They Don't Just Need a Handshake or a Handoff, They Need a Hug"": A Qualitative Assessment of the Care Transition Experience of Patients with Substance Use Disorders After Hospital Discharge.",2025,PMC12508399,"Incze, Anderson, Hansen, Szczotka, Stolebarger, Tuckett, Fox, Bell, Galyean, Babbel, Zickmund"
"""You have to take this medication, but then you get punished for taking it:"" lack of agency, choice, and fear of medications to treat opioid use disorder across the perinatal period.",2022,PMC9187596,"Schiff, Work, Muftu, Partridge, MacMillan, Gray, Hoeppner, Kelly, Greenfield, Jones, Wilens, Terplan, Bernstein"
A Call to Action: Preventing Opioid and Substance Abuse in South Florida Youth.,2021,PMC10324759,"Jacko, Cohen, Appadoo, Levy, Page, Parker, Pierre-Gilles, Sainfort"
A Case-Control Study of Hepatitis C Virus Reinfection in Incarcerated Patients in California Receiving Medication for Opioid Use Disorder.,2025,NA,"Shemuel, Krawiec, Kalauokalani, Lucas"
"A Climate of Stigma, Uncertainty, and Distrust: Stakeholder Perception of Barriers to SNF Placement for Patients with Opioid Use Disorder Treated with Methadone.",2025,PMC12325808,"Bann, Cullen, de Boer, Hrachovec, Rozler, Blume"
A Closer Look at Opioid-Induced Adrenal Insufficiency: A Narrative Review.,2023,PMC10003084,"Coluzzi, LeQuang, Sciacchitano, Scerpa, Rocco, Pergolizzi"
A Dynamic Spatial Factor Model to Describe the Opioid Syndemic in Ohio.,2023,PMC10591492,"Kline, Waller, McKnight, Bonny, Miller, Hepler"
A Hidden Pandemic? Abuse of Gabapentinoids: A Brief Review of Recent Studies.,2025,NA,"Ispir, Danısman, Katar"
A Low-threshold Comprehensive Shared Medical Appointment Program for Perinatal Substance Use in an Underserved Population.,NA,NA,"Ganetsky, Heil, Yates, Jones, Hunter, Rivera, Wilson, Salzman, Baston"
A Predictive Model for Developing Long Term Opioid Use After Neurosurgery and Orthopedic Surgery.,2022,NA,"Bemel, Stalter, Mathiason, Banik, Pruinelli"
A Proof-of-Concept Ecological Momentary Assessment Study of Day-Level Dynamics in Value-Based Decision-Making in Opioid Addiction.,2022,PMC9156899,"Alvarez, Hafezi, Bonagura, Kleiman, Konova"
A Prospective Cohort Study to Determine Which Opioid-Naïve Emergency Department Patients Are at Risk of Persistent Opioid Use.,2025,PMC12277072,"Abril, Gilbert, Pacheco, Takematsu, Davitt, Schimmrich, Baer, Mazarin, Gupta, Adewunmi, Irizarry, Friedman"
A Qualitative Exploration of Perinatal Opioid Users' Pain-Related Experiences.,2024,NA,"Morton, Bloom, Anbari, St Marie, Lepper, Bullock"
A Qualitative Study of Barriers and Facilitators to Integrating Medications for Opioid Use Disorder and HIV Preexposure Prophylaxis for Adolescents and Young Adults.,NA,PMC10740380,"Herrera, Darien, Wood, Hadland, Metzger, Dowshen"
A Qualitative Study on the Impact of COVID-19 on Overdose Risk from the Perspective of Survivors and Witnesses of Drug Overdose: Lessons for Future Public Health Emergencies.,2025,NA,"Shah, Whaley, Desai, Song, Meyer, Heidari, Allen, Krawczyk, Sherman, Saloner, Harris"
A Quality Improvement Pilot of Pharmacist-Led Identification of an Inpatient Population for Opioid Stewardship and Pain Management.,2021,NA,"Hemmann, Moore, Politis, Frate"
"A Retrospective Cohort Study on Chronic Opioid Use After Geriatric Hip Fracture Surgery-Risk Factors, Trends, and Outcomes.",2023,NA,"Stone, Pujari, Garlich, Lin"
A Rhesus Monkey Model of Non-suicidal Self-Injury.,2021,PMC8374142,"Novak, Meyer"
A Risk-Structured Model of the Influence of Mental Health on Opioid Addiction.,2025,NA,"Newton, Luttrell, Blackwood, Montovan, Goldwyn"
A Transdiagnostic group therapy for sleep and anxiety among adults with substance use disorders: Protocol and pilot investigation.,2023,PMC10090550,"Milanak, Witcraft, Park, Hassell, McMahon, Wilkerson"
"A Vulnerability Assessment for a Future HIV Outbreak Associated With Injection Drug Use in Illinois, 2017-2018.",2021,PMC8170011,"Bergo, Epstein, Hoferka, Kolak, Pho"
A community outreach program enhances education on opioid and e-cigarette misuse among teenagers.,2025,PMC12011856,"Klump, Varre, Karns, Garg, Patel, Parikh, Mansour, Nazaroff, Restini"
"A cross-sectional study of alcohol, opioid use, and anxiety in agriculturally based occupations.",2023,NA,"Chasek, Watanabe-Galloway, Rutt, Olson, Yoder"
A cross-sectional study of opioid involvement in non-poisoning suicide - risks and prevention opportunities.,2021,PMC8060995,"Mason, Welch, McLone, Bartell, Lank, Sheehan, Post"
A deep learning analysis for dual healthcare system users and risk of opioid use disorder.,2025,PMC11779826,"Yin, Workman, Ma, Cheng, Shao, Goulet, Sandbrink, Brandt, Spevak, Kean, Becker, Libin, Shara, Sheriff, Butler, Agrawal, Kupersmith, Zeng-Trietler"
A descriptive analysis of rural-urban overdose experiences among incarcerated women with opioid use disorder.,2025,NA,"Dickson, Jamison, Webster, Tillson, Oser, Annett, Staton"
"A longitudinal observational study with ecological momentary assessment and deep learning to predict non-prescribed opioid use, treatment retention, and medication nonadherence among persons receiving medication treatment for opioid use disorder.",2025,PMC12602038,"Heinz, Price, Singh, Bhattacharya, Chen, Asyyed, Does, Hassanpour, Hichborn, Kotz, Lambert-Harris, Li, McLeman, Mishra, Stanger, Subramaniam, Wu, Campbell, Marsch, Jacobson"
"A mixed methods study to inform fatal overdose prevention in San Diego, California: Perspectives from people who use drugs.",2024,PMC11789787,"Bailey, Schecter, Eger, Justin Valasek, Strathdee, Knox, Harvey-Vera, Vera, Goldenberg, Bazzi, Davidson"
A national database propensity score-matched comparison of minimally invasive and open colectomy for long-term opioid use.,2022,PMC8741658,"Bastawrous, Brockhaus, Chang, Milky, Shih, Li, Cleary"
