title,pubdate,pmc_id,authors
A Comparison of Molecular Techniques for Improving the Methodology in the Laboratory of Pharmacogenetics.,2024,PMC11546559,"Peña-Martín, Marcos-Vadillo, García-Berrocal, Heredero-Jung, García-Salgado, Lorenzo-Hernández, Larrue, Lenski, Drevin, Sanz, Isidoro-García"
A collaborative force for precision medicine progress: the STRIPE pharmacogenomics conference series.,2024,NA,"Rogers, Jones, Kong, Formea, Awkal, Brown"
"Acceptability of Pharmacogenetic Testing among French Psychiatrists, a National Survey.",2021,PMC8223981,"Laplace, Calvet, Lacroix, Mouchabac, Picard, Girard, Charles"
Acetazolamide-induced pulmonary oedema: A disproportionality analysis from the EudraVigilance database.,2024,NA,"García, Albizua Madariaga, Sainz-Gil, Lertxundi"
Acquired thrombotic thrombocytopenic purpura associated with immune checkpoint inhibitors: A real-world study of the FDA adverse event reporting system.,2022,NA,"Moore, Elmes, Arnall, Strassels, Patel"
Activities of clinical pharmacologists across Europe: A survey by the European association of clinical pharmacology and therapeutics.,2024,PMC1381597,"Marquet, Jouanjus, Sáez-Peñataro, Sancho-Lopez"
"Adverse Drug Reactions of Olanzapine, Clozapine and Loxapine in Children and Youth: A Systematic Pharmacogenetic Review.",2022,PMC9230864,"Merino, Fernandez, Gérard, Ben Othman, Rocher, Askenazy, Verstuyft, Drici, Thümmler"
Adverse effects of antiseizure medications: a review of the impact of pharmacogenetics and drugs interactions in clinical practice.,2025,PMC12287013,"De Bellis, d'Orsi, Rubino, Arigliano, Carella, Sciruicchio, Liantonio, De Luca, Imbrici"
Alpelisib-Induced Diabetic Ketoacidosis: A Pharmacovigilance Analysis of the FDA Adverse Event Reporting System and Review of the Literature.,2024,NA,"Ziegengeist, Elmes, Strassels, Patel, Moore"
An updated examination of the perception of barriers for pharmacogenomics implementation and the usefulness of drug/gene pairs in Latin America and the Caribbean.,2023,PMC10213898,"Salas-Hernández, Galleguillos, Carrasco, López-Cortés, Redal, Fonseca-Mendoza, Esperón, González-Martínez, Lares-Asseff, Lazarowski, Loera-Castañeda, Remírez, Martínez, Vargas, Rios-Santos, Macho, Cayún, Perez, Gutierrez, Cerpa, Leiva, Calfunao, Xajil, Sandoval, Suárez, Gonzalez, Echeverría-Garcés, Sullón-Dextre, Cordero-García, Morales, Avendaño, Sánchez, Bastone, Lara, Zuluaga-Arias, Soler, Da Luz, Burgueño-Rodríguez, Vital, Reyes-Reyes, Huaccha, Ariza, Tzul, Rendón, Serrano, Acosta, Motta-Pardo, Beltrán-Angarita, Brand, Jiménez, Hidalgo-Lozada, Romero-Prado, Escobar-Castro, Umaña-Rivas, Vivas, Lagos, Martínez, Quesada, Calfio, Arias, Lavanderos, Cáceres, Salazar-Granara, Varela, Quiñones"
Application of the community dialogues method to identify ethical values and priorities related to pharmacogenomics.,2021,NA,"Determeyer, Crowder, O'Mahony, Esquivel, Atwal, Atwal, Rogers"
Artificial intelligence and machine learning for clinical pharmacology.,2024,NA,"Ryan, Maclean, Balston, Scourfield, Shah, Ross"
Artificial intelligence-based pharmacological approach in non-small cell lung cancer in the precision medicine era.,2025,NA,"Fogli, Barberis, Re, Crucitta, Ruglioni, Luculli, Guglielmi, Scavone, Petrini, Panzeri, Pierini, Rolfo, Danesi"
Ashwagandha as an Adaptogenic Herb: A Comprehensive Review of Immunological and Neurological Effects.,2025,PMC12680924,"Jamnekar, Dehankar, Bedre, Dharan, Agravat, Agravat"
Azathioprine-induced vanishing bile duct syndrome: The value of early thiopurine metabolism assessment.,2023,NA,"Chouchana, Terris, Sogni, Treluyer, Costedoat-Chalumeau, Loriot"
"Barriers, facilitators, and implementation strategies for pharmacogenomics in community pharmacies: a cross-sectional survey among local champions in pharmacies and key opinion leaders in pharmacogenomics.",2025,PMC5117920,"Kiani, Bet, Jessurun, Hoogland, Mentink, Swen, Borgsteede"
Brentuximab vedotin-induced pancreatitis in lymphoma: a pharmacovigilance study.,2022,NA,"Moore, Elmes, Strassels, Patel"
CYP2D6 Genotype and Pharmacovigilance Impact on Autism Spectrum Disorder: A Naturalistic Study with Extreme Phenotype Analysis.,2023,PMC10385457,"Ballester, Espadas, Almenara, Barrachina, Muriel, Ramos, Toral, Belda, Peiró"
Can we identify patients carrying targeted deleterious DPYD variants with plasma uracil and dihydrouracil? A GPCO-RNPGx retrospective analysis.,2024,NA,"Launay, Raymond, Guitton, Loriot, Chatelut, Haufroid, Thomas, Etienne-Grimaldi"
Cardiovascular events and safety outcomes associated with remdesivir using a World Health Organization international pharmacovigilance database.,2022,PMC8841455,"Jung, Kim, Li, Lee, Koyanagi, Solmi, Kronbichler, Dragioti, Tizaoui, Cargnin, Terrazzino, Hong, Abou Ghayda, Kim, Chung, Jacob, Salem, Yon, Lee, Kostev, Kim, Jung, Choi, Shin, Park, Choi, Ban, Moon, Go, Shin, Smith"
Case Report: Life-Threatening Fluoxetine-Linked Postoperative Bleeding Informed by Pharmacogenetic Evaluation.,2024,PMC11035520,"Rogers, Silva, Udeani, Deleon, Mutyala, Panahi, Abu-Baker, Neal, Ramos"
Combined Impact of Inflammation and Pharmacogenomic Variants on Voriconazole Trough Concentrations: A Meta-Analysis of Individual Data.,2021,PMC8152514,"Bolcato, Khouri, Veringa, Alffenaar, Yamada, Naito, Lamoureux, Fonrose, Stanke-Labesque, Gautier-Veyret"
