title,pubdate,pmc_id,authors
"""Artificial Intelligence"" for Pharmacovigilance: Ready for Prime Time?",2022,PMC9112277,"Ball, Dal Pan"
A 13-years pharmacovigilance analysis of novel hormonal agents in prostate cancer using the FDA adverse event reporting system database.,2024,NA,"Xiao, Qin, Wen, Ai, Chen, Cao, Wu"
A Biologic With Otologic Consequences: Analysis of Hearing Loss and Teprotumumab Using the FDA Adverse Event Reporting System.,2024,NA,"Huynh, Saba, Rivero, Peralta, Liang"
A Focus on Abuse/Misuse and Withdrawal Issues with Selective Serotonin Reuptake Inhibitors (SSRIs): Analysis of Both the European EMA and the US FAERS Pharmacovigilance Databases.,2022,PMC9146999,"Chiappini, Vickers-Smith, Guirguis, Corkery, Martinotti, Schifano"
A Gender Hypothesis of sex disparities in adverse drug events.,2023,NA,"Lee, Rushovich, Gompers, Boulicault, Worthington, Lockhart, Richardson"
A Pharmacovigilance Analysis of Post-Marketing Safety of Tezepelumab.,2025,NA,"Li, Wang, Guo"
A Pharmacovigilance Study from 2004 to 2024 Utilizing the FDA Adverse Event Reporting System (FAERS) Examines Ischemic Adverse Events Linked to Triptan Use in Migraine Therapy.,2025,PMC12523564,"Xu, Lu"
A Pharmacovigilance Study of Adverse Drug Reactions Reported for Cardiovascular Disease Medications Approved Between 2012 and 2017 in the United States Food and Drug Administration Adverse Event Reporting System (FAERS) Database.,2022,NA,"Patel, Stottlemyer, Gray, Boyce, Kane-Gill"
A Pharmacovigilance Study of Immune Checkpoint Inhibitor-Associated Cholangitis: Insights From the FDA Adverse Event Reporting System.,2025,NA,"Tan, Ou, Chen, Lan, Luo"
A Pharmacovigilance Study on Clozapine in the Food and Drug Administration Adverse Event Reporting System: A Regional Comparative Analysis.,2024,PMC11289604,"Hatano, Araki, Saito, Yamada"
A Real-World Disproportionality Analysis of Avacopan in Anti-Neutrophil Cytoplasmic Antibodies Associated Vasculitis: Insights From FDA Adverse Event Reporting System.,2025,PMC12620843,"Liang, Liu, Gao, Yang, Song, Liu"
A Real-World Disproportionality Analysis of FDA Adverse Event Reporting System Events for Tazemetostat.,2026,PMC7385862,"Liu, Luo, Gao, Yang, Liu, Liang"
A Real-World Disproportionality Analysis of FDA Adverse Event Reporting System(FAERS) Event for Belatacept.,2025,NA,"Liang, Song, Lin"
A Real-World Disproportionality Analysis of Histamine H2-Receptors Antagonists (Famotidine): A Pharmacovigilance Study Based on Spontaneous Reports in the FDA Adverse Event Reporting System.,2025,NA,"Zhang, Cai, Sun, Zeng, Wang, Wang, Jiang, Lian"
A Real-World Disproportionality Analysis of Olaparib: Data Mining of the Public Version of FDA Adverse Event Reporting System.,2022,PMC9250344,"Shu, He, Liu, Wu, Zhang"
A Real-World Pharmacovigilance Analysis for Demethylation Drug: Findings from the FDA Adverse Event Reporting Database.,2025,NA,"Zeng, Chen, Liu, Gao, Tang, Zeng"
A Real-World Pharmacovigilance Analysis of Lorlatinib-Associated Metabolic Effects Using the FDA Adverse Events Reporting System (FAERS) Database From 2013 to 2024.,2025,NA,Frey
A Real-World Pharmacovigilance Study of Ceftazidime/Avibactam: Data Mining of the Food and Drug Administration Adverse Event Reporting System Database.,2024,NA,"Yao, Wang, Peng, Huang, Gan, Wang"
A Real-World Pharmacovigilance Study of FDA Adverse Event Reporting System Events for Avelumab.,2025,PMC12032950,"He, Zhang, Li, Li, Hou"
A Real-World Pharmacovigilance Study of FDA Adverse Event Reporting System Events for Obeticholic Acid.,2025,NA,"Hai, Wu, Pan, Yin, Wu"
A Real-World Pharmacovigilance Study of Fruquintinib Based on the FDA Adverse Event Reporting System (FAERS) Database.,2025,PMC12593544,"Xu, Wang, Xu"
A Real-World Pharmacovigilance Study of the FDA Adverse Event Reporting System Events for Trametinib.,2024,PMC11426181,"Zhang, Li, Li, He, Hou"
A Real-World Pharmacovigilance study of FAERS Database for Fluvoxamine: Perspectives from Physicians and Pharmacists.,2025,NA,"Xie, Li, Gu, Wang, Liu, Wu, Wang"
A Real-World Study on Adverse Reactions of Belimumab Based on the FDA Adverse Event Reporting System Database.,2024,NA,"Hai, Wu, Xie"
A Real-world Pharmacovigilance Study Of FDA Adverse Event Reporting System (FAERS) Events For Gender Of Voriconazole Drugs.,2025,PMC12227254,"Xu, Cheng, Sun, Zhao, Chen, Ji, Liang"
A Real‑World Pharmacovigilance Study of FDA Adverse Event Reporting System (FAERS) for Mavacamten.,2024,PMC10659958,"Yukselen, Raju, Kumar, Ujjawal, Dasari, Parajuli, Nakhla, Bansal, Ganatra, Dani"
"A case-control pharmacovigilance study of TNF-alpha inhibitors and interleukin inhibitors on tuberculosis, Candida, lymphoma and suicidality using the FAERS database (2014-2020).",2023,NA,"Arcuri, Kaouache, Lagacé, Sasseville, Litvinov"
A comprehensive assessment of the association between common drugs and psychiatric disorders using Mendelian randomization and real-world pharmacovigilance database.,2024,PMC11400609,"Chen, Wang, Teng, Huang, Mo, Qu, Wu, Liu, Liu, Xia"
A comprehensive exploration of adverse reactions to lapatinib: a disproportionate analysis based on the FAERS database.,2025,NA,"Zhou, Gong, Deng, Shen, Ge, Fan, Ling, Wu, Liu"
"A comprehensive, population level evaluation of previously reported drug triggers of pemphigus highlights immunomodulatory capacity as a common characteristic.",2024,PMC11790476,"Baroukhian, Seiffert-Sinha, Sinha"
A descriptive analysis of concomitant opioid and benzodiazepine medication use and associated adverse drug events in United States adults between 2009 and 2018.,2022,PMC9031034,"Marwitz, Noureldin"
A disproportionality analysis for assessing the safety of FLT3 inhibitors using the FDA Adverse Event Reporting System (FAERS).,2024,PMC11459563,"Zhou, Zhang, Wang, Peng, Qian, Wu, Rao, DanZhen, Yang, Wang, Liu"
A disproportionality analysis of FDA adverse event reporting system (FAERS) events for methimazole and propylthiouracil.,2025,PMC12352670,"Li, Li, Sun, Long"
A disproportionality analysis of FDA adverse event reporting system events for misoprostol.,2025,PMC11743753,"Yang, Xu"
A disproportionality analysis of adverse events associated to pertuzumab in the FDA Adverse Event Reporting System (FAERS).,2023,PMC10642055,"Zou, Yang, Ouyang, Cheng, Shi, Sun"
A disproportionality analysis of adverse events associated with loop diuretics in the FDA Adverse Event Reporting System (FAERS).,2025,PMC11912766,"Xue, Liu, Liu, Yang, Yu"
A disproportionality analysis of adverse events caused by GnRHas from the FAERS and JADER databases.,2024,PMC11254796,"Zou, Ouyang, Zhao, Cheng, Shi, Sun"
A disproportionality analysis of adverse events caused by pexidartinib from the FDA adverse event reporting system.,2025,PMC12394515,"Chen, Yang, Fu, Zhang, Chen, Cai, Xie"
A disproportionality analysis of cardiac arrhythmia associated with bisphosphonates based on the FAERS database.,2025,PMC12218972,"Wang, Xu, Wang, Wu"
A disproportionality analysis of diabetes mellitus in patients treated with biologics for asthma and related conditions using FAERS data.,2025,NA,"Matera, Calzetta, De Biase, Lauro, Rogliani, Cazzola"
A disproportionality analysis of hydrocortisone-related adverse events: a real-world pharmacovigilance study using the FAERS database.,2025,NA,"Wang, An, Zhao, Wang, Yan, Han"
A disproportionality analysis of interstitial lung disease associated with drug therapy in spontaneous adverse event reports.,2025,NA,"Yuan, Li, Ye, Fu"
A disproportionality analysis of nervous system adverse events associated with disease-modifying therapies in multiple sclerosis: insights from the FDA adverse event reporting system (FAERS).,2025,PMC5830904,Chen
A disproportionality analysis of nifedipine in the overall population and in pregnant women using the FDA Adverse Event Reporting System (FAERS) database.,2025,PMC12582688,"Ju, Chen, Wang, Zhang, Liu, Chen"
A disproportionality analysis on proprotein convertase subtilisin/kexin type 9 inhibitors and hypersensitivity and anaphylaxis.,2025,PMC12635233,"Dermiki-Gkana, Gravel, Kontogiorgis, Douros"
A multidimensional assessment of adverse events associated with paliperidone palmitate: a real-world pharmacovigilance study using the FAERS and JADER databases.,2025,PMC11744949,"Lou, Cui, Ou, Chen, Zhou, Zhao, Zhu, Wang, Wu, Zou"
A pharmacovigilance analysis of FDA adverse event reporting system events for romosozumab.,2023,NA,"Chen, Li, Li, Li, Wu, Qiu, Yu, Huang, Chen"
A pharmacovigilance analysis of abrocitinib-related skin adverse events based on the FDA Adverse Event Reporting System (FAERS).,2025,PMC11695424,"Huang, Li"
A pharmacovigilance analysis of post-marketing safety of durvalumab.,2025,PMC12075497,"Tan, Liu, Lu, Tan, Yan, Mo"
A pharmacovigilance study based on the FAERS database focusing on anticoagulant and hormonal drugs that induce vaginal hemorrhage.,2025,NA,"Li, Hu, Qian"
A pharmacovigilance study of Bruton's tyrosine kinase inhibitors: a multidimensional analysis based on FAERS and VigiBase.,2025,PMC12685910,"Qu, Jia, Liu, Li, Zhao, Wu, Fan, Lou"
A pharmacovigilance study of FDA adverse events for sugammadex.,2024,NA,"Mao, Zhang, Liang, Liu, Dai, Wang, Huang, Fu"
A pharmacovigilance study of adverse event profiles and haemorrhagic safety of bevacizumab based on the FAERS database.,2024,NA,"Tang, Ding, Li, Yin, Zhang, Liu, Ji, Li"
A pharmacovigilance study of adverse events associated with polycythemia vera treatments using the FDA Adverse Event Reporting System (FAERS) database.,2025,PMC12334515,"Reeves, Masarova, Abu-Zeinah, Hunter, Shatzel, Qin, Yoon, Cai, Wei, Mesa"
