title,pubdate,pmc_id,authors
10-Year Cumulative Incidence and Indications for Revision Total Joint Arthroplasty for Patients Who Have Ehlers-Danlos Syndrome.,2024,NA,"Kubsad, Thenuwara, Green, Kurian, Kishan, Harris, Golladay, Thakkar"
A Comparative Effectiveness Study of Two Narrow-Profile Staplers Used in Video-assisted Thoracoscopic Lobectomy.,2025,PMC12622397,"Pan, Siddiqui"
A Cost Analysis of Phosphodiesterase Type 5 Inhibitors in the United States.,2024,NA,"Nabavizadeh, Nguyen, Li, van Meijgaard, Breyer"
A Cost Effectiveness Analysis of Spinal Cord Stimulation versus Conventional Medical Management for the Treatment of Low Back Pain Using Data from DISTINCT RCT and Medical Claims from a U.S. Commercial Payer Database.,2025,PMC12153939,"Deer, Heros, Scarfo, Gilligan, Jameson, Pilitsis, Desai, Panchalingam, Goates, Benison, Okaro, Falowski"
A National Observational Study From 2010 to 2021 of the Trends in the Timing of Hip Surgery in Children With Cerebral Palsy: Is Surgery Being Performed Earlier?,2024,PMC10990000,"Chiu, Dance, Ferraro, O'Mara, Thakkar, Tabaie"
A Nationwide Comparison of Outcomes and Resource Use in Staged vs Simultaneous Cervical and Lumbar Fusions: A Retrospective Database Study.,2024,PMC11528734,"Illescas, Poeran, Zhong, Cozowicz, Girardi, Memtsoudis, Liu"
A Policy and Regulatory Framework to Promote Care Delivery Redesign and Production Efficiency in Health Care Markets.,2025,PMC12185368,"Scanlon, Harvey, Damberg, Bhagat, Shi"
A Retrospective Claims Data Analysis on the Burden of COVID-19-Related Hospitalization in Adults at High Risk for Severe Disease Progression in Germany.,2025,PMC11782760,"Stremel, Schnaidt, Bihrer, Fröling, Jacob, Kisser"
A comparative analysis of public and private dental benefit payer types for the provision and outcomes of root canal therapy on permanent teeth of children and adolescents in Massachusetts.,2023,PMC10026184,"Burns, Gencerliler, Gold"
A real-world comparison of the clinical and economic utility of OVA1 and CA125 in assessing ovarian tumor malignancy risk.,2023,PMC10402905,"Reilly, Gregory, Scotti, Lederman, Neiman, Sussman, M Bean, Ekono"
