title,pubdate,pmc_id,authors
A Healthcare Paradigm for Deriving Knowledge Using Online Consumers' Feedback.,2022,PMC9407698,"Nawaz, Abbas, Ahmad, Mahmoud, Rizwan, Samee"
A Process Mining Pipeline to Characterize COVID-19 Patients' Trajectories and Identify Relevant Temporal Phenotypes From EHR Data.,2022,PMC9168006,"Dagliati, Gatta, Malovini, Tibollo, Sacchi, Cascini, Chiovato, Bellazzi"
A data-driven analysis of industry-specific occupational injury risks and patterns.,2025,NA,"Liu, Qin"
A mixed-methods systematic review of nurse-led interventions for people with multimorbidity.,2022,PMC9826481,"McParland, Johnston, Cooper"
Adverse health correlates of intimate partner violence against older women: Mining electronic health records.,2023,PMC9994723,"Yılmaz, Gunay, Lee, Whiting, Silver, Koyuturk, Karakurt"
All-cause mortality prediction in T2D patients with iTirps.,2022,NA,"Novitski, Cohen, Karasik, Shalev, Hodik, Moskovitch"
An evolutionary computation-based sensitive pattern hiding model under a multi-threshold constraint in healthcare.,2025,PMC12508124,"Sharma, Sharma, Kumar, Min"
Application of the LDA model to identify topics in telemedicine conversations on the X social network.,2025,PMC11905709,"Martín, Chen, Urbistondo"
Applying Computational Ethnography to Examine Nurses' Workflow Within Electronic Health Records.,NA,NA,"Tolentino, Subbian, Gephart"
Applying text mining methods to suicide research.,2021,NA,"Cheng, Lui"
Applying topic modelling and qualitative content analysis to identify and characterise ENDS product promotion and sales on Instagram.,2023,NA,"Shah, Nali, Bardier, Li, Maroulis, Cuomo, Mackey"
"Cardiovascular disease healthcare trajectories: descriptions, similarities, mortality rates of heart failure in France.",2024,PMC11287304,"Nevoret, Tran, Guendouz, Lavenu, Katsahian, Damy, Tropeano"
Comorbidity Patterns in Patients with First-Ever Acute Ischemic Stroke and Their Associations with Functional Outcomes.,2025,NA,"Huang, Lu, Li, Zhang, Meng, Wang, Shao, Wei, Jiang, Shao"
Comorbidity Patterns of Mood Disorders in Adult Inpatients: Applying Association Rule Mining.,2021,PMC8470302,"Cha, Kim"
Conversational Agents in Health Care: Scoping Review of Their Behavior Change Techniques and Underpinning Theory.,2022,PMC9577715,"Martinengo, Jabir, Goh, Lo, Ho, Kowatsch, Atun, Michie, Tudor Car"
Cross border population movements across three East African states: Implications for disease surveillance and response.,2024,PMC11482666,"King, Wanyana, Mayinja, Nakafeero Simbwa, Zalwango, Owens Kobusinge, Migisha, Kadobera, Kwesiga, Bulage, Gonahasa, Ahabwe Babigumira, Nchoko, Salat, Waithaka, Gunya, Odhiambo, Mutabazi, Habimana, Twagirimana, Ndabarinze, Manishimwe, Itiakorit, Kadivani, Seib, Whitney, Ario"
"Data-Driven Analysis of Short- and Long-Term Outcomes of Simulation, Nasal Hump Reduction, and Rasping in Open Rhinoplasty for Nasal Dorsum Correction.",2025,NA,"Bulut, Bulut"
