title,pubdate,pmc_id,authors
"""It Is Like We Are Living in a Different World"": Health Inequity in Communities Surrounding Industrial Mining Sites in Burkina Faso, Mozambique, and Tanzania.",2021,PMC8582703,"Leuenberger, Cambaco, Zabré, Lyatuu, Utzinger, Munguambe, Merten, Winkler"
21st century (clinical) decision support in nursing and allied healthcare. Developing a learning health system: a reasoned design of a theoretical framework.,2023,PMC10699040,"van Velzen, de Graaf-Waar, Ubert, van der Willigen, Muilwijk, Schmitt, Scheper, van Meeteren"
A Comprehensive Survey on Machine Learning-Based Big Data Analytics for IoT-Enabled Smart Healthcare System.,2021,PMC7786888,"Li, Chai, Khan, Jan, Verma, Menon, Kavita, Li"
"A Conceptual Framework to Predict Disease Progressions in Patients with Chronic Kidney Disease, Using Machine Learning and Process Mining.",2023,NA,"Kandasamy, Chaussalet, Basukoski"
A Deep Convolutional Neural Network for Pneumonia Detection in X-ray Images with Attention Ensemble.,2024,PMC10887593,"An, Chen, Shao"
A Hybrid Natural Language Processing Platform for Multi-Site RWD Studies.,2025,NA,"Sugimoto, Matsumura, Wada, Konishi, Okada, Takeda"
A Joint Multimodal User Authentication-based Privacy Preservation with Disease Prediction Framework in Modern Healthcare System Using Multi-Scale Cross Attention-based ResNet.,2025,NA,"Anita, K, Joselin Jeya Sheela"
A Keyword Approach to Identify Adverse Events Within Narrative Documents From 4 Italian Institutions.,2022,NA,"Piscitelli, Bevilacqua, Labella, Parravicini, Auxilia"
A Linguistic Analysis Examining the Impact of COVID-19 on Pneumonia Diagnosis and Disease Models.,2024,NA,"Chapman, Peterson, Rutter, Nevers, Ying, Classen, Jones, Samore, Jones"
A Micro-analysis Approach in Understanding Electronic Medical Record Usage in Rural Communities: Comparison of Frequency of Use on Performance Before and During the COVID-19 Pandemic.,2022,PMC8745936,"Acacio-Claro, Justina Estuar, Villamor, Bautista, Sugon, Pulmano"
A Novel Feature Selection with Hybrid Deep Learning Based Heart Disease Detection and Classification in the e-Healthcare Environment.,2022,PMC9534609,"B, M, R, Kallimani, Walia, Belete"
A Performance-Based Voting Framework for Assertion Detection in Clinical Notes.,2025,NA,"Eslami, Dligach, Strickland, Azarvash, Tootooni"
A Pipeline for the Usage of the Core Data Set of the Medical Informatics Initiative for Process Mining - A Technical Case Report.,2024,NA,"Heidemeyer, Auhagen, Majeed, Pegoraro, Bienzeisler, Peeva, Beyel, Röhrig, van der Aalst, Puladi"
A Process Mining Pipeline to Characterize COVID-19 Patients' Trajectories and Identify Relevant Temporal Phenotypes From EHR Data.,2022,PMC9168006,"Dagliati, Gatta, Malovini, Tibollo, Sacchi, Cascini, Chiovato, Bellazzi"
A ROI Extraction Method for Wrist Imaging Applied in Smart Bone-Age Assessment System.,2024,NA,"Wang, Mao, Xu, Wu, Wu, Mao, Fang"
A Review on Bacteriocin Extraction Techniques from Lactic Acid Bacteria.,2025,PMC8486014,"Isaac, Mohd Hashim, Faizal Wong, Mohamed Akbar, Wan Ahmad Kamil"
A computational eye state classification model using EEG signal based on data mining techniques: comparative analysis.,2025,PMC6121271,"Mondal, Nag"
A declarative approach for interactive process discovery in the clinical domain.,2025,NA,"Fernández-Llatas, Martínez-Salvador, Marcos"
A deep learning method to detect opioid prescription and opioid use disorder from electronic health records.,2023,PMC9898169,"Kashyap, Callison-Burch, Boland"
A foundation model for human-AI collaboration in medical literature mining.,2025,PMC12306811,"Wang, Cao, Jin, Chan, Wan, Afzali, Cho, Choi, Emamverdi, Gill, Kim, Li, Liu, Ong, Rousseau, Sheikh, Wei, Xu, Zallek, Kim, Peng, Lu, Sun"
A framework for inferring and analyzing pharmacotherapy treatment patterns.,2024,PMC10924394,"Rush, Ozmen, Kim, Ortegon, Jones, Park, Pizer, Trafton, Brenner, Ward, Nebeker"
A framework for processing large-scale health data in medical higher-order correlation mining by quantum computing in smart healthcare.,2024,PMC11614762,"Mei, Zhang"
A framework for the automatic description of healthcare processes in natural language: Application in an aortic stenosis integrated care process.,2022,NA,"Fontenla-Seco, Lama, González-Salvado, Peña-Gil, Bugarín-Diz"
A fuzzy decision support model for the evaluation and selection of healthcare projects in the framework of competition.,2023,PMC10442559,"Gavurova, Kelemen, Polishchuk, Mudarri, Smolanka"
A general framework for developing computable clinical phenotype algorithms.,2024,PMC11258420,"Carrell, Floyd, Gruber, Hazlehurst, Heagerty, Nelson, Williamson, Ball"
A health equity monitoring framework based on process mining.,2024,PMC11355534,"Adams, Ziegler, McDermott, Douglas, Eber, Gichoya, Goode, Sankaranarayanan, Chen, van der Aalst, Celi"
A mapping exercise using automated techniques to develop a search strategy to identify systematic review tools.,2023,NA,"Sutton, O'Keefe, Johnson, Marshall"
A multi-branched semantic segmentation network based on twisted information sharing pattern for medical images.,2024,NA,"Wang, Yu, Yang, Zhang, Zhang, Zhang, Feng, Xue"
A novel discrete learning-based intelligent methodology for breast cancer classification purposes.,2023,NA,"Khashei, Bakhtiarvand"
A novel generalized fuzzy intelligence-based ant lion optimization for internet of things based disease prediction and diagnosis.,2022,PMC8868039,"Verma, Agarwal, Gupta"
A post-marketing disproportionality analysis of the safety of ribociclib based on the FDA Adverse Event Reporting System.,2025,PMC11869255,"Xu, Wang, Shen"
A practical approach towards causality mining in clinical text using active transfer learning.,2021,NA,"Hussain, Satti, Hussain, Ali, Ali, Bilal, Park, Lee, Chung"
