title,pubdate,pmc_id,authors,Selected,Category
A Deep Learning-Based Decision Support Tool for Precision Risk Assessment of Breast Cancer.,2019,PMC10445790,"He, Puppala, Ezeana, Huang, Chou, Yu, Chen, Wang, Yin, Danforth, Ensor, Chang, Patel, Wong",,EHR
A Knowledge Distillation Ensemble Framework for Predicting Short- and Long-Term Hospitalization Outcomes From Electronic Health Records Data.,2022,HSH83026242,"Ibrahim, Bean, Searle, Qian, Wu, Shek, Kraljevic, Galloway, Norton, Teo, Dobson",,EHR
A Multivariable Prediction Model to Select Colorectal Surgical Patients for Co-Management.,2021,HSHb012ff26,"Horta, Geraldes, Salgado, Vieira, Xavier, Papoila",,EHR
A Potential Answer to the Alert Override Riddle: Using Patient Attributes to Predict False Positive Alerts.,2019,PMC7153062,"Kennell, Cimino",,EHR
A Systematic Review and Meta-Analysis of Preoperative Frailty Instruments Derived From Electronic Health Data.,2021,HSH5776bbf0,"Alkadri, Hage, Nickerson, Scott, Shaw, Aucoin, McIsaac",,EHR
A customizable deep learning model for nosocomial risk prediction from critical care notes with indirect supervision.,2020,PMC7075529,"Goodwin, Demner-Fushman",,EHR
A data-driven and practice-based approach to identify risk factors associated with hospital-acquired falls: Applying manual and semi- and fully-automated methods.,2019,HSH59aae816,"Lucero, Lindberg, Fehlberg, Bjarnadottir, Li, Cimiotti, Crane, Prosperi",,EHR
A machine learning approach for predicting urine output after fluid administration.,2019,HSHc5976813,"Lin, Huang, Komorowski, Lin, Chang, Chen, Li, Lin",,EHR
A machine learning model for orthodontic extraction/non-extraction decision in a racially and ethnically diverse patient population.,2023,HSHce8588df,"Mason, Kelly, Eckert, Dean, Dundar, Turkkahraman",,EHR
"A prognostic model, including quantitative fetal fibronectin, to predict preterm labour: the QUIDS meta-analysis and prospective cohort study.",2021,HSHe5de14a0,"Stock, Horne, Bruijn, White, Heggie, Wotherspoon, Boyd, Aucott, Morris, Dorling, Jackson, Chandiramani, David, Khalil, Shennan, Baaren, Hodgetts-Morton, Lavender, Schuit, Harper-Clarke, Mol, Riley, Norman, Norrie",,EHR
