title,pubdate,pmc_id,authors
"""fhircrackr"": An R Package Unlocking Fast Healthcare Interoperability Resources for Statistical Analysis.",2023,PMC9876659,"Palm, Meineke, Przybilla, Peschel"
A Blockchain Framework for Patient-Centered Health Records and Exchange (HealthChain): Evaluation and Proof-of-Concept Study.,2019,PMC6743266,"Hylock, Zeng"
"A Data Transformation Methodology to Create Findable, Accessible, Interoperable, and Reusable Health Data: Software Design, Development, and Evaluation Study.",2023,PMC10034606,"Sinaci, Gencturk, Teoman, Laleci Erturkmen, Alvarez-Romero, Martinez-Garcia, Poblador-Plou, Carmona-Pírez, Löbe, Parra-Calderon"
A Framework for Criteria-Based Selection and Processing of Fast Healthcare Interoperability Resources (FHIR) Data for Statistical Analysis: Design and Implementation Study.,2021,PMC8050750,"Gruendner, Gulden, Kampf, Mate, Prokosch, Zierk"
A Methodology for an Auto-Generated and Auto-Maintained HL7 FHIR OWL Ontology for Health Data Management.,2021,NA,"Kilintzis, Alexandropoulos, Beredimas, Maglaveras"
A Modified Public Health Automated Case Event Reporting Platform for Enhancing Electronic Laboratory Reports With Clinical Data: Design and Implementation Study.,2021,PMC8387889,"Mishra, Duke, Karki, Choi, Riley, Ilatovskiy, Gorges, Lenert"
A Prototype of the National EHR system for Cyprus.,2021,NA,"Papaioannou, Neocleous, Savva, Miguel, Panayides, Antoniou, Neofytou, Schiza, Neokleous, Constantinou, Panos, Pattichis, Schizas"
A Versatile and Scalable Platform That Streamlines Data Collection for Patient-Centered Studies: Usability and Feasibility Study.,2022,PMC9520400,"Huang, Aschettino, Lari, Lee, Rosenberg, Ng, Muthuri, Bakshi, Bishop, Ezzeldin"
A cloud-based pipeline for analysis of FHIR and long-read data.,2023,PMC9872570,"Dunn, Cosgun"
A corpus-driven standardization framework for encoding clinical problems with HL7 FHIR.,2020,PMC7701983,"Peterson, Jiang, Liu"
A hackathon as a tool to enhance research and practice on electronic health record systems' interoperability for chronic disease management and prevention.,2023,PMC10682770,"Rigas, Kostomanolakis, Kyriakoulakos, Kounalakis, Petrakis, Berler, Boumpaki, Karanikas, Kelepouris, Bamidis, Katehakis"
A landscape survey of planned SMART/HL7 bulk FHIR data access API implementations and tools.,2021,PMC8661398,"Jones, Gottlieb, Mandel, Ignatov, Ellis, Kubick, Mandl"
A mobile health monitoring-and-treatment system based on integration of the SSN sensor ontology and the HL7 FHIR standard.,2019,PMC6511155,"El-Sappagh, Ali, Hendawi, Jang, Kwak"
A novel application of SMART on FHIR architecture for interoperable and scalable integration of patient-reported outcome data with electronic health records.,2021,PMC8449622,"Wesley, Blumenthal, Shah, Littlejohn, Pruitt, Dixit, Hsiao, Dymek, Ratwani"
A sustainable HL7 FHIR based ontology for PHR data.,2019,NA,"Kilintzis, Kosvyra, Beredimas, Natsiavas, Maglaveras, Chouvarda"
A systematic review of data elements of computerized physician order entry (CPOE): mapping the data to FHIR.,2023,NA,"Montazeri, Khajouei, Afraz, Ahmadian"
AHD2FHIR: A Tool for Mapping of Natural Language Annotations to Fast Healthcare Interoperability Resources - A Technical Case Report.,2022,NA,"Scheible, Caliskan, Fischer, Thomczyk, Zabka, Schneider, Boeker, Schulz, Prokosch, Gulden"
ASH Research Collaborative: a real-world data infrastructure to support real-world evidence development and learning healthcare systems in hematology.,2021,PMC9153041,"Wood, Marks, Plovnick, Hewitt, Neuberg, Walters, Dolan, Tucker, Abrams, Thompson, Anderson, Kluetz, Farrell, Rivera, Gertzog, Pappas"
Analyzing Patient Secure Messages Using a Fast Health Care Interoperability Resources (FIHR)-Based Data Model: Development and Topic Modeling Study.,2021,PMC8367168,"De, Huang, Feng, Yue, Yao"
Application Programming Interfaces in Health Care: Findings from a Current-State Sociotechnical Assessment.,2020,PMC6976305,"Dullabh, Hovey, Heaney-Huls, Rajendran, Wright, Sittig"
Assessing Data Adequacy for High Blood Pressure Clinical Decision Support: A Quantitative Analysis.,2021,PMC8354347,"Dorr, D'Autremont, Pizzimenti, Weiskopf, Rope, Kassakian, Richardson, McClure, Eisenberg"
Automated Clinical Trial Cohort Definition and Evaluation with CQL and CDS-Hooks.,2024,NA,"Schwab, Lin, Winkler"
Automated Production of Research Data Marts from a Canonical Fast Healthcare Interoperability Resource (FHIR) Data Repository: Applications to COVID-19 Research.,2021,PMC7987036,"Lenert, Ilatovskiy, Agnew, Rudsill, Jacobs, Weatherston, Deans"
Automated production of research data marts from a canonical fast healthcare interoperability resource data repository: applications to COVID-19 research.,2021,PMC8243354,"Lenert, Ilatovskiy, Agnew, Rudisill, Jacobs, Weatherston, Deans"
Blueprint for aligned data exchange for research and public health.,2021,PMC8633601,"Michaels, Syed, Lober"
Breaking Barriers for Interoperability: A Reference Implementation of CSV-FHIR Transformation Using Open-Source Tools.,2023,NA,"Alkarkoukly, Kamal, Beyan"
Building an Electronic Medical Record System Exchanged in FHIR Format and Its Visual Presentation.,2023,PMC10486699,"Liu, Lee, Wu"
CASIDE: A data model for interoperable cancer survivorship information based on FHIR.,2021,PMC9930408,"González-Castro, Cal-González, Del Fiol, López-Nores"
CQL4NLP: Development and Integration of FHIR NLP Extensions in Clinical Quality Language for EHR-driven Phenotyping.,2021,PMC8378647,"Wen, Rasmussen, Stone, Liu, Kiefer, Adekkanattu, Brandt, Pacheco, Luo, Wang, Pathak, Liu, Jiang"
"Can OpenEHR, ISO 13606, and HL7 FHIR Work Together? An Agnostic Approach for the Selection and Application of Electronic Health Record Standards to the Next-Generation Health Data Spaces.",2023,PMC10784985,"Pedrera-Jiménez, García-Barrio, Frid, Moner, Boscá-Tomás, Lozano-Rubí, Kalra, Beale, Muñoz-Carrero, Serrano-Balazote"
