iter	Logloss
0	0.6428203947
1	0.6009599533
2	0.5624313532
3	0.5265473536
4	0.4974256713
5	0.4768805582
6	0.4537974159
7	0.4326463637
8	0.4182297924
9	0.4039031346
10	0.3883433388
11	0.3743975517
12	0.3645857988
13	0.3536300964
14	0.3437340452
15	0.3358961461
16	0.3292221449
17	0.3244034111
18	0.31937392
19	0.3123032475
20	0.3077028016
21	0.3020831251
22	0.2976375008
23	0.2926327215
24	0.2891269669
25	0.2853979389
26	0.2825244388
27	0.2795223631
28	0.2771058843
29	0.2752226684
30	0.2729786827
31	0.2695650011
32	0.2678432496
33	0.2648128745
34	0.2626121057
35	0.2614119688
36	0.2600533244
37	0.2579443963
38	0.2554877329
39	0.2542864473
40	0.2532810303
41	0.251996193
42	0.2509758014
43	0.2500574188
44	0.2489673727
45	0.2481941422
46	0.2472564783
47	0.2464028352
48	0.2455267109
49	0.2447181567
50	0.2440429689
51	0.2433602142
52	0.2427547027
53	0.2420893817
54	0.2414114816
55	0.2407948704
56	0.2393030684
57	0.2387501893
58	0.2382242351
59	0.2376379063
60	0.2370169019
61	0.2358052822
62	0.2346978881
63	0.2342866727
64	0.2339103687
65	0.2334720106
66	0.2329947975
67	0.2325338611
68	0.2309344361
69	0.2304781906
70	0.2299788008
71	0.2295250269
72	0.2291091194
73	0.2286506504
74	0.228269965
75	0.2278232172
76	0.2274479335
77	0.2270662515
78	0.2266334664
79	0.2262324086
80	0.2257549528
81	0.2254221352
82	0.2250170462
83	0.2247375835
84	0.2238007581
85	0.2234944565
86	0.2232479973
87	0.2229563772
88	0.2227581711
89	0.2225196931
90	0.2221960395
91	0.2219197392
92	0.2215708027
93	0.2207542461
94	0.2204530264
95	0.2202428455
96	0.2199429986
97	0.2196915933
98	0.2193788905
99	0.2190827983
100	0.2188815703
101	0.2186559221
102	0.2184085123
103	0.2180945801
104	0.2178278198
105	0.2169324307
106	0.2161215991
107	0.2158570946
108	0.2156472311
109	0.21537174
110	0.2151866506
111	0.2149698736
112	0.2147270572
113	0.2143637047
114	0.2141703933
115	0.2139538313
116	0.2137681651
117	0.2136284718
118	0.2133623862
119	0.2132133714
120	0.2124112441
121	0.2122121337
122	0.2119545538
123	0.2118182341
124	0.2115997203
125	0.2114098625
126	0.2111823692
127	0.210998638
128	0.210800853
129	0.2106481065
130	0.2104158469
131	0.2101764812
132	0.2095518468
133	0.2093800391
134	0.2092034742
135	0.2090237716
136	0.2088225201
137	0.2086869138
138	0.2085527514
139	0.208405999
140	0.2076157167
141	0.2074597773
142	0.2072866024
143	0.2071035369
144	0.2068775888
145	0.2067302918
146	0.2066023774
147	0.206358333
148	0.2061831958
149	0.205978601
150	0.2058170511
151	0.205576087
152	0.205426994
153	0.205202391
154	0.2050160486
155	0.204830049
156	0.2046346906
157	0.2044767476
158	0.2043591199
159	0.2042334454
160	0.2040526561
161	0.2038776874
162	0.203710639
163	0.2029777223
164	0.2028179511
165	0.2026408351
166	0.2024866611
167	0.2023735298
168	0.2022054897
169	0.2020413151
170	0.2018162574
171	0.2016876721
172	0.2015009563
173	0.2013728871
174	0.201187019
175	0.2008238526
176	0.2007378847
177	0.2006380046
178	0.2005026922
179	0.2003947117
180	0.2002611899
181	0.2001292213
182	0.2000307352
183	0.199915477
184	0.1997672753
185	0.1996386816
186	0.199541751
187	0.1994165282
188	0.1992847367
189	0.1991786542
190	0.1990492954
191	0.1989047413
192	0.1985541446
193	0.1979003498
194	0.197751103
195	0.1975417397
196	0.1974125644
197	0.197286221
198	0.1971515055
199	0.1968142898
200	0.1965045014
201	0.1963114941
202	0.1961926102
203	0.1960574021
204	0.1959164262
205	0.1957618076
206	0.1956351043
207	0.1954765203
208	0.1953303706
209	0.195173217
210	0.1950544086
211	0.1949158448
212	0.1947858476
213	0.1946863346
214	0.1942646966
215	0.1940688247
216	0.1939471607
217	0.1938300625
218	0.193683314
219	0.1935038677
220	0.1933756069
221	0.1932409265
222	0.1931298569
223	0.1929603057
224	0.1928143881
225	0.1926573499
226	0.192511587
227	0.1923566357
228	0.1922162529
229	0.1920633442
230	0.1919016533
231	0.1917553631
232	0.1916222677
233	0.1915138748
234	0.1914159222
235	0.1912923838
236	0.1911646133
237	0.1910165105
238	0.1908917837
239	0.1907491238
240	0.1905796114
241	0.1904636225
242	0.1901551854
243	0.1900648693
244	0.1899393946
245	0.1897980706
246	0.1896979973
247	0.1895808972
248	0.1894661646
249	0.1893635656
250	0.189225154
251	0.1891436197
252	0.1888467753
253	0.1887222546
254	0.1886072852
255	0.1884769345
256	0.1884000805
257	0.188269164
258	0.1880392844
259	0.1879292845
260	0.1878225828
261	0.1877191909
262	0.1876059595
263	0.1874953879
264	0.1873591729
265	0.1872214529
