iter	Passed	Remaining
0	8	4292
1	16	4185
2	25	4147
3	33	4211
4	42	4179
5	50	4129
6	58	4140
7	67	4138
8	75	4096
9	82	4055
10	90	4034
11	98	4019
12	106	3993
13	114	3985
14	122	3955
15	130	3934
16	137	3915
17	145	3900
18	153	3882
19	161	3878
20	169	3867
21	177	3857
22	185	3843
23	193	3841
24	201	3827
25	209	3811
26	216	3795
27	224	3780
28	231	3765
29	240	3763
30	248	3753
31	256	3745
32	263	3733
33	271	3723
34	279	3713
35	286	3698
36	294	3686
37	302	3681
38	310	3672
39	318	3659
40	325	3646
41	333	3635
42	340	3623
43	348	3611
44	356	3604
45	364	3593
46	371	3582
47	379	3571
48	386	3560
49	394	3550
50	402	3542
51	410	3540
52	418	3530
53	426	3521
54	433	3510
55	441	3503
56	449	3496
57	457	3489
58	465	3479
59	473	3475
60	481	3466
61	489	3457
62	496	3447
63	504	3438
64	512	3428
65	520	3420
66	527	3411
67	535	3403
68	543	3394
69	551	3387
70	559	3379
71	566	3369
72	574	3361
73	582	3353
74	589	3342
75	597	3335
76	605	3327
77	613	3318
78	620	3309
79	628	3300
80	636	3293
81	644	3283
82	652	3278
83	660	3269
84	667	3260
85	675	3250
86	682	3241
87	690	3231
88	697	3223
89	705	3213
90	713	3205
91	720	3197
92	728	3189
93	736	3180
94	744	3172
95	751	3163
96	759	3155
97	767	3149
98	775	3140
99	783	3132
100	790	3124
101	798	3116
102	806	3109
103	815	3103
104	823	3099
105	832	3092
106	840	3085
107	848	3078
108	855	3070
109	863	3062
110	871	3055
111	880	3050
112	888	3042
113	896	3035
114	904	3027
115	911	3018
116	919	3009
117	926	3000
118	934	2992
119	942	2984
120	950	2977
121	958	2969
122	966	2961
123	973	2953
124	981	2945
125	989	2937
126	997	2929
127	1004	2920
128	1012	2911
129	1020	2904
130	1028	2896
131	1035	2887
132	1043	2879
133	1051	2871
134	1059	2864
135	1066	2853
136	1073	2845
137	1081	2836
138	1089	2828
139	1096	2819
140	1104	2811
141	1112	2803
142	1119	2794
143	1127	2787
144	1134	2778
145	1142	2769
146	1149	2760
147	1157	2753
148	1165	2745
149	1173	2737
150	1181	2729
151	1189	2722
152	1196	2714
153	1204	2706
154	1212	2699
155	1220	2691
156	1228	2683
157	1236	2675
158	1243	2667
159	1251	2659
160	1259	2651
161	1267	2643
162	1274	2634
163	1282	2627
164	1290	2619
165	1298	2612
166	1306	2604
167	1313	2596
168	1321	2587
169	1328	2579
170	1336	2571
171	1344	2564
172	1352	2556
173	1360	2548
174	1367	2540
175	1375	2532
176	1383	2524
177	1391	2516
178	1398	2508
179	1406	2500
180	1414	2492
181	1421	2483
182	1428	2475
183	1436	2467
184	1444	2459
185	1452	2451
186	1459	2443
187	1467	2435
188	1474	2427
189	1482	2418
190	1490	2411
191	1498	2403
192	1506	2395
193	1514	2388
194	1521	2379
195	1529	2371
196	1537	2364
197	1544	2356
198	1552	2348
199	1559	2339
200	1567	2332
201	1575	2324
202	1583	2316
203	1591	2308
204	1598	2300
205	1606	2293
206	1614	2285
207	1622	2277
208	1630	2270
209	1638	2262
210	1646	2254
211	1653	2246
212	1661	2239
213	1669	2230
214	1677	2223
215	1684	2215
216	1691	2206
217	1699	2198
218	1707	2190
219	1714	2182
220	1722	2174
221	1729	2166
222	1737	2158
223	1745	2150
224	1752	2142
225	1760	2134
226	1768	2127
227	1776	2119
228	1784	2111
229	1792	2104
230	1800	2096
231	1807	2088
232	1815	2080
233	1823	2072
234	1831	2064
235	1838	2056
236	1846	2049
237	1854	2041
238	1862	2033
239	1870	2025
240	1877	2018
241	1885	2010
242	1893	2002
243	1901	1995
244	1909	1987
245	1917	1979
246	1924	1971
247	1932	1964
248	1940	1955
249	1947	1947
250	1955	1940
251	1963	1932
252	1971	1924
253	1979	1917
254	1987	1909
255	1995	1901
256	2002	1893
257	2011	1886
258	2019	1878
259	2026	1871
260	2034	1863
261	2042	1855
262	2050	1847
263	2057	1839
264	2065	1831
265	2073	1823
266	2080	1815
267	2088	1807
268	2096	1800
269	2104	1792
270	2112	1784
271	2120	1777
272	2127	1769
273	2135	1761
274	2143	1753
275	2151	1746
276	2159	1738
277	2167	1730
278	2175	1723
279	2183	1715
280	2190	1707
281	2197	1699
282	2205	1691
283	2212	1683
284	2220	1674
285	2228	1667
286	2236	1659
287	2243	1651
288	2251	1644
289	2259	1636
290	2267	1628
291	2275	1620
292	2283	1613
293	2291	1605
294	2299	1597
295	2306	1589
296	2314	1581
297	2322	1574
298	2329	1566
299	2337	1558
300	2345	1550
301	2353	1542
302	2360	1534
303	2368	1526
304	2376	1519
305	2383	1511
306	2391	1503
307	2399	1495
308	2407	1488
309	2414	1480
310	2422	1472
311	2430	1464
312	2437	1456
313	2445	1448
314	2453	1440
315	2461	1433
316	2468	1425
317	2476	1417
318	2483	1409
319	2491	1401
320	2499	1393
321	2506	1385
322	2514	1377
323	2522	1370
324	2530	1362
325	2538	1354
326	2545	1346
327	2553	1339
328	2561	1331
329	2568	1323
330	2576	1315
331	2584	1307
332	2592	1300
333	2600	1292
334	2608	1284
335	2616	1276
336	2623	1268
337	2631	1261
338	2639	1253
339	2647	1245
340	2655	1238
341	2663	1230
342	2671	1222
343	2679	1214
