title,authors,pubdate,pmc_id
Explainable AI for mortality prediction: a comparative study using the MIMIC-III dataset.,"Shafiabady, Akume, Haghighat, Ud Din, Sattarshetty, Karim, Zhou, Alsharaydeh",2026,PMC12959059
Explainable AI for critical care: a systematic review of interpretable models for sepsis and ICU mortality prediction.,"Athukorala, Ilmini",2026,PMC12955129
Explainable artificial intelligence in pancreatic cancer prediction: from transparency to clinical decision-making.,"Alharbi, Alfayez",2025,PMC12753400
"Predicting and classifying type 2 diabetes using a transparent ensemble model combining random forest, k-nearest neighbor, and neural networks.","Zaferani, Afrash, Moulaei",2025,PMC12804783
Explainable Artificial Intelligence for Ovarian Cancer: Biomarker Contributions in Ensemble Models.,"Ucuzal, Kıvrak",2025,PMC12650471
Automated Machine Learning in medical research: A systematic literature mapping study.,"Castro, Barioto, Cao, Silva, Caseli, Machado-Neto, Cerri, Villavicencio, Almeida",2026,HSH88b1df68
An interactive and explainable AI approach to improve human-machine teaming in cancer subtyping from digital cytopathology.,"Chen, Gomez, Correa, Liu, Milman, Eiger-Moscovich, Chévez-Barrios, Salomao, Unberath",2026,HSH88b1df68
GRAPHITE: Graph-based interpretable tissue examination for enhanced explainability in breast cancer histopathology.,"Mondol, Millar, Graham, Browne, Sowmya, Meijering",2025,HSH88b1df68
Fostering trust and interpretability: integrating explainable AI (XAI) with machine learning for enhanced disease prediction and decision transparency.,"Agrawal, Gupta, Gupta, Chauhan, Patel, Hamdare",2025,PMC12465982
Explainable artificial intelligence in the prediction of high-risk asymptomatic carotid plaques based on ultrasonic image features.,"Prentzas, Skouteli, Kyriacou, Griffin, Nicolaides, Loizou, Kakas, Pattichis",2025,HSH88b1df68
"Artificial Intelligence in Hypertrophic Cardiomyopathy: Advances, Challenges, and Future Directions for Personalized Risk Prediction and Management.","Mohyeldin, Mohamed, Molina, Towfig, Mustafa, Elhussein, Alamin, Khaja, Jadhav",2025,PMC12348218
A Meta-Learning-Based Ensemble Model for Explainable Alzheimer's Disease Diagnosis.,"Al-Bakri, Bejuri, Al-Andoli, Ikram, Khor, Tahir, The Alzheimer's Disease Neuroimaging Initiative",2025,PMC12248535
Synergizing advanced algorithm of explainable artificial intelligence with hybrid model for enhanced brain tumor detection in healthcare.,"Lamba, Rani, Shabaz",2025,PMC12215548
Investigating Protective and Risk Factors and Predictive Insights for Aboriginal Perinatal Mental Health: Explainable Artificial Intelligence Approach.,"Wang, Bennamoun, Kwok, Quimbayo, Kelly, Ratajczak, Marriott, Walker, Kotz",2025,PMC12079063
Explainable AI for Chronic Kidney Disease Prediction in Medical IoT: Integrating GANs and Few-Shot Learning.,"Rezk, Alshathri, Sayed, Hemdan",2025,PMC12025083
The AI-enhanced surgeon - integrating black-box artificial intelligence in the operating room.,"Cahill, Duffourc, Gerke",2025,PMC12175824
Second opinion machine learning for fast-track pathway assignment in hip and knee replacement surgery: the use of patient-reported outcome measures.,"Campagner, Milella, Banfi, Cabitza",2024,PMC11267678
Beyond black-box models: explainable AI for embryo ploidy prediction and patient-centric consultation.,"Luong, Ho, Hwu, Lin, Ho, Wang, Lee, Tan, Lee, Huang, Hsu, Le, Tzeng",2024,PMC11405599
Machine learning models' assessment: trust and performance.,"Sousa, Paredes, Rocha, Henriques, Sousa, Gonçalves",2024,PMC11485107
A machine learning framework for interpretable predictions in patient pathways: The case of predicting ICU admission for patients with symptoms of sepsis.,"Zilker, Weinzierl, Kraus, Zschech, Matzner",2024,PMC11258202
"An innovative artificial intelligence-based method to compress complex models into explainable, model-agnostic and reduced decision support systems with application to healthcare (NEAR).","Kassem, Sperti, Cavallo, Vergani, Fassino, Moz, Liscio, Banali, Dahlweid, Benetti, Bruno, Gallone, De Filippo, Iannaccone, D'Ascenzo, De Ferrari, Morbiducci, Della Valle, Deriu",2024,HSH88b1df68
Artificial Intelligence and Machine Learning Applications in Critically Ill Brain Injured Patients.,"Vitt, Mainali",2024,HSH88b1df68
A historical perspective of biomedical explainable AI research.,"Malinverno, Barros, Ghisoni, Visonà, Kern, Nickel, Ventura, Šimić, Stryeck, Manni, Ferri, Jean-Quartier, Genga, Schweikert, Lovrić, Rosen-Zvi",2023,PMC10500028
Examining explainable clinical decision support systems with think aloud protocols.,"Anjara, Janik, Dunford-Stenger, Mc Kenzie, Collazo-Lorduy, Torrente, Costabello, Provencio",2023,PMC10501571
Explaining the black-box smoothly-A counterfactual approach.,"Singla, Eslami, Pollack, Wallace, Batmanghelich",2023,PMC9835100
An Explainable AI Approach for the Rapid Diagnosis of COVID-19 Using Ensemble Learning Algorithms.,"Gong, Wang, Zhang, Elahe, Jin",2022,PMC9253566
