title,authors,pubdate,pmc_id
Development and validation of an interpretable prediction model for the risk of unplanned reoperation in patients underwent intracranial tumor surgery.,"Ye, Li, Zhang, Lian, Dong, Ren, Li, Liu, Du, Wu, Meng, Zhang",2026,HSH6e12adec
FibreCastML: an open web platform for predicting electrospun nanofibre diameter distributions for biomedical applications.,"Roldán, Andrews, Richardson, Fatahian, Cooper, Erfani, Sabir, Reeves",2026,PMC12957282
Value of an automated machine learning model with post-hoc explanation for predicting healthcare-seeking delays among residents in Tibetan regions.,"Xi, Meng, Li, Xu, Wu, Zhang, Han, Zhang, Han",2026,PMC12953569
Development and validation of a machine learning predictive model for one-month post-revascularization angina in patients who had undergone PCI or CABG.,"Wang, Zhou, Tang, Hu",2026,PMC12945824
Web-based cardiovascular disease risk prediction using machine learning.,"Akhter, Miller",2026,PMC12946134
Interpretable Machine Learning with SHAP Identifies Key Biomarkers in a Multi-Factorial Spectrum of Age-Related Neurological and Metabolic Conditions.,"Artamonov, Popova, Korf, Voitenko, Chernysheva, Avdonin, Jenkins, Goncharov",2026,PMC12941188
Machine Learning-Based Prediction of Institutional Delivery Dropout (IDD) Among Nigerian Women: An Exploratory Study Using SHAP Interpretability.,"Sani, Alhur, Ahmed",2026,PMC12965957
Development and validation of a machine learning model for predicting early death in metastatic pancreatic ductal adenocarcinoma: a study based on the SEER database.,"Zhang, He",2026,PMC12885888
Research on children's health prediction based on Improved Grey Wolf Optimization algorithm-Random Forest model.,"Xu, Hu",2026,PMC12863868
Interpretable machine learning models for beta thalassemia prediction: an explainable AI approach for smart healthcare 5.0.,"Abbas, Shoaib Khan, Khan, Bilal, Algarni, Sarwar",2025,PMC12847264
Explainable machine learning for predicting opioid-related aberrant behavior: A multimodal approach using clinical text and structured data.,"Farooq, Banka",2026,HSH6e12adec
"Beyond compliance: Patient risk, ERAS adherence, and postoperative outcomes through explainable machine learning.","Ripollés-Melchor, Espinosa, Abad-Motos, Abad-Gurumeta, Galán-Menéndez, Zorrilla-Vaca, Navarro-Pérez, Ruiz-Escobar, Fernanz-Antón, Suárez-de-la-Rica, Aldecoa",2026,HSH6e12adec
Integrating probabilistic trees and causal networks for clinical and epidemiological data.,"Zahoor, Liò, Dias, Hasanuzzaman",2026,HSH6e12adec
"A Multicohort Machine Learning Framework to Predict Mortality in Elderly Patients With Heart Disease: Insights From HARLS, SHARE, and HRS.","Yang, Zhang",2026,PMC12759112
Development and validation of an interpretable predictive model for short-term rebleeding after endoscopic hemostasis in peptic ulcer: a retrospective single-center cohort study.,"Li, Zhu, Xu",2026,PMC7233308
Understanding COVID-19 vaccine hesitancy among older adults in post-zero-COVID China: a predictive modeling study.,"Zhang, Dai, Shang, Wang, Hu, Zhang, Zhu, Fang",2025,PMC12866358
Artificial intelligence-driven diagnosis of autism spectrum disorder in children.,"Alsharif, Al-Nefaie, Ahmad, Farhah",2025,PMC12723018
An individualized risk prediction tool for ectopic pregnancy within the first 10 weeks of gestation based on machine learning algorithms.,"Du, Chen, Lu, Hu, Chen, Huang, Ji, Zhou, Zou, Ruan",2025,PMC12722958
Shifting Determinants of Mortality Risk After Orthotopic Heart Transplantation Identified by Machine Learning.,"Koritsánszky, Szentgróti, Szijártó, Tokodi, Vereb, Kőszegi, Sax, Kovács, Merkely, Székely",2025,PMC12734402
Predicting perceived likelihood of future suicide attempts in youth with non-suicidal self-injury: A machine learning approach using LightGBM and SHAP.,"Duan, Lei, Xu, Wang, Li, Fu, Xi, An, Chen",2026,HSH6e12adec
Leveraging laboratory biomarkers to predict urosepsis after upper urinary tract stone surgery: an explainable machine learning approach.,"Wang, Li, Li, Zhou, Pan, Su, Wei, Lu, Wang",2025,PMC12838489
