title,authors,pubdate,pmc_id
BRLA-DDI: A novel framework for drug-drug interaction extraction.,"Yuan, Zhang, Li, Zhang, Zhang, Jia",2026,HSH499fac81
"No drug-drug interactions between selective prolyl-tRNA synthetase inhibitor, bersiporocin, and pirfenidone or nintedanib in healthy participants.","Shin, Park, Kim, Kim, Nam, Choi, Yang, Yoo, Lee, Kim",2024,PMC10777433
DSN-DDI: an accurate and generalized framework for drug-drug interaction prediction by dual-view representation learning.,"Li, Zhu, Shao, Zeng, Wang, Liu",2023,HSH499fac81
Prediction of the Drug-Drug Interaction Types with the Unified Embedding Features from Drug Similarity Networks.,"Yan, Yin, Wu, Han",2021,PMC8721167
Efficacy and safety of vancomycin versus 13 alternatives in MRSA-confirmed skin and soft tissue infections: a meta-analysis of 39 randomized controlled trials.,"Purja, Elghanam, Kim",2026,PMC6939889
GLP-1 receptor agonists and sexual function in women and men: a narrative review of emerging evidence and the need for further research.,Merhi,2026,HSH9b503762
The critical need to implement pharmacogenomics in public health services: Mexico in the global picture.,Perezcano,2026,PMC12999938
Adverse events associated with drug-related thiamine deficiency: A pharmacovigilance study.,"Du, Wang, Ma, Zhou",2026,HSH9b503762
[Assessing the risk-benefit balance of medicines: Some lessons from Covid-19].,"Cracowski, Molimard, Richard, Roustit, Khouri",2026,HSH9b503762
Outcomes with limus-coated vs. paclitaxel-coated balloons for percutaneous coronary intervention: An updated meta-analysis and reconstructed time-to-event analysis of randomized controlled trials.,"Sayed, Abdelraouf, Kedwany, Hageen, Abouelenien, Elgebaly, Ayman, Nahla, Elgendy",2026,HSH9b503762
"Pharmacokinetics, Safety, and Tolerability of GS-1427, an Oral Prodrug of a Potent and Selective α4β7 Integrin Inhibitor, in Healthy Participants.","Zhou, Maramreddy, McFarlane, Zhou, Hong, Girish",2026,HSH9b503762
Vitex Simplicifolia Abates Cadmium-Induced Cardiotoxicity Through Antioxidant Activity and Keap1 Targeting.,"Chukwuma, Eze, Okeke, Apeh, Ezeorba, Okafor",2026,PMC13000684
Practical consensus recommendations for polytherapy involving stiripentol in Dravet syndrome: A nominal group approach.,"Cross, Nabbout, Gidal, Sullivan, Wirrell",2026,HSH9b503762
Kidney Effectiveness and Safety of Adding Spironolactone in Patients With Type 2 Diabetes Receiving Renin-Angiotensin System Inhibitors Therapy.,"Lin, Huang, Chang, Chao, Chang, Yang, Ou, Lin",2026,HSH9b503762
MSAT: a FAERS-informed heterogeneous graph neural network for pharmacovigilance prediction of Chinese materia medica-associated adverse drug reactions.,"Shi, Li, Fang, Chen, Yang",2026,PMC12979427
Imidazole Alkaloids Epiisopilosine and Epiisopiloturine Attenuate Acetaminophen-Induced Liver Toxicity in Mice via Autophagy Modulation and Anti-Inflammatory Effects.,"de Oliveira, Pacheco, Lopes, da Silva Araujo, de Sousa Chaves, de Araújo, de Sousa Lima, Alves, Queiroz-Junior, Teixeira, Costa, Souza, Barros, de Araujo Sousa, Rocha, Araújo, Filho, Véras, Vasconcelos, Medeiros",2026,PMC12989190
Enhancing tuberculosis patient safety: The impact of interprofessional collaboration based telecare on drug-related problems in a randomized control trial.,"Octavia, Hermansyah, Nita, Zairina",2026,HSH9b503762
Sugammadex vs Neostigmine for Reversal of Neuromuscular Blockade and Association with Postoperative Atelectasis After Video-Assisted Thoracoscopic Surgery: A Propensity Score-Matched Cohort Study.,"Hung, Weng, Wu, Hsu, Yang, Lai, Chen",2026,PMC12975398
Pharmacovigilance assessment of drug-induced hypokalemia: from systemic risk screening to multi-dataset bioinformatics analysis focused on cisplatin.,"Zhang, Song, He, Jiang, Zhang",2026,PMC8463376
Association between concomitant use of direct oral anticoagulants with antidepressants and an increased risk of hemorrhage: analysis of the food and drug administration adverse event reporting system database.,"Ran, Zhang, Cai, Liu",2026,PMC12967933
The Virtual Biotech: A Multi-Agent AI Framework for Therapeutic Discovery and Development.,"Zhang, Eckmann, Miao, Mahon, Zou",2026,PMC12970349
Drug-associated insomnia and sex-specific disproportionality in the FDA adverse event reporting system (2019-Q1 2025).,"Wen, Shen, Li, Chen, Lin, Bin",2026,PMC12968212
"Leukotriene receptor antagonists and eosinophilic granulomatosis with polyangiitis: a disproportionality analysis from FAERS, JADER, CVAR databases integrated with network pharmacology.","Liang, Zhuo, Zhang",2026,PMC12970897
"Mechanistic insights into atorvastatin-induced hepatotoxicity: molecular pathways, clinical relevance, and strategies for safer personalized therapy.","Abdel-Rasol, El-Sayed",2026,PMC12979359
Artesunate ameliorates doxorubicin-induced cardiotoxicity by promoting HuR binding to Sirt1 mRNA.,"Wu, Wang, Mao, Yang, Wang, Jia, Huang, Wang",2026,HSH9b503762
Design Principles for Interactive Dashboards in Drug Safety Surveillance: Design Science Research.,"Kotowicz, Ferati, Chowdhury, Martins Pires",2026,HSH9b503762
Si-Jun-Zi-Tang potentiates temozolomide's anti-melanoma efficacy and reduces its hepatotoxicity.,"Li, Wang, Fan, Wang, Wu, Wu, Bai, Han, He, Fu, Yu",2026,HSH9b503762
Association of GnRH agonists with depression and suicide/self-injury: a FAERS pharmacovigilance study.,"Liu, Xue, Chen, Liu, Zeng, Niu, Zhou, Zhu, Zhang, Chen",2026,PMC13011796
"Comparative clinical response, safety, and institutional drug use efficiency of intravenous azithromycin versus erythromycin in pediatric Mycoplasma pneumoniae pneumonia: a real-world evidence study.","Deng, Li, Liu, Qu, Song",2026,PMC12945838
"Switch to single-tablet bictegravir-lenacapavir from a complex HIV regimen (ARTISTRY-1): a randomised, open-label, phase 3 clinical trial.","Orkin, Ruane, Hedgcock, Gaultier, Losso, Trottier, Lutz, O'Reilly, Bloch, Slim, Ramgopal, Sokhela, Mounzer, Tsai, Santana Bagur, Zhang, Aizen, Price, Margot, Montezuma-Rusca, Sklar, Rhee, Cahn",2026,HSH9b503762
