title,authors,pubdate,pmc_id
Opioid Represcriptions After ACL Reconstruction in Adolescents Are Associated With Subsequent Opioid Use Disorder.,"Cahan, Halvorsen, Pham, Kaur, Bryson, Chan, Vorhies",2023,HSH95c386eb
Statewide trends and factors associated with genetic testing for hereditary cancer risk in Arkansas 2013-2018.,"Acharya, Zorn, Simonson, Bimali, Moore, Peng, Martin",2022,PMC9128197
A machine learning approach for opioid overdose risk prediction among Alabama Medicaid beneficiaries with opioid prescriptions.,"Parton, Wang, Wang, Hanson, Higginbotham",2026,PMC12881380
Identifying high-dose opioid prescription risks using machine learning: A focus on sociodemographic characteristics.,"Ogundele, Dahu, Rao, Song, Haithcoat, Hameed, Burgess, Greever-Rice, Becevic",2025,HSH7877a388
A cohort of patients in New York State with an alcohol use disorder and subsequent treatment information - A merging of two administrative data sources.,"Lu, Jette, Falls, Jacobs, Gibson, Bednarczyk, Kuo, Lape-Newman, Leonard, Elkin",2023,PMC11178131
Identifying Measures of Suboptimal Healthcare Interaction (SOHI) to Develop a Claims-Based Model for Predicting Patients with Inflammatory Bowel Disease at Risk for SOHI.,"Korrer, Naegeli, Etemad, Johnson, Gottlieb",2023,PMC10188318
Concordance of opioid exposure in all-payer claims databases with prescription drug monitoring program database using Arkansas as a case example.,"Mahashabde, Shrikhande, Han, Martin, ElHassan, Hayes",2023,PMC10315385
Development and validation of a one year predictive model for secondary fractures in osteoporosis.,"Williams, Greenspan, Bancroft, Chastek, Wang, Weiss, Pyrih, Nichols, Cauley",2021,PMC8475984
"Safe opioid prescribing: a prognostic machine learning approach to predicting 30-day risk after an opioid dispensation in Alberta, Canada.","Sharma, Kulkarni, Eurich, Kumar, Samanani",2021,PMC8160164
Predictors of long-term use of prescription opioids in the community-dwelling population of adults without a cancer diagnosis: a retrospective cohort study.,"Béliveau, Castilloux, Tannenbaum, Vincent, de Moura, Bernatsky, Moride",2021,PMC8034379
Predictors of Long-term Opioid Use After Elective Primary Total Shoulder Arthroplasty.,"Best, Harris, Bansal, Huish, Srikumaran",2021,HSH7877a388
