title,pubdate,pmc_id,authors
"""Take services to the people"": strategies to optimize uptake of PrEP and harm reduction services among people who inject drugs in Uganda.",2024,PMC10893723,"Kamusiime, Beima-Sofie, Chhun, Nalumansi, Nalukwago, Kasiita, Twesige, Kansiime, Muwonge, Kyambadde, Kadama, Mudiope, Glick, Lambdin, Mujugira, Heffron"
"""They Never, Never, Never Give Up on Me"": Perspectives on an Addiction Consult Service From Hospitalized People Who Use Opioids at 6 New York City Public Hospitals.",2025,NA,"Textor, King, Rostam-Abadi, Fernando, Appleton, Bunting, Fawole, Barron, Schatz, McNeely"
'Not at all what I had expected': Discontinuing treatment with extended-release naltrexone (XR-NTX): A qualitative study.,2022,NA,"Brenna, Marciuch, Birkeland, Veseth, Røstad, Løberg, Solli, Tanum, Weimand"
A Dynamic Model of Opioid Overdose Deaths in Canada during the Co-Occurring Opioid Overdose Crisis and COVID-19 Pandemic.,2024,PMC11050073,"Zahan, Osgood, Plouffe, Orpana"
A National Strategy for Preventing Substance and Opioid Use Disorders Through Evidence-Based Prevention Programming that Fosters Healthy Outcomes in Our Youth.,2023,PMC9768412,"Fishbein, Sloboda"
A Qualitative Study of Patients' Experiences With Collaborative Care for Co-occurring Opioid Use and Mental Health Disorders in Primary Care.,2025,NA,"Hindmarch, Osilla, Dopp, Becker, Miller, Kelly, Christensen, Chitwood-Sedore, Komaromy, Watkins"
A Social History of Opioids' Crimedical Cycle.,2024,PMC11841812,"Ezell, Rains, Patrick Ajayi, Miller, Augustine, Goddard-Eckrich, Kinnard, Lofwall"
A multi-methods and longitudinal study of patients' perceptions in injectable opioid agonist treatment: Implications for advancing patient-centered methodologies in substance use research.,2022,NA,"Marchand, Palis, Guh, Lock, MacDonald, Brissette, Marsh, Harrison, Schechter, Oviedo-Joekes"
A prospective cohort of treatment-seeking patients with problematic use of prescription narcotic drugs: study protocol and baseline characteristics.,2024,PMC11661025,"Burmester, Krüger, Hällgren, Westman, Franck"
A qualitative longitudinal study of traumatic orthopaedic injury survivors' experiences with pain and the long-term recovery trajectory.,2024,PMC10806614,"Finstad, Røise, Clausen, Rosseland, Havnes"
"Acceptability of Overdose Prevention Sites in the Business Community in Baltimore, Maryland.",2022,PMC9129898,"Sherman, Rouhani, White, Weicker, Morris, Schneider, Park, Barry"
"Adjunctive ketamine vs. buprenorphine in co-occurring major depressive disorder and opioid use disorder: a randomized, double-blind clinical trial assessing anxiety symptom severity and craving intensity.",2025,PMC12004569,"Mansoori, Bazrafshan, Ahmadi, Mosavat"
Adolescent cannabis and tobacco use are associated with opioid use in young adulthood-12-year longitudinal study in an urban cohort.,2021,PMC7855765,"Thrul, Rabinowitz, Reboussin, Maher, Ialongo"
Adolescent pain: appraisal of the construct and trajectory prediction-by-symptom between age 12 and 17 years in a Canadian twin birth cohort.,2022,NA,"Battaglia, Garon-Carrier, Rappaport, Brendgen, Dionne, Vitaro, Tremblay, Boivin"
Age of onset of heaviest use of cannabis or alcohol in persons with severe opioid or cocaine use disorders.,2021,PMC11851329,"Butelman, Chen, Brown, Lake, Kreek"
