title,authors,pubdate,pmc_id
Strengthening Pharmacovigilance in Latin America: Multidisciplinary Insights from Two ISoP Latin American Chapter Symposia.,"Vargas-Neri, Caro-Rojas, Castañeda-Hernández, Cuello-Meza, Duarte, Fontana, Galicia-Quintanar, Hall-Ramírez, Salas, Salas, Segura-Uribe, Tarapues, Zuluaga-Arias, Aceves-González, Bautista-Arteaga, Carreño-Quintero, Daza-Paz, González-Achury, Ramírez-Pedreros, Galvis-Sánchez, Terán-Mercado",2026,PMC6771580
Exploring pharmacy professionals insights for advancing the pharmacy curriculum: A qualitative study.,"Khan, Abubakar, Jamil, Khan, Afzal, Moses, Naveed, Zahra, Ejaz, Mahmood, Ali, Mubashar, Bibi, Ullah",2026,HSH437432f4
A Multi-Dimensional Analysis of the Changing Role of Clinical and Community Pharmacists in Romanian Healthcare.,"Tocai Moțoc, Dragan, Dragan, Teodorescu, Teodorescu, Ciobanu, Uivarosan, Zaha",2026,PMC12984617
STRIPE partners in precision medicine: international perspective.,"Kong, Esquivel, Nagy, Patrinos, Jones, Rogers",2026,PMC10879811
STRIPE partners in precision medicine series: Patient perspective.,"Rogers, Haga, Yonekawa-Blest, Merritt, Shawn Jones, Kong, Ho",2026,PMC9505214
Sigma-1 receptor antagonism as a potential mechanism of sertraline-associated Alice in Wonderland syndrome.,Hashimoto,2026,HSH437432f4
Influence of SNVs on adverse reactions and survival in gefitinib-treated lung cancer patients from a preliminary study.,"Morau, Seguin, Perroud, Dagli-Hernandez, Fidelis, de Carvalho Pincinato, Moriel",2026,PMC12966475
The pharmacogenetics of Tacrolimus in Algerian kidney recipients' patients.,"Fetati, Abderahmene, Boudia, Zemour, Mekaouche, Memou, Djoudad, Zerdoumi, Benslama, Omezzine, Toumi",2026,HSH437432f4
"Safety Concerns, Mechanistic Pathways, and Knowledge Gaps in the Clinical Use of Selective Serotonin Reuptake Inhibitors.",Chan,2026,PMC12864535
The Role of Clinical Pharmacogenetics and Opioid Interactions in Pain Management: Current Evidence and Future Perspectives.,"Di Salvo, Valdiserra, Balestrieri, Beucci, Paciulli, Luculli, De Vita, Fornai, Di Paolo, Antonioli",2026,PMC12845059
Dihydropyrimidine dehydrogenase testing: capturing what standard genotyping misses with next-generation sequencing.,"Sourdioux, Ksentini, Chastagner, Tron, Picard",2025,PMC12915859
French-Speaking Network of Pharmacogenetics (RNPGx) Recommendations for Gene Panel Analysis Through Genotyping or Sequencing in Pharmacogenetics.,"Picard, Ayme-Dietrich, Quaranta, Adam-De-Beaumais, Ait Tayeb, Alarcan, Amor, Barthelemy, Sassi, Cunat, Daldoul, Delacour, Etienne-Grimaldi, Fonrose, Hennart, Lebreton, Malard, Narjoz, Omezzine, Pallet, Payen, Petit, Thomas, Trabelsi, Tron, Verstuyft, Vilquin, Boyer, Haufroid",2026,HSH437432f4
"Signal detection in pharmacovigilance: Methods, tools, and workflows from case identification to adverse drug reaction database entry.","Mugada, Suryadevara, Cheekurumilli, Yarguntla",2025,HSH437432f4
Ashwagandha as an Adaptogenic Herb: A Comprehensive Review of Immunological and Neurological Effects.,"Jamnekar, Dehankar, Bedre, Dharan, Agravat, Agravat",2025,PMC12680924
Treprostinil Iontophoresis in Diabetic Foot Ulcers: A Single Ascending Dose Safety Study.,"Guigui, Hodaj, Muller, Stanke-Labesque, Blaise, Cracowski, Roustit",2025,PMC12627982
Episodic Neuropathic-Like Musculoskeletal Pain Associated With Ritlecitinib Therapy in Alopecia Universalis: A Case Report.,"Bhardwaj, Aramandla, Naveed, Tu, Mai",2025,PMC12614120
Transforming Pharmacovigilance With Pharmacogenomics: Toward Personalized Risk Management.,"Spahn, Toda, Groat, Aimer, Rogers, Oni-Orisan, Monte, Hakooz",2025,PMC12598900
Artificial intelligence-based pharmacological approach in non-small cell lung cancer in the precision medicine era.,"Fogli, Barberis, Re, Crucitta, Ruglioni, Luculli, Guglielmi, Scavone, Petrini, Panzeri, Pierini, Rolfo, Danesi",2025,HSH437432f4
"Barriers, facilitators, and implementation strategies for pharmacogenomics in community pharmacies: a cross-sectional survey among local champions in pharmacies and key opinion leaders in pharmacogenomics.","Kiani, Bet, Jessurun, Hoogland, Mentink, Swen, Borgsteede",2026,PMC12992355
Pharmacogenetics of metamizole-induced agranulocytosis: a systematic review and drug regulation implications.,"Fidelis, Dagli-Hernandez, Martinelli, Marzuki, Baharuddin, Yue, Edwards, Pincinato, Moriel",2025,PMC12504837
STRIPE partners in precision medicine: regulatory perspective.,"Teeple, Shaman, Tatum, Kong, Jones, Rogers",2025,HSH437432f4
Pharmacogenetic Drug Administration and Community Health: A Cross-Sectional Telecommunication-Based Study.,"Anfinogenova, Stepanov, Kuznetsova, Chesalov, Popov, Repin",2025,HSH437432f4
Spontaneous Reports of Adverse Reactions with Fatal Outcomes After COVID-19 Vaccination During the National Vaccination Campaign in Sweden.,"Nurminen, Lindemo, Sundström, Zethelius, Larsson, Attelind, Pihlström, Ljung, Arthurson",2025,PMC12420738
Adverse effects of antiseizure medications: a review of the impact of pharmacogenetics and drugs interactions in clinical practice.,"De Bellis, d'Orsi, Rubino, Arigliano, Carella, Sciruicchio, Liantonio, De Luca, Imbrici",2025,PMC12287013
STRIPE partners in precision medicine: laboratory perspective.,"Kong, Brown, Pratt, Ramey, Jones, Rogers",2025,PMC10488323
Reporting Adverse Drug Events: A Comparison of an Online Patient Tool Versus Telephone-Based Monitoring in Community Pharmacy Patients in the Netherlands.,"Habtemariam, Guchelaar, Manson, Swen, Kant, Böhringer",2025,PMC12515233
Implementation and integration of a multidisciplinary pharmacogenomics service in an underserved integrated behavioral health clinic.,"Alghamdi, Rogers, Roberman, Williamson, Panahi",2025,PMC12142042
Evaluating genotype-treatment interactions for high-risk medications in British general practice: a retrospective cohort study using UK Biobank.,"Mokbel, Weedon, Daniels, Moye, Jackson",2026,HSH437432f4
Integrating pharmacogenetics in sport medicine: enhancing treatment precision and preventing unintentional doping violation.,"Drevin, Briet, Abbara",2025,HSH437432f4
Drug-Drug interactions and special considerations in breast cancer patients treated with CDK4/6 inhibitors: A comprehensive review.,"Sahin, Kavgaci, Guven, Aksoy",2025,HSH437432f4
NAT2 Acetylation Status Predicts Hepatotoxicity During Antituberculosis Therapy: Cumulative Risk Analysis of a Multiethnic Cohort.,"Schiuma, Dinegro, Battini, Torre, Covizzi, Civati, Galimberti, Mariani, Mosini, Carnovale, Riva, Gori, Antinori, Clementi, Radice, Cheli",2025,PMC12027989
TOP10-SCAR: A Global Pharmacovigilance Study on Medications Most Frequently Related to Severe Cutaneous Adverse Reactions.,"Cho, Jo, Park, Oh, Kim, Lee, Lee, Jeong, Lee, Miligkos, Papadopoulos, Yon",2025,HSH437432f4
Pharmacogenetics and adverse drug reports: Insights from a United Kingdom national pharmacovigilance database.,"Magavern, Megase, Thompson, Marengo, Jacobsen, Smedley, Caulfield",2025,PMC11949333
Prediction of adverse drug reactions based on pharmacogenomics combination features: a preliminary study.,"He, Shi, Han, Cai",2025,PMC11931068
Pharmacovigilance study and genetic target prediction analysis of FDA adverse event reports (FAERS) for drug-induced sinusitis.,"Wang, Sun, Zhao, Cao",2025,HSH437432f4
Revealing the Future of Pharmacovigilance in Precision Pharmaceutical Monitoring.,"Mittal, Sharma",2025,HSH437432f4
Pharmacological countermeasures for long-duration space missions: addressing cardiovascular challenges and advancing space-adapted healthcare.,"Derobertmasure, Toh, Wotring, Williams, Morbidelli, Stingl, Vinken, Ramadan, Chhun, Boutouyrie",2025,HSH437432f4
Posttransplantation diabetes mellitus (PTDM): pharmacological aspects and genetic predispositions.,"Chastagner, Arnion, Danthu, Touré, Picard",2024,PMC11901360
Linezolid and serotonin syndrome.,Wali,2025,PMC12059600
Dementia and Alzheimer's Disease Associated With Aromatase Inhibitors: A Disproportionality Analysis of the WHO Pharmacovigilance Database (VigiBase).,"Yuste, Sainz-Gil, Escudero, Marín",2025,PMC11803411
Lipid-lowering and antihypertensive drugs on aortic disease risk: insights from Mendelian randomization analysis and real-world pharmacovigilance data.,"Nie, Zhao, Wang, Zhou",2025,PMC12063591
Navigating Recent Changes in Dosing Information: Dynamics of FDA-Approved Monoclonal Antibodies in Post-Marketing Realities.,"Lee, Rhee, Koo, Kim, Lee, Yie, Kim",2025,PMC11729449
How to facilitate the wider use of pharmacogenetic tests?,"Verstuyft, Dewolf, Blin, Florentin, Mesnard, Chaumette, Ayme-Dietrich, Raymond, Lang, Lamazière, Allard, Samelson, Lamezec, Loriot, Le Bozec, Picard",2025,HSH437432f4
Interest and limits of using pharmacogenetics in MDMA-related fatalities: A case report.,"Drevin, Hahn, Picard, Baudriller, Renard, Malbranque, Jousset, Briet, Abbara",2025,HSH437432f4
French-Speaking Network of Pharmacogenetics (RNPGx) Recommendations for Clinical Use of Mavacamten.,"Lebreton, Boyer, Lafay-Chebassier, Hennart, Baklouti, Cunat, Vilquin, Medard, Gautier-Veyret, Laffitte-Redondo, Verstuyft, Ait Tayeb, Haufroid, Wils, Lamoureux, Evrard, Davaze-Schneider, Ben-Sassi, Picard, Quaranta, Ayme-Dietrich",2025,PMC11739748
A Comparison of Molecular Techniques for Improving the Methodology in the Laboratory of Pharmacogenetics.,"Peña-Martín, Marcos-Vadillo, García-Berrocal, Heredero-Jung, García-Salgado, Lorenzo-Hernández, Larrue, Lenski, Drevin, Sanz, Isidoro-García",2024,PMC11546559
Drug-induced hyponatraemia and possible related signals: Analysis of 659 cases reported to the Spanish Pharmacovigilance System and disproportionality analysis.,"Estévez Asensio, García, Verde Rello, Velasco-González, Fernández-Araque, Sainz-Gil",2024,HSH437432f4
"To be or not to be, when synthetic data meet clinical pharmacology: A focused study on pharmacogenetics.","Woillard, Benoist, Destere, Labriffe, Marchello, Josse, Marquet",2025,PMC11706419
Everolimus Personalized Therapy: Second Consensus Report by the International Association of Therapeutic Drug Monitoring and Clinical Toxicology.,"Masuda, Lemaitre, Barten, Bergan, Shipkova, van Gelder, Vinks, Wieland, Bornemann-Kolatzki, Brunet, de Winter, Dieterlen, Elens, Ito, Johnson-Davis, Kunicki, Lawson, Lloberas, Marquet, Millan, Mizuno, Moes, Noceti, Oellerich, Pattanaik, Pawinski, Seger, van Schaik, Venkataramanan, Walson, Woillard, Langman",2025,HSH437432f4
Implementing pharmacogenetic testing to optimize proton-pump inhibitors use among Indian population based on CPIC-CYP2C19-PPI dosing guidelines: The need of the hour.,"Chenchula, Atal, Jhaj, Uppugunduri",2024,PMC11483053
