title,pubdate,pmc_id,authors
Acquired thrombotic thrombocytopenic purpura associated with immune checkpoint inhibitors: A real-world study of the FDA adverse event reporting system.,2022,NA,"Moore, Elmes, Arnall, Strassels, Patel"
Alpelisib-Induced Diabetic Ketoacidosis: A Pharmacovigilance Analysis of the FDA Adverse Event Reporting System and Review of the Literature.,2024,NA,"Ziegengeist, Elmes, Strassels, Patel, Moore"
Drugs-associated with red man syndrome: An integrative approach using disproportionality analysis and Pharmip.,2022,NA,"M Shaju, Panicker, Chandni, Lakshmi Prasanna, Nair, Subeesh"
Exploring the impact of design criteria for reference sets on performance evaluation of signal detection algorithms: The case of drug-drug interactions.,2023,PMC10947279,"Kontsioti, Maskell, Pirmohamed"
"Head-to-Head Comparison of Sedation and Somnolence Among 37 Antipsychotics in Schizophrenia, Bipolar Disorder, Major Depression, Autism Spectrum Disorders, Delirium, and Repurposed in COVID-19, Infectious Diseases, and Oncology From the FAERS, 2004-2020.",2021,PMC8027114,"Eugene, Eugene, Masiak, Masiak"
Hepatitis B reactivation in patients with multiple myeloma treated with anti-CD38 monoclonal antibody-based therapies: a pharmacovigilance analysis.,2023,PMC9685179,"Moore, Elmes, Arnall, Strassels, Patel"
Lipid-lowering and antihypertensive drugs on aortic disease risk: insights from Mendelian randomization analysis and real-world pharmacovigilance data.,2025,PMC12063591,"Nie, Zhao, Wang, Zhou"
PD-1/PD-L1 inhibitor-induced immune thrombocytopenia: A pharmacovigilance study and systematic review.,2024,NA,"Moore, Elmes, Arnall, Strassel, Patel"
Pharmacovigilance study and genetic target prediction analysis of FDA adverse event reports (FAERS) for drug-induced sinusitis.,2025,NA,"Wang, Sun, Zhao, Cao"
Temporal offset association between the number of irinotecan-related adverse reactions and pharmacogenomic studies: A cross-correlation analysis.,2023,PMC9845122,"Kong, Rong, Xie, Wang"
The impact of the COVID-19 pandemic on adverse events associated with ACEIs and ARBs: a real-world analysis using the FDA adverse event reporting system.,2025,NA,"Qiu, He, Zhou, Feng, Ye, Li, Huang, Huang, Guo, Chen, Guo"
The involvement of the Stat1/Nrf2 pathway in exacerbating Crizotinib-induced liver injury: implications for ferroptosis.,2024,PMC11333746,"Guo, Ma, Xiao, Liu, Hu, Xia, Li, Yang, Gong, Xi, Fu, Jiang, Xia, Lauschke, Yan"
