title,pubdate,pmc_id,authors
A Machine Learning-Based Web Tool for the Severity Prediction of COVID-19.,2024,PMC11270362,"Christodoulou, Katsarou, Emmanouil, Gavrielatos, Georgiou, Tsolakou, Papasavva, Economou, Nanou, Nikolopoulos, Daganou, Argyraki, Stefanidis, Metaxas, Panagiotou, Michalopoulos, Drakoulis"
A Novel Approach to Differential Expression Analysis of Co-Occurrence Networks for Small-Sampled Microbiome Data.,2025,NA,"Gadhia, Smyrnakis, Liu, Blake, Hay, Nguyen, Richards, Xia, Krishna"
A Receptor Tyrosine Kinase Inhibitor Sensitivity Prediction Model Identifies AXL Dependency in Leukemia.,2023,PMC9959897,"Nasimian, Al Ashiri, Ahmed, Duan, Zhang, Rönnstrand, Kazi"
A Soft-Tissue Driven Bone Remodeling Algorithm for Mandibular Residual Ridge Resorption Based on Patient CT Image Data.,2024,NA,"Zhong, Huang, Ahmad, Chen, Wu, Hu, Zheng, Swain, Li"
A continuous epistasis model for predicting growth rate given combinatorial variation in gene expression and environment.,2024,PMC10885703,"Otto, Turska-Nowak, Brown, Reynolds"
A continuous in silico learning strategy to identify safety liabilities in compounds used in the leather and textile industry.,2023,PMC10025185,"March-Vila, Ferretti, Terricabras, Ardao, Brea, Varela, Arana, Rubiolo, Sanz, Loza, Sánchez, Alonso, Pastor"
A foundation model of transcription across human cell types.,2025,PMC11754112,"Fu, Mo, Buendia, Laurent, Shao, Alvarez-Torres, Yu, Tan, Su, Sagatelian, Ferrando, Ciccia, Lan, Owens, Palomero, Xing, Rabadan"
A gentle introduction to understanding preclinical data for cancer pharmaco-omic modeling.,2021,NA,"Piyawajanusorn, Nguyen, Ghislat, Ballester"
A global metagenomic map of urban microbiomes and antimicrobial resistance.,2021,PMC8238498,"Danko, Bezdan, Afshin, Ahsanuddin, Bhattacharya, Butler, Chng, Donnellan, Hecht, Jackson, Kuchin, Karasikov, Lyons, Mak, Meleshko, Mustafa, Mutai, Neches, Ng, Nikolayeva, Nikolayeva, Png, Ryon, Sanchez, Shaaban, Sierra, Thomas, Young, Abudayyeh, Alicea, Bhattacharyya, Blekhman, Castro-Nallar, Cañas, Chatziefthimiou, Crawford, De Filippis, Deng, Desnues, Dias-Neto, Dybwad, Elhaik, Ercolini, Frolova, Gankin, Gootenberg, Graf, Green, Hajirasouliha, Hastings, Hernandez, Iraola, Jang, Kahles, Kelly, Knights, Kyrpides, Łabaj, Lee, Leung, Ljungdahl, Mason-Buck, McGrath, Meydan, Mongodin, Moraes, Nagarajan, Nieto-Caballero, Noushmehr, Oliveira, Ossowski, Osuolale, Özcan, Paez-Espino, Rascovan, Richard, Rätsch, Schriml, Semmler, Sezerman, Shi, Shi, Siam, Song, Suzuki, Court, Tighe, Tong, Udekwu, Ugalde, Valentine, Vassilev, Vayndorf, Velavan, Wu, Zambrano, Zhu, Zhu, Mason"
A machine learning model revealed that exosome small RNAs may participate in the development of breast cancer through the chemokine signaling pathway.,2024,PMC11580650,"Mo, Li, Lei, Peng, Liang, Zhou, Liu, Hong, Yin"
A machine learning model using SNPs obtained from a genome-wide association study predicts the onset of vincristine-induced peripheral neuropathy.,2022,PMC6019195,"Yamada, Ohmori, Okada, Nakamura, Kagawa, Fujii, Miki, Ishizawa, Abe, Sato"
A novel machine learning-based approach for the computational functional assessment of pharmacogenomic variants.,2021,PMC8351412,"Pandi, Koromina, Tsafaridis, Patsilinakos, Christoforou, van der Spek, Patrinos"
A performance evaluation of drug response prediction models for individual drugs.,2023,PMC10366128,"Park, Lee, Nam"
A primer on the use of machine learning to distil knowledge from data in biological psychiatry.,2024,PMC11228968,"Quinn, Hess, Marshe, Barnett, Hauschild, Maciukiewicz, Elsheikh, Men, Schwarz, Trakadis, Breen, Barnett, Zhang-James, Ahsen, Cao, Chen, Hou, Salekin, Lin, Nicodemus, Meyer-Lindenberg, Bichindaritz, Faraone, Cairns, Pandey, Müller, Glatt"
A review of deep learning applications in human genomics using next-generation sequencing data.,2022,PMC9317091,"Alharbi, Rashid"
