title,authors,pubdate,pmc_id
"Is ""More"" Always Better than ""Less""? Deprescribing to Improve Patients' Clinical Outcomes: A Case Series.","Gareri, Marcianò, Siniscalchi, Rania, Gareri, Vocca, Palleria, Gallelli",2026,HSH1fbb06ad
Hepatic Safety of Adjunctive High-Dose Melatonin in Participants Receiving Ocrelizumab for Primary Progressive Multiple Sclerosis: Liver Toxicity Findings from a Phase I/II Randomised Clinical Trial (MELATOMS-1).,"Bejarano, Jiménez-Jorge, Lobo-Acosta, Álvarez-López, Rosso-Fernández, López-Ruiz, Eichau, Ruiz-Peña, Géniz, Ampuero, Ponce-España, Merino-Bohorquez, Cameán, García-Sánchez, Izquierdo, Guerrero, Romero-Gómez, Lardone, Carrillo-Vico",2026,PMC12988967
Prevalence of polypharmacy and drug interactions in geriatric patients: A cross-sectional study from India.,"Khaiser, Sultana, Das, Alzahrani, Kannan, Newigy, Quadri, Shaikh, Shaikh, Fareed",2026,PMC12893539
Clinical characteristics and drug-drug interactions in human epidermal growth factor receptor 2-positive breast cancer treated with trastuzumab deruxtecan: real-world data from the DE-REAL study.,"Pisegna, Scagnoli, Gentile, Chiavassa, Caputo, De Laurentiis, Curigliano, Lambertini, Pantano, Orlandi, Palazzo, Paris, Vernieri, Tedesco, Giampaglia, Palleschi, Ballatore, Alesini, D'Auria, Fabbri, Rossi, Fiscon, Marchetti, Fabi, Botticelli",2026,PMC12848230
Impact of pharmacist-led deprescribing interventions on medication related outcomes among older adults: a systematic review and meta-analysis.,"Tesfaye, Horsa, Yismaw",2026,PMC12882507
Comorbidity and comedication burden in people living with HIV in the United States: updated findings from a contemporary cohort (2020-2024).,"Fleming, Kamat, Prajapati, Lee, Chirikov, LeMasters, Kumar",2025,HSH1fbb06ad
Risk factors for denosumab-related osteonecrosis of the jaw: a pharmacovigilance study using the U.S. FDA adverse event reporting system database.,"Bai, Wang, Han, Li, Nie, Wang",2025,PMC12757244
Hypoglycaemia and its associations with diabetes and age-related factors in older home-dwelling people with diabetes.,"Fløde, Hermann, Igland, Hernar, Sigurdardottir, Søfteland, Åsberg, Jenssen, Haugstvedt",2025,PMC12706898
"Implementing prescriber-pharmacist collaboration to improve evidence-based medication prescribing using asynchronous, non-interruptive electronic health record notifications.","Barnes, Choi, Lanham, Dorsch, Errickson, Fabbri, Saraswat, Seagull, Smith",2025,PMC12914967
Prevalence of polypharmacy among older adults with diabetes: A systematic review and Meta-Analysis.,"Satapathy, Gaidhane, Vadia, Menon, Chennakesavulu, Panigrahi, Shabil, Singh, Sah, Lingamaiah, Rao, Goh, Mawejje, Bushi",2025,PMC12657567
Pharmacogenomics-guided personalized medicine in a clinical setting: real-world data.,"Liang, Brand, Ruiter, Smit, Vos, van der Vlugt, Aarab, Swen, Krens, Bosch",2026,PMC12846737
Impact of Xenobiotic Detoxification Gene Polymorphisms on Steady-State Plasma Concentrations of Apixaban and the Development of Hemorrhagic Complications in Older Patients with Non-Valvular Atrial Fibrillation.,"Kondrakhin, Abdullaev, Sychev, Bochkov, Tuchkova, Mirzaev, Maksimov, Sychev",2025,PMC12562637
"Prevalence and Duration of Potential Drug-Drug Interactions Among US Nursing Home Residents, 2018-2020.","Reich, Daiello, Berry, D'Amico, Kiel, Harris, Hayes, Leonard, Hsu, Zullo",2025,PMC12748051
"Silent Dangers in Elderly Pharmacotherapy: The Interplay of Polypharmacy, Multimorbidity, and Drug Interactions.",Ngcobo,2025,PMC12482850
Prevalence of the QT interval prolongation and its risk factors in hospitalized geriatric patients: findings of a single center cross-sectional study in Pakistan.,"Tanveer, Ashfaq, Sharif, Iqbal, Iqbal, Khan, Haroon, Bashatah, Syed, Alqahtani",2025,PMC12465303
Artificial intelligence-driven pharmacovigilance analysis of polypharmacy and adverse events in breast cancer survivors treated with antidepressants.,"Zhang, Kong, Chen, Liu, Li, Chen, Gao, Zhou",2026,PMC12825815
Polypharmacy driven synergistic toxicities in elderly breast cancer chemotherapy drug management and adverse drug reactions: a mini review.,"Wang, Yang, Zhang, Yang",2025,PMC12417399
Clinical Outcomes in Patients with Chronic Limb-Threatening Ischemia with or Without Hyperpolypharmacy After Revascularization.,"Kobayashi, Mukai, Katayama, Ide, Tochigi, Okazaki, Okusako, Hamamoto, Hasegawa, Fujii, Takahashi",2025,HSH1fbb06ad
Potential drug-drug interactions among hospitalised cardiac patients in Nepal: a prospective observational study.,"Sah, Karna, Subedi, Sah, Shrestha, Dangi",2025,PMC12374666
