title,pubdate,pmc_id,authors
A Policy and Regulatory Framework to Promote Care Delivery Redesign and Production Efficiency in Health Care Markets.,2025,PMC12185368,"Scanlon, Harvey, Damberg, Bhagat, Shi"
A real-world comparison of the clinical and economic utility of OVA1 and CA125 in assessing ovarian tumor malignancy risk.,2023,PMC10402905,"Reilly, Gregory, Scotti, Lederman, Neiman, Sussman, M Bean, Ekono"
Accuracy and transportability of machine learning models for adolescent suicide prediction with longitudinal clinical records.,2024,PMC11291985,"Zang, Hou, Lyu, Jin, Sacco, Chen, Aseltine, Wang"
Association of Hospital-Based Social Needs Interventions with Potentially Preventable Admissions.,2025,PMC12344029,"Knox, Brewster, Ahern, Shortell, Hague, Rodriguez"
Better together? costs of first-line chemoimmunotherapy for advanced non-small cell lung cancer.,2023,NA,"Kish, Liassou, Hartman, Lubinga, Chopra, Feinberg"
Cancer Treatment Data in Central Cancer Registries: When Are Supplemental Data Needed?,2022,PMC9340909,"Bradley, Liang, Jasem, Lindrooth, Sabik, Perraillon"
Chronic psychiatric diagnoses increase emergency department utilization following bariatric surgery.,2023,PMC3962512,"Samuels, Carmichael, Hazel, Velopulos, Rothchild, Schoen"
Clinical and patient-level predictors of procedure and tooth survival after direct pulp capping.,2024,NA,"Gencerliler, Terlizzi, Gold, Sigurdsson, Burns"
Concordance of opioid exposure in all-payer claims databases with prescription drug monitoring program database using Arkansas as a case example.,2023,PMC10315385,"Mahashabde, Shrikhande, Han, Martin, ElHassan, Hayes"
Consistency Between State's Cancer Registry and All-Payer Claims Database in Documented Radiation Therapy Among Patients Who Received Breast Conservative Surgery.,2023,PMC10166563,"Li, Malapati, Guire, Hutchins"
Cost-Effectiveness of Nab-Paclitaxel and Gemcitabine Versus Gemcitabine Monotherapy for Patients with Unresectable Metastatic Pancreatic Cancer in Japan.,2022,NA,"Morimoto, Moriwaki, Kaneyasu, Nakayama, Shimozuma"
Cost-effectiveness analysis of nivolumab plus chemotherapy vs chemotherapy for patients with unresectable advanced or metastatic HER2-negative gastric or gastroesophageal junction or esophageal adenocarcinoma in Japan.,2023,PMC8314143,"Morimoto, Moriwaki, Shimozuma, Nakayama"
Cost-effectiveness of a Low-cost Educational Messaging and Prescription-fill Reminder Intervention to Improve Medication Adherence Among Individuals With Intellectual and Developmental Disability and Hypertension.,2025,PMC11617081,"Chen, McDermott, Salzberg, Zhang, Hardin"
Cost-effectiveness of baloxavir marboxil compared to laninamivir for the treatment of influenza in Japan.,2021,NA,"Skrzeczek, Ikeoka, Hirotsu, Ansaripour, Aballéa, Onishi, Hill, Igarashi"
Dental care utilization in Massachusetts before and after initiation of medication for opioid use disorder: A cross-sectional study of a state all-payer claims database.,2022,NA,"Simon, Choudhary, Ticku, Barrow, Tobey"
Development and Validation of Claims-Based Definitions to Identify Incident and Prevalent Inflammatory Bowel Disease in Administrative Healthcare Databases.,2023,PMC10697409,"Dawwas, Weiss, Constant, Parlett, Haynes, Yang, Brensinger, Wu, Pate, Jonsson Funk, Schaubel, Hurtado-Lorenzo, David Kappelman, Lewis"
Development and validation of a claims-based model to identify patients at risk of chronic thromboembolic pulmonary hypertension following acute pulmonary embolism.,2021,NA,"Kanwar, Cole, Gauthier-Loiselle, Manceur, Tsang, Lefebvre, Panjabi, Benza"
Development and validation of a one year predictive model for secondary fractures in osteoporosis.,2021,PMC8475984,"Williams, Greenspan, Bancroft, Chastek, Wang, Weiss, Pyrih, Nichols, Cauley"
Development of a Novel Prospective Model to Predict Unplanned 90-Day Readmissions After Total Hip Arthroplasty.,2023,NA,"Korvink, Hung, Wong, Martin, Halawi"
Emergency Department Visits Following Patellofemoral Arthroplasty.,2023,PMC10635600,"Ratnasamy, Halperin, Dhodapkar, Rubin, Grauer"
Fairness in Low Birthweight Predictive Models: Implications of Excluding Race/Ethnicity.,2025,PMC12304234,"Brown, Thomsen, Amick, Tilford, Bryant-Moore, Gomez-Acevedo"
