title,authors,pubdate,pmc_id
Real-world clinical and economic burden of immunoglobulin-G4-related disease in the United States: A retrospective claims-based analysis.,"Wallace, Park, Serra, Gagnon-Sanschagrin, Guérin, Patterson, Patel, Singh",2026,PMC13008172
Effectiveness of Benralizumab in Reducing Asthma and COPD Exacerbations in Patients with Severe Asthma and Concomitant COPD: Real-World Evidence from the ZEPHYR-5 Study.,"Adrish, DeMartino, Carstens, Jackson, Wilson, Schinkel, Tkacz",2026,PMC12997770
Radiotherapy Utilization Patterns Among Patients With Metastatic Renal Cell Carcinoma of the Spine: A National Claims Database Study.,"Ndika, Luo, Woo, Ahmed, Rivera, Ray, Crowell, Johnson, Mullikin, Erickson, Goodwin",2026,HSHd1a01470
Provider networks for pulmonary hypertension in Massachusetts: implications for improving referrals to expert care.,"Gillmeyer, Rinne, Klings, Elwy, Wiener",2026,HSHd1a01470
Impact of Place on Dental Use by Medicaid-Enrolled Adults in Massachusetts.,"Ticku, Alpert, Mo, Barrow, Wu",2026,HSHd1a01470
Higher intensity care for patients with multiple chronic conditions after hospital-physician integration.,"Harris, Post, Barnard, Linder, Jordan",2026,PMC12967850
"Poststroke Telehealth Utilization Patterns Across Gender, Geography, Insurance, and Age in Arkansas.","Walker, Owsley, Bravo, Alsulimani, Shi, Longo",2026,HSHd1a01470
The All-Payer Claims Database After the Gobeille Supreme Court Decision: Assessing the Impact on Fatal Opioid-Related Overdose Research.,"Cordes, Bauer, Bernson, Larochelle, Li, Cao, Dammann, Stopka",2026,PMC12967906
Medication adherence to lipid-lowering agents after percutaneous coronary intervention: nationwide real-world data in the Netherlands.,"Timmermans, Witvliet, van Erkelens, Reitsma, Kamphuisen, Camaro, Danse, Arkenbout",2026,PMC13009448
"Real-World Uptake and Clinical Outcomes of Long-Acting Injectable Cabotegravir/rilpivirine in the United States, 2021-2023.","O'Shea, Derton, Henson, Iqbal, Briggs-Hagen, Kourtis, Buchacz",2026,HSHd1a01470
Exploring the drivers of price variation in orthopaedic radical bone tumor resection: A nationwide database study.,"Shenoy, Cruz, Bhat, Parsons, Therien, Wu, Pean, Eward",2026,PMC12944713
Sex Differences in Young Adult Stroke Severity Using Linked Colorado-All Payer's Claims Database and the Get With The Guidelines-Stroke Registry.,"Leppert, Scarbro, Perraillon, Howard, Miller, Poudel, Thomas, Li, Suresh, Lisabeth, Putaala, Schwamm, Daugherty, Bradley, Burke, Michael Ho, Poisson",2026,HSHd1a01470
Measuring Primary Care Capacity: Unique Patients Seen per Year and Implications for Workforce Shortages.,"Britz, Funk, Sabo, Lee, Webel, Brooks, Strayer, French, Shadowen, Walker, Bazemore, Morgan, Krist",2025,PMC12978800
Pregnancy outcomes among medically complex populations with high risk of pregnancy mortality in Virginia: a retrospective observational study.,"Green, Anderson, Federspiel, Gray, Kmitch, Mathias, Myers, Swamy, Yates, Swartz",2026,HSHd1a01470
Medicaid Expansion and Buprenorphine Dispensing in Early vs Recent Expansion States.,"Siegal, Gupta, Miles, Samples, Simon, Aalsma, Crystal",2026,PMC12917678
Impact of sodium-glucose cotransporter 2 (SGLT2) inhibitors on hematologic malignancy risk: Insights from Japanese claims data.,"Kawashiri, Yamamoto, Fujiwara, Shimizu, Kobayashi, Fujita, Shibata, Hirota, Uchida",2026,HSHd1a01470
Trends in Utilization and Costs Following a Hepatitis C Elimination Initiative.,"Tabah, Basu, Cox-North, Zerzan-Thul, Evaskus, Sullivan, Colson, Huriaux, Stockton, Heidari, Wiggins, Chang, Kohler",2026,PMC12892153
Comparative Cost-Effectiveness Analysis of Multiple First-Line Treatments for HER2-Negative Unresectable Advanced or Recurrent Gastric Cancer in Japan.,"Morimoto, Moriwaki, Nishikawa, Maeda, Toyama, Agatsuma, Kojima, Utsumi, Takahashi, Shimozuma, Nakayama",2026,PMC10380453
"Evaluation of colorectal cancer screening practices in Rhode Island, 2011-2021.","Romero-Ramos, Goedel, Boudreau, McBurney",2026,PMC6016405
"Delay in breast cancer surgery: evaluating patient, healthcare access, and social vulnerability predictors.","Boyd, Rezaeiahari, Schootman, Park, Owsley",2026,PMC12891009
Survival of Intravenous Edaravone-Treated Patients With ALS: Evidence From Administrative Claims Analyses.,"Brooks, Berry, Ciepielewska",2026,PMC12882030
Patient factors and costs associated with prophylactic neurokinin-1 receptor antagonist use among women with invasive breast cancer.,"Kamat, Brown, Cohen, Vyas",2026,PMC12871512
Economic burden of non-transfusion-dependent thalassemia in the United States.,"Langer, Rane, Gilroy, Zhao, Lombard, Lew, Sheth",2026,HSHd1a01470
Guideline-Concordant Care and Clinician and Clinic Characteristics for Patients With Schizophrenia.,"Chen, Simon, Ericson, Zeber, Qian, Geissler",2025,PMC12743273
Novel approaches in linkage of data sources to explore the associations between purchase of opioid prescriptions during pregnancy and adverse neonatal outcomes.,"ElHassan, Hayes, Mahashabde, Han, Akmyradov, Li, Hudson, Mcgehee, Mourani, Martin",2026,PMC12857999
"A Decade of Craniosynostosis Surgery in the United States: Trends in Management, Payer Mix, and Cost.","Salib, Kong, Moscarelli, Allam, Parker, Singh, Hernández-Busot, Alperovich",2026,HSHd1a01470
Prevalence of spina bifida across the lifespan in the USA.,"Bershadsky, Riley, Pettingell, Larson, Hall-Lande, Hallas, Liu, Reefhuis",2026,HSHd1a01470
Treatment of opioid use disorder in pregnancy among individuals with and without co-occurring stimulant use disorder: A retrospective cohort study.,"Charron, Allshouse, Tak, Campbell, Gordon, Cochran, Smid",2026,PMC12882698
