title,pubdate,pmc_id,authors
A Claims-Based Algorithm for Identifying Hidradenitis Suppurativa Severity.,2025,PMC12604597,"Schneeweiss, Anand, Mostaghimi, Landon, Shay, Davies, Kumar, Shang, Tran, Glynn, Lin, Wyss"
A Novel Machine Learning Algorithm for Creating Risk-Adjusted Payment Formulas.,2024,PMC11065160,"Andriola, Ellis, Siracuse, Hoagland, Kuo, Hsu, Walkey, Lasser, Ash"
A Predictive Model for Progression of Chronic Kidney Disease to Kidney Failure Using a Large Administrative Claims Database.,2021,PMC8186939,"Dai, Alvarez, Woods"
A Real-World Clinical and Economic Analysis of Cell-Derived Quadrivalent Influenza Vaccine Compared to Standard Egg-Derived Quadrivalent Influenza Vaccines During the 2019-2020 Influenza Season in the United States.,2022,PMC8753033,"Divino, Ruthwik Anupindi, DeKoven, Mould-Quevedo, Pelton, Postma, Levin"
A Validated Method to Identify Neuro-Ophthalmologists in a Large Administrative Claims Database.,2023,PMC10191877,"Feng, Lin, Hamedani, De Lott"
A machine-learning algorithm using claims data to identify patients with homozygous familial hypercholesterolemia.,2024,PMC11024086,"Gu, Epland, Ma, Park, Sanchez, Li"
A novel approach for pharmacological substantiation of safety signals using plasma concentrations of medication and administrative/healthcare databases: A case study using Danish registries for an FDA warning on lamotrigine.,2023,NA,"Wang, Battini, Carnovale, Noordam, van Dijk, Kragholm, van Heemst, Soeorg, Sessa"
A population-based study to develop juvenile arthritis case definitions for administrative health data using model-based dynamic classification.,2021,PMC8127203,"Feely, Lim, Jiang, Lix"
A risk scoring system to predict clinical events in chronic hepatitis B virus infection: A nationwide cohort study.,2022,NA,"Jo, Choi, Kim, Choi, Han, Ko, Lim"
AI/ML driven prediction of COPD exacerbations and readmissions: a systematic review and meta-analysis.,2025,PMC12756889,"Niraula, Upreti, Kadariya, Poudel, Kadariya, Kunwar"
Acute Care Utilization Patterns During Chemotherapy and Predictive Model Development at a Rural Community Cancer Center.,2025,PMC12637137,"Perrin, Hattum, Arens, Meissner"
Adaptation and validation of a coding algorithm for the Charlson Comorbidity Index in administrative claims data using the SNOMED CT standardized vocabulary.,2022,PMC9541054,"Fortin, Reps, Ryan"
Adherence patterns 1 year after initiation of SGLT2 inhibitors: results of a national cohort study.,2024,NA,"Huang, Touchette, Tadrous, Schumock, Awadalla, Lee"
Administrative healthcare data to predict performance status in lung cancer patients.,2021,PMC8605231,"Andreano, Russo"
Advances of artificial intelligence in predicting frailty using real-world data: A scoping review.,2024,NA,"Bai, Mardini"
Advancing healthcare allocation and prevention of disability: the role of disease-based predictive model for disability in aging adults.,2025,PMC12539223,"Lin, Chien, Yang, Lai, Chang, Huang, Liou, Chiou"
Adverse consequences of systemic corticosteroids use among a broad population of US adults with asthma: a real-world analysis.,2025,NA,"Wu, Vu, Motawakel, Bancroft, Johnson, Song, Veeranki, Lanz"
An integrated risk model stratifying seizure risk following brain tumor resection among seizure-naive patients without antiepileptic prophylaxis.,2022,PMC12767542,"Jin, Parker, Prolo, Wu, Halpern, Li, Ratliff, Han, Skirboll, Grant"
Application of machine learning and natural language processing for predicting stroke-associated pneumonia.,2022,PMC9556866,"Tsai, Hsieh, Sung"
Application of machine learning approaches to administrative claims data to predict clinical outcomes in medical and surgical patient populations.,2021,PMC8174683,"MacKay, Stubna, Chivers, Draugelis, Hanson, Desai, Groeneveld"
Applying Machine Learning Models Derived From Administrative Claims Data to Predict Medication Nonadherence in Patients Self-Administering Biologic Medications for Inflammatory Bowel Disease.,2024,PMC11266807,"Rhudy, Perry, Wesley, Fardo, Bumgardner, Hassan, Barrett, Talbert"
Applying machine learning approaches for predicting obesity risk using US health administrative claims database.,2024,PMC11429277,"Choong, Brnabic, Chinthammit, Ravuri, Terrell, Kan"
Artificial intelligence in risk prediction and diagnosis of vertebral fractures.,2024,PMC11659610,"Namireddy, Gill, Peerbhai, Kamath, Ramsay, Ponniah, Salih, Jankovic, Kalasauskas, Neuhoff, Kramer, Russo, Thavarajasingam"
Assessing the burden of osteoporosis and clinical fragility fractures in the French general population: insights from linked healthcare claims and health interview survey data used for surveillance.,2025,PMC12559036,"Coste, Mandereau-Bruno, Constantinou, Makovski, Carcaillon-Bentata, Guillemin"
Assessing the effectivity of counting the number of teeth with their conditions to predict mortality: the OHSAKA study.,2025,PMC12751478,"Otsuki, Yamamoto, Mameno, Takeuchi, Shinzawa, Kono, Ikebe"
Assessment of coding-based frailty algorithms for long-term outcome prediction among older people in community settings: a cohort study from the Shizuoka Kokuho Database.,2022,PMC9077119,"Nishimura, Kumamaru, Shoji, Nakatani, Yamamoto, Ichihara, Miyachi, Sandhu, Heidenreich, Yamauchi, Watanabe, Miyata, Kohsaka"
Association between social vulnerability index and admission urgency for transcatheter aortic valve replacement.,2024,PMC10927260,"Bolakale-Rufai, Shinnerl, Knapp, Johnson, Mohammed, Brewer, Torabi, Addison, Mazimba, Breathett"
Association of Hospital-Based Social Needs Interventions with Potentially Preventable Admissions.,2025,PMC12344029,"Knox, Brewster, Ahern, Shortell, Hague, Rodriguez"
Association of liver biomarker values beyond current thresholds and negative clinical outcomes in primary biliary cholangitis: analysis of a real-world healthcare claims database.,2025,PMC12679663,"Ritter, Hanson, Fernandes, MacEwan, Zhao, Parzynski, Mercer, Ness, Wheeler, Kowdley, Mayne"
Automated risk assessment of newly detected atrial fibrillation poststroke from electronic health record data using machine learning and natural language processing.,2022,PMC9372298,"Sung, Sung, Pan, Lee, Hu"
"Bacterial Vaginosis Treatment Patterns, Associated Complications, and Health Care Economic Burden of Women With Medicaid Coverage in the United States.",2024,NA,"Watkins, Chow, Lingohr-Smith, Lin, Yong, Tangirala, Collins, Li, Brooks, Amico"
Better together? costs of first-line chemoimmunotherapy for advanced non-small cell lung cancer.,2023,NA,"Kish, Liassou, Hartman, Lubinga, Chopra, Feinberg"
Big data study using health insurance claims to predict multidisciplinary low vision service uptake.,2024,NA,"Stolwijk, van Nispen, van der Pas, van Rens"
Biologic Initiation Rate in Systemic-Naïve Psoriatic Arthritis Patients Starting Treatment with Apremilast vs Methotrexate: 1-Year Retrospective Analysis of a US Claims Database.,2022,PMC9207121,"Husni, Chang, Broder, Paydar, Bognar, Desai, Klyachkin, Khilfeh"
Body Mass Index Variable Interpolation to Expand the Utility of Real-world Administrative Healthcare Claims Database Analyses.,2021,PMC7889527,"Wu, Chow, Sakthivel, Kakade, Gupta, Israel, Chen, Kuruvilla"
Burden of influenza hospitalization among high-risk groups in the United States.,2022,PMC9520810,"Near, Tse, Young-Xu, Hong, Reyes"
Claims-Based Score for the Prediction of Bleeding in a Contemporary Cohort of Patients Receiving Oral Anticoagulation for Venous Thromboembolism.,2021,PMC8649528,"Alonso, Norby, MacLehose, Zakai, Walker, Adam, Lutsey"
Clinical Features of Patients With Progressive Supranuclear Palsy in an US Insurance Claims Database.,2021,PMC8245849,"Viscidi, Litvan, Dam, Juneja, Li, Krzywy, Eaton, Hall, Kupferman, Höglinger"
Clinical characteristics and health care resource use of patients at risk for wild-type transthyretin amyloid cardiomyopathy identified by machine learning model.,2023,PMC10387948,"Bruno, Sheer, Reed, Schepart, Nair, Simmons"
Comparing penalization methods for linear models on large observational health data.,2024,PMC11187433,"Fridgeirsson, Williams, Rijnbeek, Suchard, Reps"
Comparison of two modeling approaches for the identification of predictors of complications in children with cerebral palsy following spine surgery.,2024,PMC11468503,"Difazio, Strout, Vessey, Berry, Whitney"
Construction of extra-large scale screening tools for risks of severe mental illnesses using real world healthcare data.,2025,NA,"Liu, Choi, Lizano, Yuan, Yu, Smoller, Kohane"
Cost of ovarian cancer by the phase of care in the United States.,2025,PMC12014244,"Adjei, Haas, Sun, Zhao, Yeh, Giordano, Toumazis, Meyer"
Cost-Effectiveness of First-Line Nivolumab Plus Ipilimumab Combination Therapy in Advanced Non-Small-Cell Lung Cancer in Japan.,2022,NA,"Mo, Moriwaki, Morimoto, Shimozuma"
Cost-Effectiveness of Nab-Paclitaxel and Gemcitabine Versus Gemcitabine Monotherapy for Patients with Unresectable Metastatic Pancreatic Cancer in Japan.,2022,NA,"Morimoto, Moriwaki, Kaneyasu, Nakayama, Shimozuma"
Cost-effectiveness analysis of nivolumab plus chemotherapy vs chemotherapy for patients with unresectable advanced or metastatic HER2-negative gastric or gastroesophageal junction or esophageal adenocarcinoma in Japan.,2023,PMC8314143,"Morimoto, Moriwaki, Shimozuma, Nakayama"
Cost-effectiveness of baloxavir marboxil compared to laninamivir for the treatment of influenza in Japan.,2021,NA,"Skrzeczek, Ikeoka, Hirotsu, Ansaripour, Aballéa, Onishi, Hill, Igarashi"
Costs of Severe Maternal Morbidity in U.S. Commercially Insured and Medicaid Populations: An Updated Analysis.,2021,PMC8524749,"Black, Vesco, Mehta, Ohman-Strickland, Demissie, Schneider"
Current and Future Projections of Amyotrophic Lateral Sclerosis in the United States Using Administrative Claims Data.,2021,NA,"Miller, Apple, Paige, Grabowsky, Shukla, Agnese, Merrill"
"Current and forecasted 10-year prevalence and incidence of inflammatory bowel disease in Hong Kong, Japan, and the United States.",2025,PMC12146929,"Zhang, Chung, Fang, Xu, Zhang, Nakajo, Wong, Leung, Qiu, Li"
Deep Learning and Multivariable Models Select EVAR Patients for Short-Stay Discharge.,2021,PMC7792630,"Zarkowsky, Nejim, Hubara, Hicks, Goodney, Malas"
