title,authors,pubdate,pmc_id
Intelligent System for Upper Limb Motor Assessment Using Inertial Sensors and Machine Learning for Telerehabilitation Therapies.,"Martinez-Pascual, Vales, Martin-Batanero, Catalan, Blanco-Ivorra, Garcia-Aracil",2026,HSH5bd0f614
Fully integrated AI-enhanced flexible wearable sensor for real-time movement evaluation and table tennis training.,"Wang, Zhong, Gao, Xu",2026,HSH5bd0f614
The association between mobility and a cognitive measure of attention and processing speed in middle-aged adults: a cross-sectional study.,"Turkel, Hayek, Nudelman, Gutman, Springer",2025,PMC12816591
Hypo-segmentation of 18F-BPA PET-based boron distribution: a pragmatic approach for efficient BNCT treatment planning.,"Teng, Chen, Zhong, Lin, Liu",2025,PMC12864627
Radio Frequency Tagging-enabled patient monitoring: integrating mobility tracking with early warning systems for enhanced safety.,"Abugabah, Shukla, Shukla, Dwivedi",2025,PMC12781683
Time Series Glucose Level Detection in fuel-cell based sensors Using Machine Learning: A Comparative Study of K-NN with Dynamic Time Warping and XGBoost.,"Picazo-Cot, Marte, Guardia-Olivella, Subias-Beltran, Migliorelli",2025,HSH5bd0f614
Multiscale Coronary Arterial Network Generation and Hemodynamics Using Patient-Specific Fractional Myocardial Blood Volume.,"Mahmoudi, Pogosyan, Arzani, Nguyen",2025,PMC12649997
Parkinson's disease severity clustering based on gait activity from mobile device.,"Sri-Iesaranusorn, Asawaponwiput, Ajchariyasakchai, Bhidayasiri, Surangsrirat",2025,PMC12592712
School infection control strategy during and after the COVID-19 pandemic: Nationwide trends (2022-2024).,"Okubo, Honjo, Uda, Miyairi",2025,HSH5bd0f614
Clustering and time series analyses of hybrid immunity to SARS-COV-2 using data from the BQC19 biobank.,"Boulianne, Larocque, Rousseau, Bosson-Rieutort",2025,PMC12504541
Mathematical modelling and time series clustering of Mpox outbreak: A comparative study of the top 10 affected countries and implications for future outbreak management.,"Tamakloe, Kuuwill, Osumanu, Siripi",2025,PMC12332957
Intelligent biosensors for human movement rehabilitation and intention recognition.,"Rafiq, Almujally, Algarni, Alshehri, AlQahtani, Jalal, Liu",2025,PMC12283989
Early detection of Multidrug Resistance using Multivariate Time Series analysis and interpretable patient-similarity representations.,"Escudero-Arnanz, Marques, Mora-Jiménez, Álvarez-Rodríguez, Soguero-Ruiz",2025,HSH5bd0f614
Temporal dynamics of patient complaints in new hospitals: a dynamic time warping and impulse response function analysis of the South Korean healthcare system.,"Kwon, Namgung, Park, Kim, Choi, Jeong, Kim",2025,HSH5bd0f614
