title,pubdate,pmc_id,authors
"""Book Music"" Representation for Temporal Data, as a Part of the Feature Extraction Process: A Novel Approach to Improve the Handling of Time-Dependent Data in Secondary Use of Healthcare Structured Data.",2022,NA,"Chazard, Balaye, Balcaen, Genin, Cuggia, Bouzille, Lamer"
"""I know I shouldn't but …"" the inevitable tension of using workarounds to be a ""good nurse"".",2025,PMC12339508,"Debono, Greenfield, Lipworth, Carter, Black, Hinchcliff, Carland, Braithwaite"
"""Only on Paper"": Rights vs. Reality for Gender-Based Violence Survivors in Rural Bolivia.",2025,PMC12282867,"Voller, Smith, Castro, Barrozo, Burgos, Maccari, Nixon, Martin, Mkandawire-Valhmu, Mysler, Pellizzari, Hoffman"
'Reassurance and healthcare seeking in people with persistent musculoskeletal low back pain consulting orthopaedic spine practitioners: A prospective cohort study'.,2021,NA,"Braeuninger-Weimer, Rooslien, Anjarwalla, Pincus"
18F-FDG PET/CT in Inflammation and Infection: Procedural Guideline by the Korean Society of Nuclear Medicine.,2025,PMC11772639,"Choi, Park, Lee, Kwon, Oh, Lim, Han, Choi"
6-month regimen of isoniazid prevention therapy for tuberculosis among people living with human immunodeficiency virus in minority areas of China: a 3-year prospective cohort study.,2024,PMC11683910,"Li, He, Li, Li, Gao, Zhong, Yang, Chen, Xia, Yang"
A 'He Awa Whiria' approach: integrating Māori knowledge and cultural values into audiological research and hearing health services.,2025,PMC11841167,"Dawson, Smith, O'Beirne, Manuel"
A 7-Gene Biosignature for Ductal Carcinoma in situ of the Breast Identifies Subpopulations of HER2-positive Patients With Distinct Recurrence Rates After Breast-Conserving Surgery and Radiation Therapy.,2025,NA,"Vicini, Shah, Mittal, Abraham, Kruse, Weinmann, Leo, Rabinovitch, Wärnberg, Whitworth, Czerniecki, Shivers, Bremer"
A Component Evaluation of a Randomised Control Community Intervention to Reduce Adolescent Alcohol Use in Australia.,2022,PMC3790581,"Rowland, Kremer, Williams, Kelly, Patton, Toumbourou"
"A Data Transformation Methodology to Create Findable, Accessible, Interoperable, and Reusable Health Data: Software Design, Development, and Evaluation Study.",2023,PMC10034606,"Sinaci, Gencturk, Teoman, Laleci Erturkmen, Alvarez-Romero, Martinez-Garcia, Poblador-Plou, Carmona-Pírez, Löbe, Parra-Calderon"
A Delphi Exploration of Toileting Activity Performance in Individuals With Cerebral Palsy Within the ICF-CY Framework: Unveiling Influential Factors.,2024,PMC11473173,"Riyahi, Akbarfahimi, Rassafiani, Pournasiri, Ahmadi, Hassani Mehraban"
A Delphi consensus to identify the key screening tests/questions for a digital neurological examination for epidemiological research.,2024,PMC11055750,"Ferreira, Brayne, Ragonese, Ketzoian, Piccioli, Tinti, Casali, di Lorenzo, Ramos, Azevedo, Gomes, Stewart, Haas, Hoppenbrouwer, Metting, Gallo"
A Descriptive Analysis from VigiAccess on Drug-related Problems Associated with the Glucagon-like Peptide-1 Receptor Agonists.,2025,NA,Amirthalingam
A Design Framework for Microintervention Software Technology in Digital Health: Critical Interpretive Synthesis.,2025,PMC12475881,"Persson, Ramasawmy, Khan, Banerjee, Blandford, Bardram, Bækgaard"
"A Framework for Using Cost-effectiveness Analysis to Support Pricing and Reimbursement Decisions for New Pharmaceuticals in a Context of Evolving Treatments, Prices, and Evidence.",2025,PMC12227514,"Woods, Palacios, Sculpher"
A Generic Transformation Approach for Complex Laboratory Data Using the Fast Healthcare Interoperability Resources Mapping Language: Method Development and Implementation.,2024,PMC11508034,"Kruse, Wiedekopf, Kock-Schoppenhauer, Essenwanger, Ingenerf, Ulrich"
A Grounded Theory of Interdisciplinary Communication and Collaboration in the Outpatient Setting of the Hospital for Patients with Multiple Long-Term Conditions.,2024,PMC11122402,"Gans, de Ruijter, van der Heide, van der Meijden, van den Bos, van Munster, de Groot"
A Machine Learning Approach to Predict Deep Venous Thrombosis Among Hospitalized Patients.,2021,PMC7907939,"Ryan, Mataraso, Siefkas, Pellegrini, Barnes, Green-Saxena, Hoffman, Calvert, Das"
A Novel Nomogram for Predicting the Risk of Premature Delivery Based on the Thyroid Function in Pregnant Women.,2021,PMC8784419,"Meng, Lin, Fan"
"A Prospective, observational cohort study to identify neonates and children at risk of postdischarge mortality in Dar es Salaam, Tanzania and Monrovia, Liberia: the PPDM study protocol.",2022,PMC8756287,"Rees, Kisenge, Ideh, Kamara, Samma, Godfrey, Manji, Sudfeld, Westbrook, Niescierenko, Manji, Duggan"
A Rare Case of Insulin-Like Growth Factor (IGF-2) Induced Hypoglycemia Associated With Metastatic Colon Cancer.,2024,PMC11168588,"Alshaakh Mohd Mari, Sidhu, Matos, Kinaan"
A Rare Case of Myopathy Associated with Entecavir Initiation.,2025,PMC12497732,"Overton, Brock, Betapudi, Wells"
A Rare Case of Primary Sclerosing Cholangitis Overlapped With Autoimmune Hepatitis and Ulcerative Colitis.,2023,PMC10495695,"Lakkasani, Kogilathota Jagirdhar, Qirem, Digiacomo, Pantula"
A Revised Hippocratic Oath for the Era of Digital Health.,2022,PMC9497634,"Meskó, Spiegel"
A Survey of Prescription Errors in Paediatric Outpatients in Multi-Primary Care Settings: The Implementation of an Electronic Pre-Prescription System.,2022,PMC9218205,"Tan, Chen, He, Zhu, Cen, Feng"
A Systematic Review of Challenges and Opportunities in the Implementation of Managed Entry Agreements for Advanced Therapy Medicinal Products.,2025,NA,"Greco, Frederix, Hooft, Ten Ham"
A Tutorial for Pharmacogenomics Implementation Through End-to-End Clinical Decision Support Based on Ten Years of Experience from PREDICT.,2021,PMC7902340,"Liu, Vnencak-Jones, Roland, Gatto, Mathe, Just, Peterson, Van Driest, Weitkamp"
A bi-criterion sequence-dependent scheduling problem with order deliveries.,2024,PMC10773847,"Xu, Lin, Hu, Chang, Wu, Hsu, Wu, Wu"
A case study of lean digital transformation through robotic process automation in healthcare.,2024,PMC11199509,"Huang, Liao, Huang, Su, Jerng, Lu, Ho, Xu"
A clinical prediction rule based on the decision tree model for falls among patients with hip osteoarthritis.,2026,NA,"Tsuru, Tanaka, Shinonaga, Kitada, Taguchi, Miura"
A dose of doubt: a qualitative study on placebo regulations.,2025,PMC12206773,"Richard, Ganz, Elger, Gaab"
A healthy debate: Exploring the views of medical doctors on the ethics of artificial intelligence.,2021,NA,"Martinho, Kroesen, Chorus"
A hybrid healthy diet recommender system based on machine learning techniques.,2025,NA,"Sweidan, Askar, Abouhawwash, Badr"
A machine learning approach to identifying pregnant women's risk for persistent post-traumatic stress following childbirth.,2022,NA,"Rousseau, Polachek, Frenkel"
A mobile health intervention for emerging adults with regular cannabis use: A micro-randomized pilot trial design protocol.,2024,PMC11616772,"Coughlin, Campbell, Wheeler, Rodriguez, Florimbio, Ghosh, Guo, Hung, Newman, Pan, Zhang, Zimmermann, Bonar, Walton, Murphy, Nahum-Shani"
A multicentric prospective observational study of diagnosis and prognosis features in ICU mesenteric ischemia: the DIAGOMI study.,2022,PMC9759607,"Bourcier, Ulmann, Jamme, Savary, Paul, Benghanem, Lavillegrand, Schmidt, Luyt, Maury, Combes, Pène, Neveux, Cariou"
"A novel heterozygous deletion in ABCB4 gene in a Chinese family with intrahepatic cholestasis of pregnancy, neonatal hyperbilirubinemia, and cholelithiasis: Case reports and literature review.",2024,PMC10767586,"Zheng, Rao, Han, He"
