title,authors,pubdate,pmc_id
Prevalence of Potentially Inappropriate Medication Prescriptions in Older Adults.,"Rezaee, Ghamkhar, Sedaghat",2026,PMC13004305
A eureka moment - using coalface data for discovery on TB disease and financial relief.,"Watts, Dale, Denholm",2026,PMC12991732
"Sex Differences in Treatment Expectations, Satisfaction and Tolerance After Switching to CT-P17, an Adalimumab Biosimilar: A Post Hoc Analysis of the YU-MATTER Study.","Gossec, Bouguen, Dellal, Foulley, Habauzit, Benkhalifa, Marotte",2026,PMC9802114
Behavioral pattern analysis for adherence in clinical trials using sequence mining.,"Pita Zambrano, Laguardia, DeAntonio, Ledezma Espino",2026,HSHec106a96
Conformance-Aware Predictive Process Monitoring for Early Detection of Sepsis Deterioration Using Incomplete Care Pathways.,"Harry, Samara",2026,PMC12986027
Predictive modeling for early diagnosis of dementia using sequential data analysis and data mining.,"G, R",2026,HSHec106a96
Improving organizational processes in healthcare through simulation-driven resource allocation: Methodology and real-world case study.,"Vinci, Aloini, Benevento, Stefanini, Zen, de Leoni",2026,HSHec106a96
The application of process mining for clinical pathways: a systematic literature review protocol.,"Murazzano, Landa, Bergeron, Côté, Gartner, Raki",2026,HSHec106a96
Analysis of Patients' Mobility Patterns: Insights From a Process Mining-Based Longitudinal Study.,"Yari Eili, Hajialiasgari, Roozbahani, Rezaeenour, Shafiee Sabet, Mohammadi, Atashi",2026,PMC12961099
Linguistic Features of Suicide Bereavement: A Data Mining Approach.,"Ooi, Chan, Bhatia",2026,HSHec106a96
Treatment of Uterine Fibroid-Related Heavy Menstrual Bleeding: Variations in Clinical Practice at Four Hospitals in the Netherlands.,"Knorren, Huijs, Nijholt, Dijkstra, Dijkhuizen, van der Steeg, van der Meer, Boomsma, Vink, Geomini, Bongers, Leemans",2026,PMC12936386
Leveraging Large Language Models for Adverse Drug Event Detection: A Comparative Study of Token and Span-Based Named Entity Recognition.,"Prioleau, Aryal, Blackstone",2026,PMC12952677
Process Management and Mining in Smart Health.,Leotta,2025,HSHec106a96
Impact of pharmacist-led digital interventions on asthma outcomes: A systematic review.,"Bell, Burns, King, Eller, Jeminiwa",2026,HSHec106a96
Clinical pathways discovery for long-term and chronic patients: A process mining approach.,"Murazzano, Landa, Gartner, Raki, Côté",2026,HSHec106a96
An intelligent healthcare framework for hepatocellular carcinoma diagnosis based on aggregated learners from biomedical data utilising explainable artificial intelligence.,"Alqaralleh, Alksasbeh, Kulakli, Zreikat",2026,PMC13003069
HealthProcessAI: a technical framework and proof-of-concept for LLM-enhanced healthcare process mining.,"Illueca-Fernandez, Chen, Seoane, Abtahi",2026,PMC12901364
"Trans-sectoral patient pathways in urgent and emergency care (TRANSPARENT study): protocol for a prospective, mixed-methods study in Germany.","Bienzeisler, Hertwig, Heidemeyer, Alhaskir, Majeed, Kombeiz, Hoy, Huening, Goettgens, Unterkofler, Rademacher, Panagiotidis, Marewski, Sommer, Schirrmeister, Walcher, Otto, Ehrentreich, Beyel, Peeva, Schwanen, Pegoraro, Zoch-Lesniak, Pollmanns, Wittmar, von Stillfried, Röhrig, Beckers, van der Aalst, Brokmann",2026,PMC12911710
Application of process mining in healthcare logistics: a systematic literature review protocol.,"Murazzano, Landa, Ghafourian Nasiri, Bergeron, Côté",2026,PMC12911781
Transforming Relational Care Values in AI-Mediated Healthcare: A Text Mining Analysis of Patient Narrative.,Lee,2026,PMC12897356
