title,pubdate,pmc_id,authors
A Novel Model for Generating Patient Laboratory Test Orders from Admission: Transformer Model Approach.,2025,NA,"Hyohdoh, Nomura, Mitani, Hatakeyama"
A comparative analysis of LSTM models aided with attention and squeeze and excitation blocks for activity recognition.,2025,PMC11785954,"Khan, Hossni"
A comprehensive health assessment approach using ensemble deep learning model for remote patient monitoring with IoT.,2024,PMC11231150,"R, S, Mathivanan, Shivahare, Chandan, Shah"
A machine learning framework for classifying dementia risk in mild cognitive impairment: evidence from a Korean genome-wide association study cohort.,2025,PMC12604216,"Cho, Ban, Nam, Chu, Jeon, Kim"
A prospective bacterial whole-genome-sequencing-based surveillance programme for comprehensive early detection of healthcare-associated infection transmission in paediatric oncology patients.,2024,NA,"Hakim, Glasgow, Brazelton, Gilliam, Richards, Hayden"
A self-gated 4D-MRI sequence for internal target volume delineation in liver: Phantom and pre-clinical validation.,2025,PMC12395459,"Chen, Liu, Xue, Zeng, Pang, Zhang, Hou, Yang, Guan, Quan, Ruan, Yang"
Application of deep learning reconstruction in abdominal magnetic resonance cholangiopancreatography for image quality improvement and acquisition time reduction.,2025,NA,"Chen, Yeh, Chang, Chen, Lee, Shieh, Lin, Liu"
Automated segmentation of long and short axis DENSE cardiovascular magnetic resonance for myocardial strain analysis using spatio-temporal convolutional neural networks.,2023,PMC10061808,"Barbaroux, Kunze, Neji, Nazir, Pennell, Nielles-Vallespin, Scott, Young"
B1+ inhomogeneity mitigation for diffusion weighted MRI at 7T using TR-FOCI pulses.,2024,NA,"Abbasi-Rad, Cloos, Jin, O'Brien, Barth"
Bi-directional ConvLSTM networks for early recognition of human activities and action prediction.,2025,PMC12592370,"Shenoy, Thillaiarasu, Santhosh, Kumar"
Bidirectional dynamic frame prediction network for total-body [68Ga]Ga-PSMA-11 and [68Ga]Ga-FAPI-04 PET images.,2024,PMC11532329,"Yang, Li, Huang, Chen, Zhao, Gao, Yang, Yang, Zheng, Liang, Liu, Chen, Hu"
Brainwide Mendelian Randomization Study of Anxiety Disorders and Symptoms.,2024,PMC10978301,"Zanoaga, Friligkou, He, Pathak, Koller, Cabrera-Mendoza, Stein, Polimanti"
Clostridioides difficile evolution in a tertiary German hospital through a retrospective genomic characterization.,2025,PMC12460453,"Lorenzo-Diaz, Klassert, Zubiria-Barrera, Keles-Slevogt, Gonzalez-Carracedo, Hernandez, Slevogt, Grünewald"
Clustering and time series analyses of hybrid immunity to SARS-COV-2 using data from the BQC19 biobank.,2025,PMC12504541,"Boulianne, Larocque, Rousseau, Bosson-Rieutort"
Cognition-Eye-Brain Connection in Alzheimer's Disease Spectrum Revealed by Multimodal Imaging.,2025,PMC12435140,"Shi, Shen, Yan, Liang, Wei, Huang, Gao, Zheng, Ci, Zhang, Tang, Qin, Zhu"
Cognitive disorders in childhood epilepsy: a comparative longitudinal study using administrative healthcare data.,2022,PMC9217877,"Sorg, von Kries, Borggraefe"
Comparison between conventional and compressed sensing cine cardiovascular magnetic resonance for feature tracking global circumferential strain assessment.,2021,PMC7898736,"Kido, Hirai, Ogawa, Tanabe, Nakamura, Kawaguchi, Kurata, Watanabe, Schmidt, Forman, Mochizuki, Kido"
