title,authors,pubdate,pmc_id
Insights Into Patient-Level Exposure to Actionable Pharmacogenomic Medications in Australia Using a New National Pharmacogenomic Guideline.,"Ianni, Yiu, Ali, Lu",2026,PMC12746521
Late-Life Dementia Care: Identifying Distinct Care Patterns in the Last Years of Life.,"Bagnasco, Bom, Wouterse",2025,HSH029fc8df
"FRONTIER: FReeStyle Libre system use in Ontario among people with diabetes in the IC/ES database-Evidence from real-world practice: Patients on basal insulin, glucagon-like peptide 1 receptor agonist or oral therapies.","Ratzki-Leewing, Harris, Rabasa-Lhoret, Poon",2025,HSH029fc8df
Antiseizure medication prescribing in people with Dravet syndrome: An analysis of real-time administrative data.,"Xu, Lin, Perry, Nascimento",2025,PMC11803280
The impact of a payer-provider joint venture on healthcare value.,"Garabedian, Wharam, Newhouse, Lakoma, Argetsinger, Zhang, Galbraith",2025,PMC12120508
Physical Restraint Use in Hospitalized Patients: A Study of Routinely Collected Health Records Data.,"Luccarelli, Gan, Golas, Sriraman, Snydeman, Sacks, McCoy",2025,PMC12053693
Potentially Inappropriate Medication in Older Persons With Dementia: Does a Migration Background Matter?,"Strooij, Blom, van Hout, Maarsingh, Elders, van Campen, van der Heide, Verheij, Joling",2024,HSH029fc8df
Ten-Year Trend of Oral Anticoagulation Use in Postoperative and Nonpostoperative Atrial Fibrillation in Routine Clinical Practice.,"Yao, Van Houten, Siontis, Friedman, McBane, Gersh, Noseworthy",2024,PMC11255709
Epidemiology and Treatment of Patients With Primary Open Angle Glaucoma in Germany: A Health Claims Data Analysis.,"Manz, Mocek, Höer, Simantiri, Heuck, Eberhardt, Mrosowsky, Zander, Fritz, Schuster, Erb",2024,PMC11319074
Routine treatment pathways in a cohort of patients with major depression and suicidality in Italy: the ARIANNA observational study.,"Pompili, Dell'Osso, Rosso, Amore, Bellomo, Mautone, Pilotto, Ramacciotti, Scardigli, Ascione, Cipelli, Sansone, Simoni, Adami, Delmonte",2023,HSH029fc8df
"The Impact of Blood Glucose Test Strips Reimbursement Limits on Utilization, Costs, and Health-care Utilization in British Columbia.","Itiola, Cheng, Zhang, Gomes, Shah, Law",2024,HSH029fc8df
"Virtual Care and Emergency Department Use During the COVID-19 Pandemic Among Patients of Family Physicians in Ontario, Canada.","Kiran, Green, Strauss, Wu, Daneshvarfard, Kopp, Lapointe-Shaw, Latifovic, Frymire, Glazier",2023,PMC10148195
Associations among navigational support and health care utilization and costs in patients with advanced cancer: An analysis based on administrative health insurance data.,"Schindel, Gebert, Frick, Letsch, Grittner, Schenk",2023,PMC10134282
"Temporal and Regional Trends in Obstructive Sleep Apnea Using Administrative Health Data in Alberta, Canada.","Pendharkar, Sharpe, Rosychuk, Laratta, Fong, Duan, Ronksley, MacLean",2023,HSH029fc8df
Real-world data for precision public health of noncommunicable diseases: a scoping review.,"Canfell, Kodiyattu, Eakin, Burton-Jones, Wong, Macaulay, Sullivan",2022,PMC9694563
Usability of German hospital administrative claims data for healthcare research: General assessment and use case of multiple myeloma in Munich university hospital in 2015-2017.,"AlZahmi, Cenzer, Mansmann, Ostermann, Theurich, Schleinkofer, Berger",2022,PMC9333282
Disparities in health care use among low-salary and high-salary employees.,"Ukert, Esquivel-Pickett, Oza, DeVries, Sylwestrzak",2022,HSH029fc8df
