title,authors,pubdate,pmc_id
Machine Learning for Hypertension Prediction: a Systematic Review.,"Silva, Fagundes, Teixeira, Chiavegatto Filho",2022,PMC6936319
"Precision health data: Requirements, challenges and existing techniques for data security and privacy.","Thapa, Camtepe",2021,HSH9bd289b0
The gut microbiome in colorectal anastomotic leakage: from mechanisms to precision.,"Sun, Long, Su, Chen, Luo, Zhong, Zhang",2026,PMC13007679
Rectal Cancer Radiotherapy Response Prediction: Retrospective Study of Development of a Deep Learning-Based Radiomics Model.,"Li, Liu, Wei, Wang, Hu",2026,PMC12994884
Cross-Institutional Five-Class Kellgren-Lawrence Grading of Knee Osteoarthritis via Multitask Deep Learning.,"Alkhatatbeh, Alkhatatbeh, Liao, Zhang, Fang, Chen, Zhang",2026,PMC12988769
Predicting metabolic syndrome risk in Chinese adults using integrated features of movement behaviors and dietary intake: a machine learning approach.,"Wang, Lyu",2026,HSH557cd5d0
Bringing AI to the OR: integrating a machine learning predictive model in the EHR - a pilot on user-friendliness.,"Ben Hmido, Ingwersen, Abder Rahim, van Maanen, Groot, Schakel, Rausch, Kazemier, Daams",2026,PMC12933791
Trustworthy AI for medical decisions: Adversarially robust and fair machine learning prediction for Parkinson's disease.,"Muhammad, Ghergherehchi, Ali, Seung Song, Rahim",2026,PMC12928579
Machine Learning for Predicting Stroke Risk Stratification Using Multiomics Data: Systematic Review.,"Yoo, Shin, Kim, Son",2026,PMC12963974
Current role of artificial intelligence in the management of benign prostatic hyperplasia: a systematic review.,"Sequi, Pastore, Al Salhi, Lombardo, Valenzi, Suraci, Rera, Scalzo, Antonioni, Graziani, Martino, Candita, Gianfrancesco, Benanti, Erra, DI Gregorio, Cicione, DE Nunzio, Carbone, Fuschi",2026,HSH557cd5d0
A Reproducible Post-Valve-Replacement EHR Cohort for Comparative AI Studies.,"Blattmann, Katalinic, Lindenmeyer, Franke, Neumuth, Schneider",2026,PMC12896665
Early individualized risk prediction using clinical data for children during the febrile phase of dengue in outpatient settings in Vietnam and Thailand.,"Sangkaew, Daniels, Ming, Hernandez, Herrero, Suntarattiwong, Kalayanarooj, Srikiatkhachorn, Rothman, Buddhari, Vuong, Lam, Nguyen, Wills, Simmons, Donnelly, Yacoub, Holmes, Dorigatti",2026,PMC12885294
Revealing the limits of covalent docking and advancing affinity prediction with covalent-aware multi-task learning.,"Leng, Huang, Zheng, Yang, Huang, Gao, Huo, Li, Sun, Zhang",2026,HSH557cd5d0
Development and temporal validation of machine learning models for predicting clinically relevant medication reconciliation discrepancies at the emergency department: A single-center retrospective study.,"Van De Sijpe, Schrooten, De Winter, Van der Linden, Vanbrabant, Dompas, Bertels, De Vos, Spriet",2026,HSH557cd5d0
Machine learning mortality prediction model for cyclosporine therapy in pediatric aplastic anemia.,"Wen, Xiao, Li, Liao, Liu, Liu, Guan, Dou, Hua",2026,PMC12858566
Artificial intelligence techniques for cardiovascular disease diagnosis via X-ray sensor-based coronary angiography: A bibliometric and systematic review.,"Ren, Jing, Fang, Cheng",2026,PMC12833138
"Comment on Iacobescu et al. Evaluating Binary Classifiers for Cardiovascular Disease Prediction: Enhancing Early Diagnostic Capabilities. J. Cardiovasc. Dev. Dis. 2024, 11, 396.","Eltawil, Byham-Gray, Jia, Mistry, Parrott, Gohel",2026,PMC12842384
Explainable machine learning for early diagnosis of esophageal cancer: A feature-enriched Light Gradient Boosting Machine framework with Shapley Additive Explanations and Local Interpretable Model-Agnostic Explanations interpretations.,"Ridwan, Mohi Uddin",2026,PMC12833109
Machine Learning-driven Probability Calculators Can Accurately Predict 1-year Mortality After Proximal Humerus Fractures in Patients Over the Age of 65 Years.,"Mennes, Engbers, Garcia, Spek, Munnik-Hagewoud, Zuurmond, Jaarsma, Doornberg, van den Bekerom",2026,HSH557cd5d0
Predictors of Paravalvular Leakage After Transcatheter Aortic Valve Replacement in Patients With BAV: A Machine Learning Model.,"Mao, Liu, Zhai, Jin, Chen, Zhang, Wei, Liu, Guo, Wu, Yang",2026,PMC12856424
Explainable machine learning for preoperative relapse prediction in molecularly stratified endometrial cancer: A single-center finnish cohort study.,"Vela Moreno, Khatun, Pasanen, Bützow, Salumets, Loukovaara, Modhukur",2026,PMC12796588
Leveraging large scale deep learning models for diagnosis and visual outcome prediction in retinitis pigmentosa.,"Nagai, Homma, Kawamata, Yoshihara, Kawakami, Baba",2026,PMC12887015
SynVerse: a modular framework for building and evaluating deep learning-based drug synergy prediction models.,"Tasnina, Haghani, Murali",2025,PMC12753315
Prediction of Respiratory Decompensation in Patients Receiving Home Mechanical Ventilation: Machine Learning Model Development and Validation Study.,"Berbel Casado, López Seguí, Muñoz Moruno, Rosell, Muñoz Ferrer, Garcia Olive, Galdeano Lozano",2025,PMC12752809
GenEEG: Improving epileptic EEG detection through patient-adaptive latent diffusion and continual learning.,"Ghosh, Sharma, Sharma",2026,HSH557cd5d0
Machine Learning Models Using Post-operative CRP Trends to Predict Colorectal Anastomotic Leak: A Pilot Study.,"Woffenden, Yasen, Rajesh, Hotouras",2025,PMC12718669
A clinical predictive model for hearing recovery after middle ear cholesteatoma surgery based on machine learning.,"Zhao, Ye",2025,PMC12714634
HMLA: A hybrid machine learning approach for enhancing stroke prediction models with missing data imputation techniques.,"Singh, Thongam, Kumar, Choudhary",2025,PMC12780014
"Predicting and classifying type 2 diabetes using a transparent ensemble model combining random forest, k-nearest neighbor, and neural networks.","Zaferani, Afrash, Moulaei",2025,PMC12804783
Risk stratification for postoperative complications after CRS and HIPEC in recurrent ovarian cancer patients: a comparative analysis of logistic regression and machine learning models.,"Litwiński, Gęca, Świetlicka, Wiśniowski, Polkowski, Skórzewska",2025,PMC12830671
Advancing 90-day mortality and anastomotic leakage predictions after oesophagectomy for cancer using Explainable Artificial Intelligence.,"Djerf, Åkesson, Nilsson, Lindblad, Hedberg, Johansson, Frigyesi",2026,HSH557cd5d0
Predicting clinical outcome of Escherichia coli O157:H7 infections using explainable machine learning.,"Paganini, Khatun, McAteer, Cowley, Greig, Gally, Jenkins, Dallman",2025,PMC12711010
Prediction model for the risk of vitreous haemorrhage after vitrectomy combined with intraocular injection for the treatment of proliferative diabetic retinopathy.,"Yao, Gan, Pan",2026,HSH557cd5d0
A Machine Learning Approach to Predictive Modeling of Cardiovascular Events.,"Wahid, Tafreshi, Al-Hijji, Abi Khalil",2025,HSH557cd5d0
Improving Type 2 Diabetes Prediction: Comparative Evaluation of Machine Learning Classifiers Using Balanced Data from the AWI-Gen Cohort.,Adda,2025,PMC12637827
Construction and effectiveness test of multimodal data fusion prediction model for intracranial infection after severe craniocerebral injury in children based on deep learning.,"Zhang, Zhang, Weng, Shen",2025,PMC12755010
Interpretable machine learning modeling of treatment outcomes for silver and fluoride therapy in early childhood caries.,"Mehrabanian, Kavousinejad, Dastouri",2025,PMC11909980
Patient-specific and interpretable deep brain stimulation optimisation using MRI and clinical review data.,"Mikroulis, Lasica, Filip, Bakstein, Novak",2025,PMC12586115
Postoperative data leakage in AI-based IOL power prediction formulas: a hidden source of bias.,"Debellemanière, Mechleb, Gauvin, Wallerstein, Abboud, Dai, Tabunar, Brenner, Saad, Gatinel",2026,HSH557cd5d0
From Microbleeds to Iron: AI Prediction of Cerebrospinal Fluid Erythrocyte Load in Alzheimer's Disease.,"Christodoulou, Vamvouras, Sarquis, Petrou, Papageorgiou, Rivera, Morales Gonzalez, Rivera, Papageorgiou, Vassiliou",2025,PMC12565544
