title,authors,pubdate,pmc_id
Evaluating the performance of temporal pattern discovery: new application using statins and rhabdomyolysis in OMOP databases.,"Lavallee, Yu, Evans, Van Hemelrijck, Bosco, Golozar, Asiimwe",2022,PMC8812213
Comparing deep learning and classical regression approaches for predicting healthcare expenditure and spending: a systematic review.,"Lee, Yeh, Li, Chen, Liu, Chen, Wu",2026,HSH9bcb875d
"Reimagining kidney value-based care: leveraging data science for dynamic, clinician-level risk prediction.","Baughman, Nagy, Parikh",2026,HSH9bcb875d
Quantifying diagnostic signal decay in dementia: a national study of Medicare hospitalization data.,"Spoto, Tian, Hügel, Ortega, Ritchie, Blacker, Dominici, Patel, Mork, Estiri",2025,PMC12648117
Increased antidepressant prescriptions following the 2018 Japan floods: a longitudinal analysis using the national health insurance database.,"Hattori, Yoshida, Ohshimo, Shime, Matsumoto",2025,PMC12372504
Trends and Factors Associated With Peripheral Vascular Interventions for the Treatment of Claudication From 2011 to 2022: A National Medicare Cohort Study.,"Dun, Stonko, Bose, Keegan, McDermott, Rumalla, Black, Kalbaugh, Makary, Hicks",2024,PMC11292772
Outpatient visits before and after Lyme disease diagnosis in a Maryland employer-based health plan.,"Rebman, Yang, Wang, Marsteller, Murphy, Uriyo, Aucott",2023,PMC10466890
Postoperative Antibiotics Confer No Protective Association After Fat Grafting for Breast Reconstruction.,"Thawanyarat, Johnstone, Rowley, Kim, Francis, Barrera, Cheeseborough, Sheckter, Nazerali",2023,HSH9bcb875d
Healthcare consumption in congenital heart disease: A temporal life-course perspective following pediatric cases to adulthood.,"Pardhan, Mandalenakis, Giang, Fedchenko, Eriksson, Dellborg",2023,PMC11657615
Gender identity and transition: relationships with sleep disorders in US youth.,"Gavidia, Whitney, Hershner, Selkie, Tauman, Dunietz",2022,PMC9622987
Effect of the COVID-19 pandemic on adversity in individuals receiving anticoagulation for atrial fibrillation: A nationally representative administrative health claims analysis.,"Hernandez, Gabriel, He, Guo, Tadrous, Suda, Magnani",2022,PMC8815277
