title,authors,pubdate,pmc_id
AI/ML driven prediction of COPD exacerbations and readmissions: a systematic review and meta-analysis.,"Niraula, Upreti, Kadariya, Poudel, Kadariya, Kunwar",2025,PMC12756889
Exploring the Complexity of Real-World Health Data Record Linkage-An Exemplary Study Linking Cancer Registry and Claims Data.,"Lendle, Kollhorst, Intemann",2025,PMC11934838
Development and validation of prediction models for stroke and myocardial infarction in type 2 diabetes based on health insurance claims: does machine learning outperform traditional regression approaches?,"Stephan, Hanselmann, Bajramovic, Schosser, Laxy",2025,PMC11837347
Using machine learning to improve anaphylaxis case identification in medical claims data.,"Kural, Mazo, Walderhaug, Santana-Quintero, Karagiannis, Thompson, Kelman, Goud",2024,PMC11190610
An explainable machine learning framework for predicting the risk of buprenorphine treatment discontinuation for opioid use disorder among commercially insured individuals.,"Al Faysal, Noor-E-Alam, Young, Lo-Ciganic, Goodin, Huang, Wilson, Park, Hasan",2024,HSHd7082c4b
Beyond Atrial Fibrillation: Machine Learning Algorithm Predicts Stroke in Adult Patients With Congenital Heart Disease.,"Chiriac, Ngufor, van Houten, Mwangi, Madhavan, Noseworthy, Asirvatham, Phillips, McLeod",2024,PMC11975817
Using machine learning to improve anaphylaxis case identification in medical claims data.,"Kural, Mazo, Walderhaug, Santana-Quintero, Karagiannis, Thompson, Kelman, Goud",2023,PMC10611436
The application of machine learning to predict high-cost patients: A performance-comparison of different models using healthcare claims data.,"Langenberger, Schulte, Groene",2023,PMC9847900
Simplified Machine Learning Models Can Accurately Identify High-Need High-Cost Patients With Inflammatory Bowel Disease.,"Nguyen, Patel, Gabunilas, Qian, Cecil, Jairath, Sandborn, Ohno-Machado, Chen, Singh",2022,PMC10476830
A machine learning model on Real World Data for predicting progression to Acute Respiratory Distress Syndrome (ARDS) among COVID-19 patients.,"Lazzarini, Filippoupolitis, Manzione, Eleftherohorinou",2022,PMC9333235
Developing and validating a machine-learning algorithm to predict opioid overdose in Medicaid beneficiaries in two US states: a prognostic modelling study.,"Lo-Ciganic, Donohue, Yang, Huang, Chang, Weiss, Guo, Zhang, Cochran, Gordon, Malone, Kwoh, Wilson, Kuza, Gellad",2022,PMC9236281
Predicting length of stay and mortality among hospitalized patients with type 2 diabetes mellitus and hypertension.,"Barsasella, Gupta, Malwade, Aminin, Susanti, Tirmadi, Mutamakin, Jonnagaddala, Syed-Abdul",2021,HSHd7082c4b
Predictive modeling of service discontinuation in transitional age youth with recent behavioral health service use.,"Bory, Schmutte, Davidson, Plant",2022,PMC8763280
Comparative Effectiveness of Machine Learning Approaches for Predicting Gastrointestinal Bleeds in Patients Receiving Antithrombotic Treatment.,"Herrin, Abraham, Yao, Noseworthy, Inselman, Shah, Ngufor",2021,PMC8140376
Integrating human services and criminal justice data with claims data to predict risk of opioid overdose among Medicaid beneficiaries: A machine-learning approach.,"Lo-Ciganic, Donohue, Hulsey, Barnes, Li, Kuza, Yang, Buchanich, Huang, Mair, Wilson, Gellad",2021,PMC7971495
