title,authors,pubdate,pmc_id
Machine Learning-Based Depression Risk Prediction Models for Older Adults Analyzing From the Perspective of the Health Ecology Model: A Scoping Review.,"Yang, Hao, Sang, Jiang, Zhang",2026,PMC13006027
The Experiences of Autistic Healthcare Students in a Clinical Learning Environment: A Scoping Review.,"Edwards, Porter, Handley-Stone, Hingley-Jones, Reynolds",2026,HSHa17702ec
Association between extended-release buprenorphine adherence and reduced healthcare costs among insured patients with opioid use disorder.,"Jerry, Venkat, Flynn, Tran, Abdel-Sattar, Mullen, Lane",2026,PMC13001623
Adherence to Biologic Therapies is Associated with Improved Clinical Outcomes and Reduced Healthcare Resource Utilization in Patients with Severe Asthma in Japan.,"Nagase, Karsanji, Kunishige, Suzuki, Vichiendilokkul, Yuanita, Sasakura, Wang, Noibi",2026,PMC13005638
Chronic Kidney Disease (CKD): Systematic Review of the Cost Effectiveness of SGLT2 Inhibitors and Other Novel Nephroprotective Drugs.,"Darbà, Ascanio, Rodríguez",2026,PMC10616454
Treatment trajectories of patients with borderline personality disorder prescribed pharmacotherapy: real-world insights from a retrospective observational study.,"White, St Rose, Dwyer, Palmer, Yeow, Griffiths, Chee, Oyesanya, Patel",2026,HSHa17702ec
National Trends in Market Competition for Hospital-Based Pediatric Services: 2011-2018.,"Zhao, Soucie, Rauch, Cifra, Lee, Beaulieu, Cutler, Chien",2026,HSHa17702ec
Who Provides? Clinician and Trainee Perspectives on Reproductive Healthcare Access in Vermont.,"Pudi, Reed, Kent, Tarrant, Khoo, Woo, Bates, Koch, Cote, MacLean",2026,HSHa17702ec
Antiplatelet Resumption Timing in Post-Percutaneous Coronary Intervention Gastrointestinal Bleeding.,"Li, Pu, Liu, You, Nanna, Harris, Sung, Laine, Shung",2026,HSHa17702ec
"Integrated Database of Materia Medica (IDMM), a consolidated cross-cultural resource for data-driven research in traditional medicine.","Sutcharitchan, Ukarapol, Vimolmangkang, Chansriniyom, Cui, Zhang, Li",2026,HSHa17702ec
Statistical analysis plan for a cluster stepped-wedge randomized clinical trial assessing the effects of a multicomponent telemedicine-based intervention on quality of life in adults with respiratory failure requiring mechanical ventilation (Tele-Rehab MV Trial).,"Cavaliere, Moraes, Trott, Santos, Rech, Carvalho, Maia, Zampieri, Pereira, Rosa",2026,HSHa17702ec
"Mental Health-Related Disabilities, Healthcare Utilization, and Access in Young Adults with Anxiety and Depression: A Scoping Review.","Rao, Dimitropoulos, Milaney, Eurich, Patten",2026,PMC4610609
Artificial Intelligence Technologies in Nursing Clinical Decision-Making: An Umbrella Review.,"Cant, Ryan, Chugh",2026,HSHa17702ec
Barriers and facilitators to uptake of non-surgical interventions for knee osteoarthritis: a protocol for a systematic review of qualitative studies.,"Shankar, Sundar, Tay",2026,PMC12979543
Development and Internal Validation of a Prediction Model for Major Cardiovascular and Respiratory Events in Chronic Obstructive Pulmonary Disease: Nationwide Primary Care Electronic Medical Records Cohort Study.,"Gale, Bhutani, Chan, Townend, Patel, Sadatsafavi, Henley, Ariti, Carter, Couper, Hubbard, Kocks, Pullen, Skinner, Price",2026,PMC12988761
AI in hematology: A new frontier for nursing practice and patient care.,"Nasiri, Alsalman, Aljandabi, Alsomali",2026,PMC12975074
Association Between Perirectal Spacer Use and Short-Term Complications Following Prostate Radiation Therapy in a National Claims Based Analysis.,"Palencia, Xi, Zhao, Ward, Smani, Sivanesan, Diaz, Miszczyk, Fazekas, Rajwa, Cavallo, Aneja, An, Kim, Leapman",2026,HSHa17702ec
