title,pubdate,pmc_id,authors
The AIR·MS data platform for artificial intelligence in healthcare.,2025,PMC12629540,"Guerrero, Ernebjerg, Holst, Weese, DiBello, Ibing, Schmidt, Ungaro, Renard, Lippert, Alleva, Quinn, Kovatch, Antao, Heyneke, Rasheed, Kalabakov, Arnrich, Charney, Wieler, Nadkarni"
"""Fathers Are Not Mothers"" Nurses' Experiences of Practicing With Fathers When Providing Care to Their Children: A Qualitative Systematic Review.",2025,PMC12623664,"de Montigny, René, Landry, Brødsgaard, Polita, Danford, Sheppard-Lemoine, Ikeda, Nascimento, Somanadhan, Alvarenga, Gervais"
"""Helping fill that gap:"" a qualitative study of aging in place after disaster through the lens of home-based care providers.",2021,PMC8033697,"Bell, Krienke, Dickey, De Vries"
"""I Just Assumed This Was Already Being Done"": Canadian Patient Preferences for Enhanced Data Sharing for Precision Oncology.",2024,PMC11371116,"Pollard, Ehman, Hermansen, Weymann, Krebs, Ho, Lim, Jones, Bombard, Hanna, Hessels, Longstaff, Cook-Deegan, Bubela, Regier"
"""I Really Felt the Feeling"": A Systematic Review and Qualitative Thematic Synthesis of Healthcare Workers' Experiences of Acceptance and Commitment Therapy Training.",2024,NA,"Huish, Donnelly, Marks"
"""It leaves me very skeptical"" messaging in marketing prolonged exposure and cognitive processing therapy to veterans with PTSD.",2022,PMC7369246,"Kehle-Forbes, Gerould, Polusny, Sayer, Partin"
"""Walking into the unknown…"" key challenges of pregnancy and early parenting with inflammatory arthritis: a systematic review and thematic synthesis of qualitative studies.",2021,PMC8059168,"Rebić, Garg, Ellis, Kitchin, Munro, Hazlewood, Amiri, Bansback, De Vera"
"""We've been here all along:"" The collective resilience of transgender and gender diverse U.S. service members.",2023,NA,"Eleazer, Marchant, Kizewski, Gross, Warren, McCubbin"
1. Study designs for making most of the limited resources.,2024,PMC11722713,Indrayan
A 'COVID Compass' for navigating the pandemic.,2021,NA,"Oliver, Schmidt, Tomlin, Kraft, Fisher, Nelson"
A Bayesian belief network-based analytics methodology for early-stage risk detection of novel diseases.,2023,PMC10189691,"Topuz, Davazdahemami, Delen"
A Bibliometric Analysis of the Top 100 Most Influential Studies on Robotic Arthroplasty.,2023,PMC10277458,"Boddu, Moore, Rodgers, Brinkman, Verhey, Bingham"
"A Bibliometrics-Enhanced, PAGER-Compliant Scoping Review of the Literature on Paralympic Powerlifting: Insights for Practices and Future Research.",2022,PMC9690829,"Puce, Trabelsi, Trompetto, Mori, Marinelli, Currà, Faelli, Ferrando, Okwen, Kong, Ammar, Bragazzi"
A Bioinformatic Study of Genetics Involved in Determining Mild Traumatic Brain Injury Severity and Recovery.,2025,PMC12650054,"Tajik, Noseworthy"
A COVID-19-ready public health surveillance system: The Food and Drug Administration's Sentinel System.,2021,PMC8250843,"Cocoros, Fuller, Adimadhyam, Ball, Brown, Dal Pan, Kluberg, Lo Re, Maro, Nguyen, Orr, Paraoan, Perlin, Poland, Driscoll, Sands, Toh, Yih, Platt"
A Comprehensive Analysis of Market Forms and Analytical Methods for Metformin Formulations.,2025,NA,"Pandian, Thanikachalam, Kaliyappan, Kalusalingam"
A High-Sensitivity International Knee Documentation Committee Survey Index From the PROMIS System: The Next-Generation Patient-Reported Outcome for a Knee Injury Population.,2021,NA,"Tenan, Robins, Sheean, Dekker, Bailey, Bharmal, Bradley, Cameron, Burns, Freedman, Galvin, Grenier, Haley, Hurvitz, LeClere, Lee, Mauntel, McDonald, Nesti, Owens, Posner, Potter, Provencher, Rhon, Roach, Ryan, Schmitz, Slabaugh, Tucker, Volk, Dickens"
A Meta-Synthesis Exploring Daily Experiences of Adults With Coeliac Disease in Adhering to a Gluten-Free Diet.,2025,PMC11977448,"Kowalczuk, Moor"
"A Methodological Approach to Measuring the Impact of TAK-003 for the Prevention of Dengue in Dourados, Brazil: Optimizing Strategies for Public Health.",2025,PMC11860522,"Ghezzi, Valencia, Dias de Oliveira, Tsuha, Lucena Júnior, Di Pasquale, Mc Namara, Senra, Abud, Croda"
A Narrative Review on Shifting Practice and Policy Around Social Determinants of Health (SDOH) Screenings: Expanding the Role of Social Workers in Healthcare Settings in the U.S.,2025,PMC12111374,"Vohra-Gupta, Petruzzi, Cherian, Chow, Unzueta, Joachimi"
A New Model for Ranking Schools of Public Health: The Public Health Academic Ranking.,2024,PMC10961396,"Dugerdil, Babington-Ashaye, Bochud, Chan, Chiolero, Gerber-Grote, Künzli, Paradis, Puhan, Suggs, Van der Horst, Escher, Flahault"
A Population-Based Matched Cohort Study of Digestive System Cancer Incidence and Mortality in Individuals With and Without Inflammatory Bowel Disease.,2024,PMC11524629,"Murthy, Tandon, Matthews, Ahmed, Pugliese, Taljaard, Kaplan, Coward, Bernstein, Benchimol, Kuenzig, Targownik, Singh"
