title,pubdate,pmc_id,authors
A Computer-Assisted System for Early Mortality Risk Prediction in Patients with Traumatic Brain Injury Using Artificial Intelligence Algorithms in Emergency Room Triage.,2022,PMC9138998,"Tu, Eric Nyam, Wang, Chen, Chen, Chen, Liu, Kuo"
A Data-Driven Framework for Identifying Intensive Care Unit Admissions Colonized With Multidrug-Resistant Organisms.,2022,PMC8968755,"Çaǧlayan, Barnes, Pineles, Harris, Klein"
A Deep Learning-Based Decision Support Tool for Precision Risk Assessment of Breast Cancer.,2019,PMC10445790,"He, Puppala, Ezeana, Huang, Chou, Yu, Chen, Wang, Yin, Danforth, Ensor, Chang, Patel, Wong"
A Knowledge Distillation Ensemble Framework for Predicting Short- and Long-Term Hospitalization Outcomes From Electronic Health Records Data.,2022,NA,"Ibrahim, Bean, Searle, Qian, Wu, Shek, Kraljevic, Galloway, Norton, Teo, Dobson"
A Machine Learning Algorithm Predicting Acute Kidney Injury in Intensive Care Unit Patients (NAVOY Acute Kidney Injury): Proof-of-Concept Study.,2023,PMC10755657,"Persson, Grünwald, Morvan, Becedas, Arlbrandt"
A Machine Learning-Based Approach for Predicting Patient Punctuality in Ambulatory Care Centers.,2020,PMC7277622,Srinivas
A Multivariable Prediction Model to Select Colorectal Surgical Patients for Co-Management.,2021,NA,"Horta, Geraldes, Salgado, Vieira, Xavier, Papoila"
A Potential Answer to the Alert Override Riddle: Using Patient Attributes to Predict False Positive Alerts.,2019,PMC7153062,"Kennell, Cimino"
A Real-Time Early Warning System for Monitoring Inpatient Mortality Risk: Prospective Study Using Electronic Medical Record Data.,2019,PMC6640073,"Ye, Wang, Liu, Zheng, Xia, Hao, Jin, Jin, Zhu, Huang, Gao, Ellrodt, Brennan, Stearns, Sylvester, Widen, McElhinney, Ling"
A Smartphone-Based Decision Support Tool for Predicting Patients at Risk of Chemotherapy-Induced Nausea and Vomiting: Retrospective Study on App Development Using Decision Tree Induction.,2021,PMC8686466,"Mosa, Rana, Islam, Hossain, Yoo"
