title,pubdate,pmc_id,authors,Selected,Category
A Bayesian approach for investigating the pharmacogenetics of combination antiretroviral therapy in people with HIV.,2024,HSHa5268605,"Jin, Ni, Spence, Rubin, Xu",,PGx Risk Model
A Clinically Applicable 24-Protein Model for Classifying Risk Subgroups in Pancreatic Ductal Adenocarcinomas using Multiple Reaction Monitoring-Mass Spectrometry.,2021,HSHec19e4aa,"Son, Kim, Han, Kim, Huh, Han, Hong, Kwon, Kim, Jang, Kim",,PGx Risk Model
A Data-Driven Approach to Refine Predictions of Differentiated Thyroid Cancer Outcomes: A Prospective Multicenter Study.,2023,HSH24c6166d,"Grani, Gentili, Siciliano, Albano, Zilioli, Morelli, Puxeddu, Zatelli, Gagliardi, Piovesan, Nervo, Crocetti, Massa, Samà, Mele, Deandrea, Fugazzola, Puligheddu, Antonelli, Rossetto, D'Amore, Ceresini, Castello, Solaroli, Centanni, Monti, Magri, Bruno, Sparano, Pezzullo, Crescenzi, Mian, Tumino, Repaci, Castagna, Triggiani, Porcelli, Meringolo, Locati, Spiazzi, Di Dalmazi, Anagnostopoulos, Leonardi, Filetti, Durante",,PGx Risk Model
A Day 14 Endpoint for Acute GVHD Clinical Trials.,2024,PMC11009039,"Spyrou, Akahoshi, Kowalyk, Morales, Beheshti, Aguayo-Hiraldo, Al Malki, Ayuk, Bader, Baez, Capellini, Choe, DeFilipp, Eder, Eng, Etra, Gleich, Grupp, Hexner, Hoepting, Hogan, Kasikis, Katsivelos, Khan, Kitko, Kraus, Kwon, Merli, Portelli, Qayed, Reshef, Schechter, Vasova, Wölfl, Wudhikarn, Young, Holler, Chen, Nakamura, Levine, Ferrara",,PGx Risk Model
A Five-gene Signature based on MicroRNA for Predicting Prognosis and Immunotherapy in Stomach Adenocarcinoma.,2024,HSH44a24d68,"Wang, Chen, Li, Li, Zhao, Meng, Zhao, Zheng, Liu",,PGx Risk Model
A Nomogram and a Risk Classification System Predicting the Cancer-Specific Survival of Patients With Initially-Diagnosed Osseous Spinal and Pelvic Tumors.,2020,HSH9cbe1df0,"Zhou, Li, Lin, Zhang",,PGx Risk Model
A Pilot Machine Learning Study Using Trauma Admission Data to Identify Risk for High Length of Stay.,2023,PMC10188661,"Stonko, Weller, Gonzalez Salazar, Abdou, Edwards, Hinson, Levin, Byrne, Sakran, Hicks, Haut, Morrison, Kent",,PGx Risk Model
A Simple Score to Identify Increased Risk of Transthyretin Amyloid Cardiomyopathy in Heart Failure With Preserved Ejection Fraction.,2022,PMC9453635,"Davies, Redfield, Scott, Minamisawa, Grogan, Dispenzieri, Chareonthaitawee, Shah, Shah, Wehbe, Solomon, Reddy, Borlaug, AbouEzzeddine",,PGx Risk Model
A cross-modal 3D deep learning for accurate lymph node metastasis prediction in clinical stage T1 lung adenocarcinoma.,2020,HSH47c9e9bf,"Zhao, Wang, Xia, Li, Zhou, Li, Zhang, Cai, Jian, Fan, Wang, Bai, Li, Xiao, Tang, Gao, Liu",,PGx Risk Model
A large observational data study supporting the PROsPeR score classification in poor ovarian responders according to live birth outcome.,2021,HSHe90f921d,"Lehert, Arvis, Avril, Massin, Parinaud, Porcu, Rongières, Sagot, Wainer, D'Hooghe",,PGx Risk Model
A machine learning-based diagnosis modelling of type 2 diabetes mellitus with environmental metal exposure.,2023,HSH123e7280,"Zhao, Wan, Qin, Huang, Chen, Zhao",,PGx Risk Model
A machine learning-based risk stratification model for ventricular tachycardia and heart failure in hypertrophic cardiomyopathy.,2021,HSH3c983765,"Smole, Žunkovič, Pičulin, Kokalj, Robnik-Šikonja, Kukar, Fotiadis, Pezoulas, Tachos, Barlocco, Mazzarotto, Popović, Maier, Velicki, MacGowan, Olivotto, Filipović, Jakovljević, Bosnić",,PGx Risk Model
A machine-learning approach to model risk and protective factors of vulnerability to depression.,2024,HSH506a60e8,"Liu, Gao, Zhang, Wong, Wu, Chan, Lee",,PGx Risk Model
