title,pubdate,pmc_id,authors
A Bayesian approach for investigating the pharmacogenetics of combination antiretroviral therapy in people with HIV.,2024,NA,"Jin, Ni, Spence, Rubin, Xu"
A Clinically Applicable 24-Protein Model for Classifying Risk Subgroups in Pancreatic Ductal Adenocarcinomas using Multiple Reaction Monitoring-Mass Spectrometry.,2021,NA,"Son, Kim, Han, Kim, Huh, Han, Hong, Kwon, Kim, Jang, Kim"
A Comparative Classification Analysis of Abdominal Aortic Aneurysms by Machine Learning Algorithms.,2020,PMC7096253,"Rengarajan, Wu, Wiedner, Ko, Muluk, Eskandari, Menon, Finol"
A Data-Driven Approach to Refine Predictions of Differentiated Thyroid Cancer Outcomes: A Prospective Multicenter Study.,2023,NA,"Grani, Gentili, Siciliano, Albano, Zilioli, Morelli, Puxeddu, Zatelli, Gagliardi, Piovesan, Nervo, Crocetti, Massa, Samà, Mele, Deandrea, Fugazzola, Puligheddu, Antonelli, Rossetto, D'Amore, Ceresini, Castello, Solaroli, Centanni, Monti, Magri, Bruno, Sparano, Pezzullo, Crescenzi, Mian, Tumino, Repaci, Castagna, Triggiani, Porcelli, Meringolo, Locati, Spiazzi, Di Dalmazi, Anagnostopoulos, Leonardi, Filetti, Durante"
A Day 14 Endpoint for Acute GVHD Clinical Trials.,2024,PMC11009039,"Spyrou, Akahoshi, Kowalyk, Morales, Beheshti, Aguayo-Hiraldo, Al Malki, Ayuk, Bader, Baez, Capellini, Choe, DeFilipp, Eder, Eng, Etra, Gleich, Grupp, Hexner, Hoepting, Hogan, Kasikis, Katsivelos, Khan, Kitko, Kraus, Kwon, Merli, Portelli, Qayed, Reshef, Schechter, Vasova, Wölfl, Wudhikarn, Young, Holler, Chen, Nakamura, Levine, Ferrara"
A Deep Learning Approach to Diagnostic Classification of Prostate Cancer Using Pathology-Radiology Fusion.,2021,PMC8360022,"Khosravi, Lysandrou, Eljalby, Li, Kazemi, Zisimopoulos, Sigaras, Brendel, Barnes, Ricketts, Meleshko, Yat, McClure, Robinson, Sboner, Elemento, Chughtai, Hajirasouliha"
A Five-gene Signature based on MicroRNA for Predicting Prognosis and Immunotherapy in Stomach Adenocarcinoma.,2024,NA,"Wang, Chen, Li, Li, Zhao, Meng, Zhao, Zheng, Liu"
A Framework for Modeling and Interpreting Patient Subgroups Applied to Hospital Readmission: Visual Analytical Approach.,2022,PMC9773032,"Bhavnani, Zhang, Visweswaran, Raji, Kuo"
A K-nearest Neighbor Model to Predict Early Recurrence of Hepatocellular Carcinoma After Resection.,2022,PMC9396318,"Liu, Yang, Feng, Liu, Rui, Cao, Hu, Xu, Fan, Zhu, Li"
A Machine Learning Model Based on microRNAs for the Diagnosis of Essential Hypertension.,2023,PMC10660456,"Jusic, Junuzovic, Hujdurovic, Zhang, Vausort, Devaux"
A Multi-Stage Approach for Cardiovascular Risk Assessment from Retinal Images Using an Amalgamation of Deep Learning and Computer Vision Techniques.,2024,PMC11083022,"Prasad, Manjunath, Kulkarni, Kullambettu, Srinivasan, Chakravarthi, Ramesh"
"A Multilayer Perceptron Neural Network Model to Classify Hypertension in Adolescents Using Anthropometric Measurements: A Cross-Sectional Study in Sarawak, Malaysia.",2021,PMC8670914,"Chai, Cheah, Goh, Chang, Sim, Chin"
A Multiparametric MRI-Based Radiomics Analysis to Efficiently Classify Tumor Subregions of Glioblastoma: A Pilot Study in Machine Learning.,2021,PMC8126019,"Chiu, Le, Chen"
A Nomogram and a Risk Classification System Predicting the Cancer-Specific Survival of Patients With Initially-Diagnosed Osseous Spinal and Pelvic Tumors.,2020,NA,"Zhou, Li, Lin, Zhang"
A Nomogram for Predicting Mortality in Patients with Pneumonia-Associated Acute Respiratory Distress Syndrome (ARDS).,2024,PMC10929650,"Huang, He, Gong, Jiang, Yao, Liang"
A Novel Machine Learning Approach for Severity Classification of Diabetic Foot Complications Using Thermogram Images.,2022,PMC9185274,"Khandakar, Chowdhury, Reaz, Ali, Kiranyaz, Rahman, Chowdhury, Ayari, Alfkey, Bakar, Malik, Hasan"
A Novel and Noninvasive Risk Assessment Score and Its Child-to-Adult Trajectories to Screen Subclinical Renal Damage in Middle Age.,2023,PMC9952229,"Chen, Liu, Chu, Zheng, Ma, Liao, Yan, Sun, Wang, Mu"
A Pilot Machine Learning Study Using Trauma Admission Data to Identify Risk for High Length of Stay.,2023,PMC10188661,"Stonko, Weller, Gonzalez Salazar, Abdou, Edwards, Hinson, Levin, Byrne, Sakran, Hicks, Haut, Morrison, Kent"
A Practical Sensor-Based Methodology for the Quantitative Assessment and Classification of Chronic Non Specific Low Back Patients (NSLBP) in Clinical Settings.,2020,PMC7287918,"Davoudi, Shokouhyan, Abedi, Meftahi, Rahimi, Rashedi, Hoviattalab, Narimani, Parnianpour, Khalaf"
A Risk-Stratification Machine Learning Framework for the Prediction of Coronary Artery Disease Severity: Insights From the GESS Trial.,2021,PMC8804295,"Mittas, Chatzopoulou, Kyritsis, Papagiannopoulos, Theodoroula, Papazoglou, Karagiannidis, Sofidis, Moysidis, Stalikas, Papa, Chatzidimitriou, Sianos, Angelis, Vizirianakis"
A Simple Score to Identify Increased Risk of Transthyretin Amyloid Cardiomyopathy in Heart Failure With Preserved Ejection Fraction.,2022,PMC9453635,"Davies, Redfield, Scott, Minamisawa, Grogan, Dispenzieri, Chareonthaitawee, Shah, Shah, Wehbe, Solomon, Reddy, Borlaug, AbouEzzeddine"
A Study on the Screening of Children at Risk for Developmental Disabilities Using Facial Landmarks Derived From a Mobile-Based Application.,2024,PMC11136586,"Hwang, Yu, Kim, Lee, Park, Kim"
