label,rq,n_dedup
Dynamic Time Warping (DTW),N1,36
Process Mining (BupaR),"N2,N3",610
FP-Growth / Association Rules,N4,894
Black-Box ML + CDS,N5,26
Interpretability / SHAP,N5,96
Polypharmacy,RQ1,102
Temporal Causality,RQ1,11
Drug-Drug Interactions,"RQ1,N6",2293
APCD Analysis,"RQ1,RQ2",626
CatBoost / XGBoost,"RQ1,RQ2",14
DuckDB / OLAP Analytics,"RQ1,RQ2",1932
PGx Classification Models,"RQ1,RQ2",440
Pharmacovigilance,"RQ1,RQ2",123
Risk Models with EHR/CDS,"RQ1,RQ2",369
Risk Models with FHIR,"RQ1,RQ2",130
Target Leakage Prevention,"RQ1,RQ2",123
Opioid Use Disorder,RQ2,1595
