screened_pmc_id,doi,title
HSHd1a01470,10.1161/jaha.125.043159,Sex Differences in Young Adult Stroke Severity Using Linked Colorado-All Payer's
HSHd1a01470,10.1377/hlthaff.2025.00253,Medicaid Enrollees With Opioid Use Disorder Were More Likely To Receive Medicati
HSHd1a01470,10.1177/10499091251327191,Disparities in End-of-Life Care: A Retrospective Study on Intensive Care Utiliza
HSHd1a01470,10.1016/j.jbspin.2024.105827,Economic burden of systemic lupus erythematosus and lupus nephritis in France: a
HSHd1a01470,10.1080/03007995.2024.2405124,"Clinical manifestations, healthcare resource utilization, and costs among patien"
HSHd1a01470,10.1097/phh.0000000000001862,Rhode Island (RI) Women's Breast Cancer Mammography Use Prior to and After Cance
HSHd1a01470,10.1016/j.wneu.2023.04.001,Postoperative Opioid Use Among Opioid-Naive Cannabis Users Following Single-Leve
HSHd1a01470,10.1080/00952990.2022.2065638,Long-term patient outcomes following buprenorphine/naloxone treatment for opioid
HSHd1a01470,10.1097/prs.0000000000007680,Discussion: Variation in Payment per Work Relative Value Unit for Breast Reconst
HSHd1a01470,10.1016/j.jmig.2020.05.029,Short-acting and Long-acting Opioids Utilization among Women Diagnosed with Endo
HSH437432f4,10.1111/fcp.70068,French-Speaking Network of Pharmacogenetics (RNPGx) Recommendations for Gene Pan
HSH437432f4,10.1515/cclm-2024-0317,Can we identify patients carrying targeted deleterious DPYD variants with plasma
HSH6e12adec,10.1016/j.jad.2025.120966,Predicting perceived likelihood of future suicide attempts in youth with non-sui
HSH6e12adec,10.1016/j.ajp.2025.104451,An interpretable deep-learning approach to detect biomarkers in anxious-depresse
HSH84b3e645,10.1016/j.ijmedinf.2025.106109,Revolutionizing pediatric obesity intervention strategies: From traditional grow
HSH84b3e645,10.1016/s2215-0366(24)00096-8,"Post-Roe v Wade psychiatry: legal, clinical, and ethical challenges in psychiatr"
HSH84b3e645,10.1016/j.dld.2021.04.029,Intragastric Balloons in the Management of Obesity: Clinical Decision Support To
HSHec106a96,10.1037/abn0000984,Identifying opioid relapse during COVID-19 using natural language processing of 
HSHec106a96,10.1080/10503307.2025.2473921,Machine learned text topics improve drop-out risk prediction but not symptom pre
HSHec106a96,10.1016/j.jbi.2024.104682,Enhancing healthcare process analysis through object-centric process mining: Tra
HSHd7082c4b,10.1016/j.compbiomed.2024.108493,An explainable machine learning framework for predicting the risk of buprenorphi
HSH5bd0f614,10.1002/sim.9130,Continuous positive airway pressure adherence trajectories in sleep apnea: Clust
HSH557cd5d0,10.1097/brs.0000000000005087,Interpretable Machine Learning Models Based on Shapley Additive Explanations for
HSHa1b5b21f,10.1016/j.addbeh.2026.108652,Lifetime psychedelic use and opioid use disorder severity in a National Survey: 
HSHa1b5b21f,10.1097/adm.0000000000001650,Descriptive Exploration of Features Among Infants With Prenatal Fentanyl Exposur
HSHa1b5b21f,10.1080/10550887.2025.2607456,Real-world deployment of machine learning models for opioid overdose and opioid 
HSHa1b5b21f,10.1177/29767342251390075,Factors Associated With Opioid-Involved Overdose: Descriptive Data From a Random
HSHa1b5b21f,10.1016/j.drugalcdep.2025.112826,Amputation trends among people who use drugs in the context of Philadelphia's in
HSHa1b5b21f,10.1177/29767342251342666,Pomegranate Juice Consumption Improves Sleep Quality and Melatonin Concentration
