article_id,title,pubdate,pmc_id,authors,search_num,source_file,ontology_nodes,domain_primary,node_primary,ooda_phase_primary,key_phrases,comprehend_entities,rq1_score,rq2_score,n1_score,n4_score,n5_score,composite_score,include_recommended,screen_reason,human_decision
7,An interactive and explainable AI approach to improve human-machine teaming in cancer subtyping from digital cytopathology.,2026,HSH88b1df68,"Chen, Gomez, Correa, Liu, Milman, Eiger-Moscovich, Chévez-Barrios, Salomao, Unberath",1,data/chapter1/1.1_introduction/blackbox_cds/blackbox_cds_articles.csv,analytical_methods::explainable_ai,analytical_methods,explainable_ai,decide,digital cytopathology; cancer; ai; human-machine teaming; an interactive and explainable ai approach,,0.0,0.0,0.0,0.0,0.1,0.1,include,score=0.100,
8,GRAPHITE: Graph-based interpretable tissue examination for enhanced explainability in breast cancer histopathology.,2025,HSH88b1df68,"Mondol, Millar, Graham, Browne, Sowmya, Meijering",1,data/chapter1/1.1_introduction/blackbox_cds/blackbox_cds_articles.csv,analytical_methods::explainable_ai,analytical_methods,explainable_ai,decide,enhanced explainability; breast cancer histopathology; graph-based interpretable tissue examination; graphite,,0.0,0.0,0.0,0.0,0.1,0.1,include,score=0.100,
29,Radiotherapy Utilization Patterns Among Patients With Metastatic Renal Cell Carcinoma of the Spine: A National Claims Database Study.,2026,HSHd1a01470,"Ndika, Luo, Woo, Ahmed, Rivera, Ray, Crowell, Johnson, Mullikin, Erickson, Goodwin",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,metastatic renal cell carcinoma; radiotherapy utilization patterns; radiotherapy utilization patterns among patients with metastatic renal cell carcinoma; patients; spine,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
38,Sex Differences in Young Adult Stroke Severity Using Linked Colorado-All Payer's Claims Database and the Get With The Guidelines-Stroke Registry.,2026,HSHd1a01470,"Leppert, Scarbro, Perraillon, Howard, Miller, Poudel, Thomas, Li, Suresh, Lisabeth, Putaala, Schwamm, Daugherty, Bradley, Burke, Michael Ho, Poisson",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,young adult stroke severity; sex differences; colorado; linked colorado-all payers claims database; the guidelines-stroke registry,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
42,Impact of sodium-glucose cotransporter 2 (SGLT2) inhibitors on hematologic malignancy risk: Insights from Japanese claims data.,2026,HSHd1a01470,"Kawashiri, Yamamoto, Fujiwara, Shimizu, Kobayashi, Fujita, Shibata, Hirota, Uchida",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,hematologic malignancy risk; japanese claims data; insights; sglt2; japanese,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
52,"A Decade of Craniosynostosis Surgery in the United States: Trends in Management, Payer Mix, and Cost.",2026,HSHd1a01470,"Salib, Kong, Moscarelli, Allam, Parker, Singh, Hernández-Busot, Alperovich",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,clinical_outcomes::polypharmacy_ed|data_sources::claims_apcd,clinical_outcomes,polypharmacy_ed,act,craniosynostosis surgery; payer mix; management; trends; cost,,0.05,0.0,0.0,0.0,0.0,0.05,include,score=0.050,
68,Evaluation of Colorectal Cancer Incidence in the United States From 2021 to 2024 Using a National Multi-Payer Claims Database.,2026,HSHd1a01470,"Greene, Gohil, Stieber, Ozbay, Zapatier, Bingham, LeMaster, Stukalin, Anderson, Karlitz",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,colorectal cancer incidence; a national multi-payer claims database; evaluation; the united states; 2024,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
71,Cross-Sector Partnerships and Emergency Department Use Among Older Adults: Evidence From Colorado's Accountable Health Communities Model.,2025,HSHd1a01470,"Shehu, Kaskie, Arora",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,cross-sector partnerships; accountable health communities model; emergency department; older adults; colorados accountable health communities model,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
85,Utilization of colorectal cancer screening modalities in the United States (2017-2023): a national multi-payer claims database analysis.,2025,HSHd1a01470,"Greene, Gohil, Stieber, Ozbay, Le, Kakuturu, LeMaster, Dore, Fendrick, Anderson, Karlitz",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,colorectal cancer screening modalities; a national multi-payer claims database analysis; utilization; the united states; 2017-2023,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
86,The health care costs of epilepsy: Evidence from all-payer claims data.,2025,HSHd1a01470,"Karakis, Moura, Boualam, Wetzel, Howard",2,data/chapter1/1.3_methodological/apcd_analysis/apcd_analysis_articles.csv,data_sources::claims_apcd,data_sources,claims_apcd,observe,evidence; epilepsy; the health care costs; all-payer claims data,,0.05,0.0,0.0,0.0,0.0,0.0575,include,score=0.057,
