Rank,Study_ID,First_Author,Year,Title,DOI,PMID,PMCID,DOI_or_PMID_or_PMCID,OODA_Phase,CRISP_DM_Phase,OODA_CRISP_Label,NIH_AI_Score,NIH_AI_Tags,OP_Perf_Tags,Has_PDF,Metadata_Note,Notes
1,6300,Hahn,2021,"The Influence of Pharmacogenetics on the Clinical Relevance of Pharmacokinetic Drug-Drug Interactions: Drug-Gene, Drug-Gene-Gene and Drug-Drug-Gene Interactions.",,,PMC8160673,PMC8160673,act,business_understanding,act:business_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
2,2936,Davis,2025,Utility of Candidate Genes From an Algorithm Designed to Predict Genetic Risk for Opioid Use Disorder.,,,PMC11718552,PMC11718552,act,modeling,act:modeling,7,bias_fairness|performance_metrics|external_validation|uncertainty_quantification|clinical_utility|safety_monitoring|regulatory_ethics,improved_patient_outcomes,,Metadata recovered through Zotero/CrossRef title reconciliation.,
3,6065,Wood,2022,Medication Optimization Using Pharmacogenomic Testing in a Complex Mental Health Population Prescribed Psychiatric Polypharmacy.,10.1002/jcph.2032,,,10.1002/jcph.2032,act,deployment,act:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
4,2750,Chang,2026,The Association of Perceived Risk for Opioid Overdose and Subsequent Overdose Among a Cohort of Opioid Overdose Survivors Who Use Nonprescribed Opioids.,10.1177/29767342251355116,,,10.1177/29767342251355116,act,deployment,act:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
5,3672,Pandika,2022,Young adult opioid misuse indicates a general tendency toward substance use and is strongly predicted by general substance use risk.,,,PMC10967660,PMC10967660,act,deployment,act:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
6,3437,Hendricks,2023,Association of Household Opioid Availability With Opioid Overdose.,,,PMC10024199,PMC10024199,act,data_understanding,act:data_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
7,1602,Ruiz de Villa,2021,Serotonin Toxicity Precipitated by Tramadol in the Setting of Polypharmacy: A Case of Serotonin Syndrome.,,,PMC8718375,PMC8718375,act,business_understanding,act:business_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
8,6433,Huang,2021,The Next Generation of Machine Learning in DDIs Prediction.,10.2174/1381612827666210127122312,,,10.2174/1381612827666210127122312,act,modeling,act:modeling,0,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
9,2937,Vandergrift,2025,Precipitated Withdrawal Induced by Prehospital Naloxone Administration.,10.1080/10903127.2024.2449505,,,10.1080/10903127.2024.2449505,act,deployment,act:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
10,2777,Wood,2025,Perinatal fentanyl exposure drives enduring addiction risk and central amygdala gene dysregulation.,,,PMC12377289,PMC12377289,act,business_understanding,act:business_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
11,6912,Caudle,2025,Advancing Clinical Pharmacogenomics Worldwide Through the Clinical Pharmacogenetics Implementation Consortium (CPIC).,10.1002/cpt.70005,,,10.1002/cpt.70005,observe,deployment,observe:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
12,772,Yue,2021,The International Society of Pharmacovigilance (ISoP) Pharmacogenomic Special Interest Group: Pharmacogenomics in Pharmacovigilance.,,,PMC8184708,PMC8184708,observe,evaluation,observe:evaluation,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
13,3834,Gainer,2021,Exploring the Interactions between Non-Medical Methamphetamine Use and Prescribed Buprenorphine or Naltrexone in Opioid Use Disorder Treatment Retention.,10.1080/10826084.2021.1975747,,,10.1080/10826084.2021.1975747,act,deployment,act:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
14,7543,Carter,2024,Identifying novel gene dysregulation associated with opioid overdose death: A meta-analysis of differential gene expression in human prefrontal cortex.,,,PMC10802752,PMC10802752,act,business_understanding,act:business_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
15,662,Di Salvo,2026,The Role of Clinical Pharmacogenetics and Opioid Interactions in Pain Management: Current Evidence and Future Perspectives.,,,PMC12845059,PMC12845059,observe,business_understanding,observe:business_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
16,5770,Yu,2023,DGANDDI: Double Generative Adversarial Networks for Drug-Drug Interaction Prediction.,10.1109/tcbb.2022.3219883,,,10.1109/tcbb.2022.3219883,act,modeling,act:modeling,0,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
17,7847,de Guzman,2023,ASCO's Leadership Development Program: Focusing on the Next Generation of Leaders in Asia Pacific.,,,PMC10166472,PMC10166472,act,business_understanding,act:business_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
18,3598,Liu,2023,Individualized Prospective Prediction of Opioid Use Disorder.,,,PMC9720482,PMC9720482,act,deployment,act:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
19,2908,Wen,2025,Medicare Opioid Policy and Opioid Use in Beneficiaries With Disabilities.,,,PMC11811872,PMC11811872,act,business_understanding,act:business_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
20,5817,Noguchi,2022,"Comment on: ""A Disproportionality Analysis of Drug-Drug Interactions of Tizanidine and CYP1A2 Inhibitors from the FDA Adverse Event Reporting System (FAERS)"".",,,PMC2014250,PMC2014250,act,data_understanding,act:data_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
21,4122,Rhee,2021,Opioid analgesic use and its sequelae: Opioid and other substance use disorders.,10.1111/eip.13043,,,10.1111/eip.13043,act,deployment,act:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
22,687,Wang,2025,Pharmacovigilance study and genetic target prediction analysis of FDA adverse event reports (FAERS) for drug-induced sinusitis.,10.1080/14740338.2025.2484474,,,10.1080/14740338.2025.2484474,observe,data_understanding,observe:data_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
23,5142,Dafniet,2024,Prediction of adverse drug reactions due to genetic predisposition using deep neural networks.,10.1002/minf.202400021,,,10.1002/minf.202400021,act,modeling,act:modeling,0,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
24,8483,Parton,2026,A machine learning approach for opioid overdose risk prediction among Alabama Medicaid beneficiaries with opioid prescriptions.,,,PMC12881380,PMC12881380,act,modeling,act:modeling,4,data_reporting|bias_fairness|performance_metrics|safety_monitoring,improved_patient_outcomes,,Metadata recovered through Zotero/CrossRef title reconciliation.,
25,770,Rogers,2021,Inaugural Pharmacogenomics Access and Reimbursement Symposium.,10.2217/pgs-2021-0016,,,10.2217/pgs-2021-0016,observe,data_understanding,observe:data_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
26,8482,Cahan,2023,Opioid Represcriptions After ACL Reconstruction in Adolescents Are Associated With Subsequent Opioid Use Disorder.,10.1097/bpo.0000000000002340,,,10.1097/bpo.0000000000002340,act,deployment,act:deployment,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
27,4061,Heil,2021,The Genomics of Opioid Addiction Longitudinal Study (GOALS): study design for a prospective evaluation of genetic and non-genetic factors for development of and recovery from opioid use disorder.,,,PMC7792024,PMC7792024,act,data_understanding,act:data_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
28,5649,Li,2023,Evidence of potential pro-haemorrhagic drug interactions between CYP3A4 inhibitors and direct oral anticoagulants: Analysis of the FAERS database.,10.1111/bcp.15710,,,10.1111/bcp.15710,act,data_understanding,act:data_understanding,,,,,Metadata recovered through Zotero/CrossRef title reconciliation.,
