pair_index,Gene,Drug,CPIC Level,CPIC Level Status,PharmGKB Level of Evidence
1,HLA-B,abacavir,A,Final,1A
2,HLA-B,allopurinol,A,Final,1A
3,MT-RNR1,amikacin,A,Final,1A
4,CYP2C19,amitriptyline,A,Final,1A
5,CYP2D6,amitriptyline,A,Final,1A
6,UGT1A1,atazanavir,A,Final,1A
7,CYP2D6,atomoxetine,A,Final,1A
8,SLCO1B1,atorvastatin,A,Final,1A
9,NUDT15,azathioprine,A,Final,1A
10,TPMT,azathioprine,A,Final,1A
11,DPYD,capecitabine,A,Final,1A
12,HLA-A,carbamazepine,A,Final,1A
13,HLA-B,carbamazepine,A,Final,1A
14,CYP2C9,celecoxib,A,Final,1A
15,CYP2C19,citalopram,A,Final,1A
16,CYP2C19,clopidogrel,A,Final,1A
17,CYP2D6,codeine,A,Final,1A
18,G6PD,dapsone,A,Final,4
19,CACNA1S,desflurane,A,Final,1A
20,RYR1,desflurane,A,Final,1A
21,MT-RNR1,dibekacin,A,Final,1A
22,CYP2B6,efavirenz,A,Final,1A
23,CACNA1S,enflurane,A,Final,1A
24,RYR1,enflurane,A,Final,1A
25,CYP2C19,escitalopram,A,Final,1A
26,DPYD,fluorouracil,A,Final,1A
27,CYP2C9,flurbiprofen,A,Final,1A
28,CYP2C9,fluvastatin,A,Final,1A
29,SLCO1B1,fluvastatin,A,Final,1A
30,CYP2C9,fosphenytoin,A,Final,
31,HLA-B,fosphenytoin,A,Final,
32,MT-RNR1,gentamicin,A,Final,1A
33,CACNA1S,halothane,A,Final,1A
34,RYR1,halothane,A,Final,1A
35,NAT2,hydralazine,A,Final,3
36,CYP2C9,ibuprofen,A,Final,1A
37,UGT1A1,irinotecan,A,Provisional,1A
38,CACNA1S,isoflurane,A,Final,1A
39,RYR1,isoflurane,A,Final,1A
40,CFTR,ivacaftor,A,Final,1A
41,MT-RNR1,kanamycin,A,Final,1A
42,CYP2C19,lansoprazole,A,Final,1A
43,CYP2C9,lornoxicam,A,Final,1A
44,SLCO1B1,lovastatin,A,Final,1A
45,CYP2C9,meloxicam,A,Final,1A
46,NUDT15,mercaptopurine,A,Final,1A
47,TPMT,mercaptopurine,A,Final,1A
48,CACNA1S,methoxyflurane,A,Final,1A
49,RYR1,methoxyflurane,A,Final,1A
50,G6PD,methylene blue,A,Final,3
51,MT-RNR1,neomycin,A,Final,3
52,MT-RNR1,netilmicin,A,Final,1A
53,G6PD,nitrofurantoin,A,Final,3
54,CYP2D6,nortriptyline,A,Final,1A
55,CYP2C19,omeprazole,A,Final,1A
56,CYP2D6,ondansetron,A,Final,1A
57,HLA-B,oxcarbazepine,A,Final,1A
58,CYP2C19,pantoprazole,A,Final,1A
59,MT-RNR1,paromomycin,A,Final,
60,CYP2D6,paroxetine,A,Final,1A
61,IFNL3,peginterferon alfa-2a,A,Final,1A
62,IFNL4,peginterferon alfa-2a,A,Final,1A
63,IFNL3,peginterferon alfa-2b,A,Final,1A
64,IFNL4,peginterferon alfa-2b,A,Final,1A
65,G6PD,pegloticase,A,Final,3
66,CYP2C9,phenytoin,A,Final,1A
67,HLA-B,phenytoin,A,Final,1A
68,CYP2C9,piroxicam,A,Final,1A
69,SLCO1B1,pitavastatin,A,Final,1A
70,CYP2D6,pitolisant,A,Provisional,
71,MT-RNR1,plazomicin,A,Final,
72,SLCO1B1,pravastatin,A,Final,1A
73,G6PD,primaquine,A,Final,3
74,G6PD,rasburicase,A,Final,1A
75,MT-RNR1,ribostamycin,A,Final,1A
76,ABCG2,rosuvastatin,A,Final,1A
77,SLCO1B1,rosuvastatin,A,Final,1A
78,CYP2C19,sertraline,A,Final,1A
79,CACNA1S,sevoflurane,A,Final,1A
80,RYR1,sevoflurane,A,Final,1A
81,SLCO1B1,simvastatin,A,Final,1A
82,CYP2C9,siponimod,A,Provisional,1A
83,MT-RNR1,streptomycin,A,Final,1A
84,CACNA1S,succinylcholine,A,Final,1A
85,RYR1,succinylcholine,A,Final,1A
86,CYP3A5,tacrolimus,A,Final,1A
87,G6PD,tafenoquine,A,Final,
88,CYP2D6,tamoxifen,A,Final,1A
89,CYP2C9,tenoxicam,A,Final,1A
90,NUDT15,thioguanine,A,Final,3
91,TPMT,thioguanine,A,Final,3
92,MT-RNR1,tobramycin,A,Final,1A
93,G6PD,toluidine blue,A,Final,
94,CYP2D6,tramadol,A,Final,1A
95,CYP2D6,tropisetron,A,Final,1A
96,CYP2C19,voriconazole,A,Final,1A
97,CYP2D6,vortioxetine,A,Final,1A
98,CYP2C9,warfarin,A,Final,1A
99,CYP4F2,warfarin,A,Final,1A
100,VKORC1,warfarin,A,Final,1A
101,POLG,divalproex sodium,A/B,Provisional,
102,CYP2D6,eliglustat,A/B,Provisional,
103,CYP2D6,oliceridine,A/B,Provisional,
104,CYP2D6,pimozide,A/B,Provisional,
105,CYP2D6,tetrabenazine,A/B,Provisional,
106,POLG,valproic acid,A/B,Provisional,3
107,GBA,velaglucerase alfa,A/B,Provisional,
108,CYP2C9,acenocoumarol,B,Provisional,1B
109,CYP4F2,acenocoumarol,B,Provisional,2A
110,CYP2D6,aripiprazole,B,Provisional,1A
111,UGT1A1,belinostat,B,Provisional,
112,CYP2C19,brivaracetam,B,Provisional,3
113,SCN1A,carbamazepine,B,Provisional,2B
114,NAGS,carglumic acid,B,Provisional,
115,CYP2C19,clomipramine,B,Final,1A
116,CYP2D6,clomipramine,B,Final,1A
117,CYP2D6,desipramine,B,Final,1A
118,CYP2C19,dexlansoprazole,B,Final,1A
119,CYP2C19,doxepin,B,Final,1A
120,CYP2D6,doxepin,B,Final,1A
121,CYP2D6,fluvoxamine,B,Final,1A
122,CYP2D6,hydrocodone,B,Final,1A
123,CYP2C19,imipramine,B,Final,1A
124,CYP2D6,imipramine,B,Final,1A
125,CYP2D6,metoprolol,B,Final,
126,HPRT1,mycophenolic acid,B,Provisional,
127,CYP4F2,phenprocoumon,B,Provisional,3
128,SCN1A,phenytoin,B,Provisional,3
129,CYP2D6,risperidone,B,Provisional,1A
130,CYP2B6,sertraline,B,Final,1A
131,CYP2C19,trimipramine,B,Final,1A
132,CYP2D6,trimipramine,B,Final,1A
133,ABL2,valproic acid,B,Provisional,
134,ASL,valproic acid,B,Provisional,
135,ASS1,valproic acid,B,Provisional,
136,CPS1,valproic acid,B,Provisional,
137,NAGS,valproic acid,B,Provisional,
138,OTC,valproic acid,B,Provisional,
139,CYP2D6,venlafaxine,B,Final,1A
140,HLA-A,allopurinol,B/C,Provisional,2B
141,NAT2,amifampridine,B/C,Provisional,
142,NAT2,amifampridine phosphate,B/C,Provisional,
143,CYP2D6,amoxapine,B/C,Provisional,
144,CYP2D6,amphetamine,B/C,Provisional,
145,CYP2D6,aripiprazole lauroxil,B/C,Provisional,
146,CYP2C9,avatrombopag,B/C,Provisional,
147,CYP2D6,brexpiprazole,B/C,Provisional,
148,ADRB1,bucindolol,B/C,Provisional,3
149,CYP2B6,bupropion,B/C,Provisional,2A
150,CYP2C19,carisoprodol,B/C,Provisional,4
151,CYP2D6,cevimeline,B/C,Provisional,
152,CYP2C19,clobazam,B/C,Provisional,3
153,CYP2D6,clozapine,B/C,Provisional,
154,SLC28A3,daunorubicin,B/C,Provisional,
155,CYP2D6,deutetrabenazine,B/C,Provisional,
156,CYP2D6,dextromethorphan,B/C,Provisional,3
157,CYP2C19,diazepam,B/C,Provisional,3
158,UGT1A1,dolutegravir,B/C,Provisional,
159,CYP2D6,donepezil,B/C,Provisional,3
160,SLC28A3,doxorubicin,B/C,Provisional,
161,CYP2C9,dronabinol,B/C,Provisional,
162,SLCO1B1,elagolix,B/C,Provisional,
163,CYP2C9,erdafitinib,B/C,Provisional,
164,CYP2D6,flecainide,B/C,Provisional,1A
165,CYP2D6,gefitinib,B/C,Provisional,3
166,CYP2D6,haloperidol,B/C,Provisional,1A
167,CYP2D6,iloperidone,B/C,Provisional,3
168,CYP2D6,labetalol,B/C,Provisional,
169,HLA-DRB1,lapatinib,B/C,Provisional,3
170,CYP2C9,lesinurad,B/C,Provisional,
171,G6PD,lidocaine,B/C,Provisional,
172,MTHFR,l-methylfolate,B/C,Provisional,3
173,CYP2D6,lofexidine,B/C,Provisional,
174,CYP2D6,meclizine,B/C,Provisional,
175,CYP2D6,metoclopramide,B/C,Provisional,
176,CYP2D6,mirabegron,B/C,Provisional,
177,CYP2D6,mirtazapine,B/C,Provisional,2A
178,BCHE,mivacurium,B/C,Provisional,
179,CYP2B6,nevirapine,B/C,Provisional,2A
180,UGT1A1,nilotinib,B/C,Provisional,3
181,HLA-B,pazopanib,B/C,Provisional,
182,UGT1A1,pazopanib,B/C,Provisional,3
183,CYP2D6,perphenazine,B/C,Provisional,
184,NAT2,procainamide,B/C,Provisional,
185,CYP2D6,propafenone,B/C,Provisional,1A
186,CYP2D6,protriptyline,B/C,Provisional,
187,UGT1A1,raltegravir,B/C,Provisional,
188,BCHE,succinylcholine,B/C,Provisional,3
189,NAT2,sulfamethoxazole / trimethoprim,B/C,Provisional,3
190,NAT2,sulfasalazine,B/C,Provisional,
191,CYP2D6,tamsulosin,B/C,Provisional,
192,CYP2D6,thioridazine,B/C,Provisional,3
193,CYP2D6,timolol,B/C,Provisional,3
194,CYP2D6,valbenazine,B/C,Provisional,
195,CYP2D6,zuclopenthixol,B/C,Provisional,1A
196,ADRA2C,acebutolol,C,Final,
197,ADRB1,acebutolol,C,Final,
198,CYP2D6,acebutolol,C,Final,
199,GRK4,acebutolol,C,Final,
200,GRK5,acebutolol,C,Final,
201,CYP2C9,aceclofenac,C,Final,
202,TNF,adalimumab,C,Provisional,
203,COMT,alfentanil,C,Final,
204,OPRM1,alfentanil,C,Final,3
205,HLA-C,allopurinol,C,Provisional,2B
206,G6PD,aminosalicylic acid,C,Final,
207,MC4R,amisulpride,C,Provisional,3
208,MC4R,aripiprazole,C,Provisional,3
209,CYP2C9,aspirin,C,Final,
210,G6PD,aspirin,C,Final,3
211,HLA-DPB1,aspirin,C,Provisional,2B
212,CFTR,ataluren,C,Provisional,3
213,ADRA2C,atenolol,C,Final,
214,ADRB1,atenolol,C,Final,
215,GRK4,atenolol,C,Final,
