ffa_rule_family,procedure_category,cpt_code,cpt_description,class1_axp_feature_occurrences,in_class1_compact_rules,mean_abs_shap_25_44_low
Chronic pain / care pathway,Behavioral health,90834,Ambulatory procedure (allowed-code feature),3641,False,
Chronic pain / care pathway,Behavioral health,90837,Ambulatory procedure (allowed-code feature),2260,False,
Chronic pain / care pathway,Behavioral health,90833,Ambulatory procedure (allowed-code feature),1209,False,
Chronic pain / care pathway,Emergency / ambulatory E/M,99285,"ED visit, high severity",9779,True,
Chronic pain / care pathway,Emergency / ambulatory E/M,99214,"Office/outpatient visit, established",9743,True,
Chronic pain / care pathway,Emergency / ambulatory E/M,99232,Ambulatory procedure (allowed-code feature),9607,False,
Chronic pain / care pathway,Emergency / ambulatory E/M,99283,"ED visit, moderate severity",9358,False,
Chronic pain / care pathway,Emergency / ambulatory E/M,99284,"ED visit, high severity (typical)",9115,False,
Chronic pain / care pathway,Imaging,71020,"Chest X-ray, 2 views",9970,False,
Chronic pain / care pathway,Imaging,71045,Ambulatory procedure (allowed-code feature),9259,False,
Chronic pain / care pathway,Imaging,73502,Ambulatory procedure (allowed-code feature),9211,False,
Chronic pain / care pathway,Injection / immunization,90471,Immunization administration,9755,False,
Chronic pain / care pathway,Injection / immunization,96372,Therapeutic injection (SC/IM),9670,False,
Chronic pain / care pathway,Injection / immunization,36415,Venipuncture,9615,False,
Chronic pain / care pathway,Joint / tendon procedure,20610,Arthrocentesis / joint injection,6876,True,
Chronic pain / care pathway,Joint / tendon procedure,20611,Ambulatory procedure (allowed-code feature),3555,False,
Chronic pain / care pathway,Laboratory,85025,Complete blood count (CBC),9956,False,
Chronic pain / care pathway,Laboratory,80048,Ambulatory procedure (allowed-code feature),9950,False,
Chronic pain / care pathway,Laboratory,80061,Ambulatory procedure (allowed-code feature),9885,False,
Chronic pain / care pathway,Laboratory,80053,Comprehensive metabolic panel,9603,False,
Chronic pain / care pathway,Laboratory,81003,"Urinalysis, automated",9370,False,
Chronic pain / care pathway,Other ambulatory procedure,93010,Ambulatory procedure (allowed-code feature),9980,False,
Chronic pain / care pathway,Other ambulatory procedure,83036,Ambulatory procedure (allowed-code feature),9946,False,
Chronic pain / care pathway,Other ambulatory procedure,99204,"Office/outpatient visit, new, moderate",9925,False,
Chronic pain / care pathway,Physical therapy / rehab,97110,"Physical therapy, therapeutic exercises",9984,False,
Chronic pain / care pathway,Physical therapy / rehab,97112,Ambulatory procedure (allowed-code feature),9701,False,
Chronic pain / care pathway,Physical therapy / rehab,97530,"Physical therapy, therapeutic activities",8941,False,
