feature,mean_abs_shap,rank,is_drug
item_drug_AMOXICILLIN,0.3002396,1,True
item_drug_AZITHROMYCIN,0.05128759,2,True
item_drug_CEFDINIR,0.036205344,3,True
item_drug_CEPHALEXIN,0.033734407,4,True
item_drug_NYSTATIN,0.020741,5,True
item_drug_MUPIROCIN,0.017549621,6,True
item_drug_OFLOXACIN,0.017191168,7,True
item_drug_ERYTHROMYCIN,0.015603331,8,True
item_drug_PREDNISONE,0.0121998275,9,True
item_drug_ARIPIPRAZOLE,0.011009633,10,True
item_drug_IBUPROFEN,0.009901163,11,True
item_drug_HYDROCORTISONE,0.009838338,12,True
item_drug_PERMETHRIN,0.009011757,13,True
item_drug_CIPRODEX,0.008466211,14,True
item_drug_PREDNISOLONE,0.008348271,15,True
item_drug_BUDESONIDE,0.0068128267,16,True
item_drug_TAMIFLU,0.005016885,17,True
item_drug_LORATADINE,0.005001691,18,True
item_drug_EPINEPHRINE,0.0049897307,19,True
item_drug_KETOCONAZOLE,0.004053784,20,True
item_drug_ATOMOXETINE,0.0033430997,21,True
item_drug_VYVANSE,0.0033130138,22,True
item_drug_SYMBICORT,0.0024518592,23,True
item_drug_FLUORIDE,0.0023855781,24,True
item_drug_BENZONATATE,0.0023776563,25,True
