feature,in_primary_top,in_util_free_top,rank_primary,rank_util_free,rank_shift
item_drug_AMOXICILLIN,False,True,,5.0,
item_drug_ATENOLOL,False,True,,23.0,
item_drug_AZITHROMYCIN,False,True,,2.0,
item_drug_BACITRACIN,True,False,24.0,,
item_drug_BENZONATATE,False,True,,9.0,
item_drug_CARVEDILOL,False,True,,22.0,
item_drug_CEFDINIR,False,True,,21.0,
item_drug_CEPHALEXIN,False,True,,10.0,
item_drug_CLINDAMYCIN_PHOSPHATE,True,False,34.0,,
item_drug_CLOPIDOGREL,False,True,,20.0,
item_drug_DIAZEPAM,False,True,,19.0,
item_drug_FLUCONAZOLE,False,True,,14.0,
item_drug_FUROSEMIDE,False,True,,7.0,
item_drug_GABAPENTIN,False,True,,3.0,
item_drug_GLIMEPIRIDE,False,True,,16.0,
item_drug_H4010X1,True,False,27.0,,
item_drug_HYDROCHLOROTHIAZIDE,False,True,,8.0,
item_drug_IBUPROFEN,False,True,,11.0,
item_drug_INVOKANA,True,False,26.0,,
item_drug_JANUVIA,False,True,,25.0,
item_drug_LEVOFLOXACIN,False,True,,12.0,
item_drug_LISINOPRIL,False,True,,6.0,
item_drug_MAXALT_MLT,True,False,23.0,,
item_drug_MELOXICAM,False,True,,18.0,
item_drug_METRONIDAZOLE,False,True,,15.0,
item_drug_OMEPRAZOLE,False,True,,4.0,
item_drug_OXYBUTYNIN_CHLORIDE_ER,True,False,36.0,,
item_drug_POTASSIUM_CHLORIDE_CR,True,False,30.0,,
item_drug_PREDNISONE,False,True,,1.0,
item_drug_S0006XA,True,False,21.0,,
item_drug_S00522D,True,False,37.0,,
item_drug_S01511A,True,False,32.0,,
item_drug_S022XXA,True,False,29.0,,
item_drug_S29012A,True,False,19.0,,
item_drug_S298XXA,True,False,31.0,,
item_drug_S338XXA,True,False,15.0,,
item_drug_S46911A,True,False,25.0,,
item_drug_S52502A,True,False,35.0,,
item_drug_S61551A,True,False,18.0,,
item_drug_S8002XA,True,False,16.0,,
item_drug_S8264XA,True,False,28.0,,
item_drug_S8392XA,True,False,33.0,,
item_drug_S8992XA,True,False,39.0,,
item_drug_S90111A,True,False,17.0,,
item_drug_SHINGRIX,False,True,,17.0,
item_drug_SIMVASTATIN,False,True,,13.0,
item_drug_SPIRONOLACTONE,False,True,,24.0,
item_drug_T1501XA,True,False,20.0,,
item_drug_T80211A,True,False,38.0,,
item_drug_TRADJENTA,True,False,22.0,,
