cohort,age_band,bin,consensus_count,shap_count,ffa_count,consensus_rate,shap_only_n,ffa_only_n
non_opioid_ed,45_54,low,19,20,20,0.95,1,1
non_opioid_ed,45_54,medium,19,20,20,0.95,1,1
non_opioid_ed,45_54,extreme,18,20,20,0.9,2,2
non_opioid_ed,45_54,high,19,20,20,0.95,1,1
non_opioid_ed,75_84,low,19,19,19,0.95,0,0
non_opioid_ed,75_84,medium,19,19,19,0.95,0,0
non_opioid_ed,75_84,extreme,19,19,19,0.95,0,0
non_opioid_ed,75_84,high,19,19,19,0.95,0,0
non_opioid_ed,0_12,low,19,20,20,0.95,1,1
non_opioid_ed,0_12,medium,19,20,20,0.95,1,1
non_opioid_ed,0_12,extreme,20,20,20,1.0,0,0
non_opioid_ed,0_12,high,20,20,20,1.0,0,0
non_opioid_ed,65_74,low,20,20,20,1.0,0,0
non_opioid_ed,65_74,medium,20,20,20,1.0,0,0
non_opioid_ed,65_74,extreme,19,20,20,0.95,1,1
non_opioid_ed,65_74,high,19,20,20,0.95,1,1
non_opioid_ed,13_24,low,19,20,20,0.95,1,1
non_opioid_ed,13_24,medium,20,20,20,1.0,0,0
non_opioid_ed,13_24,extreme,17,20,20,0.85,3,3
non_opioid_ed,13_24,high,19,20,20,0.95,1,1
non_opioid_ed,55_64,low,20,20,20,1.0,0,0
non_opioid_ed,55_64,medium,19,20,20,0.95,1,1
non_opioid_ed,55_64,extreme,20,20,20,1.0,0,0
non_opioid_ed,55_64,high,20,20,20,1.0,0,0
non_opioid_ed,85_114,low,19,20,20,0.95,1,1
non_opioid_ed,85_114,medium,20,20,20,1.0,0,0
non_opioid_ed,85_114,extreme,20,20,20,1.0,0,0
non_opioid_ed,85_114,high,20,20,20,1.0,0,0
non_opioid_ed,25_44,low,19,20,20,0.95,1,1
non_opioid_ed,25_44,medium,20,20,20,1.0,0,0
non_opioid_ed,25_44,extreme,20,20,20,1.0,0,0
non_opioid_ed,25_44,high,20,20,20,1.0,0,0
opioid_ed,45_54,low,18,20,20,0.9,2,2
opioid_ed,45_54,medium,18,20,20,0.9,2,2
opioid_ed,45_54,extreme,19,20,20,0.95,1,1
opioid_ed,45_54,high,18,20,20,0.9,2,2
opioid_ed,75_84,low,17,20,20,0.85,3,3
opioid_ed,75_84,medium,17,20,20,0.85,3,3
opioid_ed,75_84,extreme,17,20,20,0.85,3,3
opioid_ed,75_84,high,18,20,20,0.9,2,2
opioid_ed,0_12,low,20,20,20,1.0,0,0
opioid_ed,0_12,medium,20,20,20,1.0,0,0
opioid_ed,0_12,high,19,20,20,0.95,1,1
opioid_ed,65_74,low,18,20,20,0.9,2,2
opioid_ed,65_74,medium,19,20,20,0.95,1,1
opioid_ed,65_74,extreme,16,20,20,0.8,4,4
opioid_ed,65_74,high,18,20,20,0.9,2,2
opioid_ed,13_24,low,19,20,20,0.95,1,1
opioid_ed,13_24,medium,19,20,20,0.95,1,1
opioid_ed,13_24,extreme,19,20,20,0.95,1,1
opioid_ed,13_24,high,19,20,20,0.95,1,1
opioid_ed,55_64,low,19,20,20,0.95,1,1
opioid_ed,55_64,medium,20,20,20,1.0,0,0
opioid_ed,55_64,extreme,16,20,20,0.8,4,4
opioid_ed,55_64,high,18,20,20,0.9,2,2
opioid_ed,85_114,low,19,20,20,0.95,1,1
opioid_ed,85_114,medium,18,20,20,0.9,2,2
opioid_ed,85_114,extreme,19,20,20,0.95,1,1
opioid_ed,85_114,high,19,20,20,0.95,1,1
opioid_ed,25_44,low,19,20,20,0.95,1,1
opioid_ed,25_44,medium,19,20,20,0.95,1,1
opioid_ed,25_44,extreme,17,20,20,0.85,3,3
opioid_ed,25_44,high,17,20,20,0.85,3,3
