cohort,age_band,bin,combination,drug_names,interaction_size,mean_combined_importance,sum_combined_importance,best_rank,worst_rank,patient_rule_profile_support,strict_rule_support,evidence_type,interpretation_limit
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN,ALPRAZOLAM + AMOXICILLIN,2,0.0029530363845934,0.0059060727691868,8,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_ATENOLOL,ALPRAZOLAM + ATENOLOL,2,0.0011342785444642999,0.0022685570889285998,15,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_AZITHROMYCIN,ALPRAZOLAM + AZITHROMYCIN,2,0.00631611676121865,0.0126322335224373,4,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN,ALPRAZOLAM + CEPHALEXIN,2,0.0011271057022294,0.0022542114044588,15,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_ERYTHROMYCIN,ALPRAZOLAM + ERYTHROMYCIN,2,0.0059095384137847,0.0118190768275694,6,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_FENOFIBRATE,ALPRAZOLAM + FENOFIBRATE,2,0.00106809185966175,0.0021361837193235,15,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_GABAPENTIN,ALPRAZOLAM + GABAPENTIN,2,0.0018641593095002,0.0037283186190004,14,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_HYDROCHLOROTHIAZIDE,ALPRAZOLAM + HYDROCHLOROTHIAZIDE,2,0.0024346565586347,0.0048693131172694,11,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_IBUPROFEN,ALPRAZOLAM + IBUPROFEN,2,0.0072886538360397,0.0145773076720794,3,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_KETOCONAZOLE,ALPRAZOLAM + KETOCONAZOLE,2,0.003998206151878601,0.007996412303757201,7,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_LISINOPRIL,ALPRAZOLAM + LISINOPRIL,2,0.0062623436076087,0.0125246872152174,5,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_METRONIDAZOLE,ALPRAZOLAM + METRONIDAZOLE,2,0.00284717818744565,0.0056943563748913,9,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_MUPIROCIN,ALPRAZOLAM + MUPIROCIN,2,0.00119786543240785,0.0023957308648157,15,17,1999,1999,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_NAPROXEN,ALPRAZOLAM + NAPROXEN,2,0.00123129789421085,0.0024625957884217,15,16,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_OMEPRAZOLE,ALPRAZOLAM + OMEPRAZOLE,2,0.0020491997285216,0.0040983994570432,13,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_PREDNISONE,ALPRAZOLAM + PREDNISONE,2,0.002617747711728,0.005235495423456,10,15,1989,1988,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM|item_drug_SIMVASTATIN,ALPRAZOLAM + SIMVASTATIN,2,0.00230067027462795,0.0046013405492559,12,15,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_ATENOLOL,AMOXICILLIN + ATENOLOL,2,0.0025424074717037,0.0050848149434074,8,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN,AMOXICILLIN + AZITHROMYCIN,2,0.00772424568845805,0.0154484913769161,4,8,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_CEPHALEXIN,AMOXICILLIN + CEPHALEXIN,2,0.0025352346294688,0.0050704692589376,8,19,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_ERYTHROMYCIN,AMOXICILLIN + ERYTHROMYCIN,2,0.0073176673410240995,0.014635334682048199,6,8,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_FENOFIBRATE,AMOXICILLIN + FENOFIBRATE,2,0.00247622078690115,0.0049524415738023,8,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_GABAPENTIN,AMOXICILLIN + GABAPENTIN,2,0.0032722882367396,0.0065445764734792,8,14,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_HYDROCHLOROTHIAZIDE,AMOXICILLIN + HYDROCHLOROTHIAZIDE,2,0.0038427854858741,0.0076855709717482,8,11,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_IBUPROFEN,AMOXICILLIN + IBUPROFEN,2,0.0086967827632791,0.0173935655265582,3,8,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_KETOCONAZOLE,AMOXICILLIN + KETOCONAZOLE,2,0.005406335079118,0.010812670158236,7,8,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_LISINOPRIL,AMOXICILLIN + LISINOPRIL,2,0.007670472534848101,0.015340945069696202,5,8,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_METRONIDAZOLE,AMOXICILLIN + METRONIDAZOLE,2,0.0042553071146850495,0.008510614229370099,8,9,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_MUPIROCIN,AMOXICILLIN + MUPIROCIN,2,0.0026059943596472503,0.0052119887192945006,8,17,1999,1999,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_NAPROXEN,AMOXICILLIN + NAPROXEN,2,0.00263942682145025,0.0052788536429005,8,16,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE,AMOXICILLIN + OMEPRAZOLE,2,0.003457328655761,0.006914657311522,8,13,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_PREDNISONE,AMOXICILLIN + PREDNISONE,2,0.0040258766389674,0.0080517532779348,8,10,1989,1988,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN|item_drug_SIMVASTATIN,AMOXICILLIN + SIMVASTATIN,2,0.00370879920186735,0.0074175984037347,8,12,2000,2000,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_AZITHROMYCIN,ATENOLOL + AZITHROMYCIN,2,0.00590548784832895,0.0118109756966579,4,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_CEPHALEXIN,ATENOLOL + CEPHALEXIN,2,0.0007164767893396999,0.0014329535786793998,18,19,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_ERYTHROMYCIN,ATENOLOL + ERYTHROMYCIN,2,0.005498909500895,0.01099781900179,6,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_FENOFIBRATE,ATENOLOL + FENOFIBRATE,2,0.00065746294677205,0.0013149258935441,18,20,1856,1856,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_GABAPENTIN,ATENOLOL + GABAPENTIN,2,0.0014535303966104998,0.0029070607932209997,14,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_HYDROCHLOROTHIAZIDE,ATENOLOL + HYDROCHLOROTHIAZIDE,2,0.002024027645745,0.00404805529149,11,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_IBUPROFEN,ATENOLOL + IBUPROFEN,2,0.00687802492315,0.0137560498463,3,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
non_opioid_ed,45_54,low,item_drug_ATENOLOL|item_drug_KETOCONAZOLE,ATENOLOL + KETOCONAZOLE,2,0.0035875772389889,0.0071751544779778,7,18,1996,1996,scenario_topk_rule_profile,co-occurring top SHAP/FFA drug profile; not explicit causal synergy
