combination,drug_names,interaction_size,n_bins,mean_combined_importance,max_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_AZITHROMYCIN|item_drug_PREDNISONE,AZITHROMYCIN + PREDNISONE,2,42,0.028251597122277754,0.2083911142023128,55443,53853
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN,AMOXICILLIN + AZITHROMYCIN,2,40,0.02919246649244666,0.1706347045291183,59467,57423
item_drug_AMOXICILLIN|item_drug_PREDNISONE,AMOXICILLIN + PREDNISONE,2,40,0.02668556246098444,0.21548616707426899,56659,56128
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_PREDNISONE,AMOXICILLIN + AZITHROMYCIN + PREDNISONE,3,38,0.02649570805838275,0.19817066193523336,54257,52717
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN,AMOXICILLIN + CEPHALEXIN,2,37,0.020974887348748066,0.11686809187061865,56164,55219
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN,AZITHROMYCIN + CEPHALEXIN,2,36,0.036924691698073005,0.2170929097340565,51313,49661
item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE,AMOXICILLIN + OMEPRAZOLE,2,36,0.020897247052811277,0.15134406538840423,50000,42338
item_drug_CEPHALEXIN|item_drug_PREDNISONE,CEPHALEXIN + PREDNISONE,2,35,0.030793656458642734,0.20017327557912107,46983,46500
item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE,AZITHROMYCIN + OMEPRAZOLE,2,35,0.02813269511664469,0.1392631199369217,45046,37581
item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,CEPHALEXIN + OMEPRAZOLE,2,34,0.03128715694427692,0.17806314615295477,43147,35839
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_PREDNISONE,AZITHROMYCIN + CEPHALEXIN + PREDNISONE,3,34,0.031093058117605786,0.1687552302972738,46681,45281
item_drug_OMEPRAZOLE|item_drug_PREDNISONE,OMEPRAZOLE + PREDNISONE,2,34,0.021142725243318297,0.13036918471483205,40194,32980
item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,AZITHROMYCIN + OMEPRAZOLE + PREDNISONE,3,33,0.02573899093729699,0.13408113087882836,39800,32560
item_drug_ALPRAZOLAM|item_drug_OMEPRAZOLE,ALPRAZOLAM + OMEPRAZOLE,2,32,0.02982637635645065,0.1719872342551437,39066,32312
