combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_AZITHROMYCIN|item_drug_PREDNISONE,AZITHROMYCIN + PREDNISONE,2,31,0.015831899488859037,41909,40319
item_drug_CEPHALEXIN|item_drug_PREDNISONE,CEPHALEXIN + PREDNISONE,2,29,0.026240637921256627,37702,37219
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN,AZITHROMYCIN + CEPHALEXIN,2,28,0.030719423486932778,38032,36380
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_PREDNISONE,AZITHROMYCIN + CEPHALEXIN + PREDNISONE,3,28,0.02461650771976648,37400,36000
item_drug_AMOXICILLIN|item_drug_PREDNISONE,AMOXICILLIN + PREDNISONE,2,28,0.010341448956736185,41125,40594
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN,AMOXICILLIN + AZITHROMYCIN,2,27,0.014062321159057109,41933,39889
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_PREDNISONE,AMOXICILLIN + AZITHROMYCIN + PREDNISONE,3,27,0.011371779124015036,40723,39183
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN,AMOXICILLIN + CEPHALEXIN,2,25,0.013993348106767542,37104,36159
item_drug_OMEPRAZOLE|item_drug_PREDNISONE,OMEPRAZOLE + PREDNISONE,2,25,0.011424611364862461,28060,20846
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_PREDNISONE,AMOXICILLIN + CEPHALEXIN + PREDNISONE,3,25,0.011321457424410939,36519,36083
item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE,AZITHROMYCIN + OMEPRAZOLE,2,24,0.01677784988132981,28912,21447
item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,AZITHROMYCIN + OMEPRAZOLE + PREDNISONE,3,24,0.016055360314034137,27666,20426
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN,AMOXICILLIN + AZITHROMYCIN + CEPHALEXIN,3,24,0.013483633983585258,36781,34918
item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,CEPHALEXIN + OMEPRAZOLE,2,22,0.02919246526142946,24087,16779
item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,CEPHALEXIN + OMEPRAZOLE + PREDNISONE,3,22,0.02458804174008837,23461,16405
item_drug_AZITHROMYCIN|item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,AZITHROMYCIN + CEPHALEXIN + OMEPRAZOLE,3,21,0.028545795553682557,23771,16502
item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE,AMOXICILLIN + OMEPRAZOLE,2,21,0.009427086333689067,28087,20425
item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,AMOXICILLIN + OMEPRAZOLE + PREDNISONE,3,21,0.008706821311458135,26890,19721
item_drug_LISINOPRIL|item_drug_PREDNISONE,LISINOPRIL + PREDNISONE,2,20,0.021355021004566634,18247,18115
item_drug_LISINOPRIL|item_drug_OMEPRAZOLE,LISINOPRIL + OMEPRAZOLE,2,20,0.020529620149879874,19264,18088
item_drug_LISINOPRIL|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,LISINOPRIL + OMEPRAZOLE + PREDNISONE,3,20,0.017797792942688094,18216,17058
item_drug_ALPRAZOLAM|item_drug_PREDNISONE,ALPRAZOLAM + PREDNISONE,2,20,0.016269921377610234,19200,19106
item_drug_ALPRAZOLAM|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,ALPRAZOLAM + OMEPRAZOLE + PREDNISONE,3,20,0.01398189601156731,19008,12222
item_drug_ALPRAZOLAM|item_drug_OMEPRAZOLE,ALPRAZOLAM + OMEPRAZOLE,2,20,0.012747568893060132,20006,13252
item_drug_METRONIDAZOLE|item_drug_PREDNISONE,METRONIDAZOLE + PREDNISONE,2,20,0.011845641436175993,23606,21970
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE,AMOXICILLIN + AZITHROMYCIN + OMEPRAZOLE,3,20,0.01176695988057562,27675,19996
item_drug_AZITHROMYCIN|item_drug_LISINOPRIL,AZITHROMYCIN + LISINOPRIL,2,19,0.030666719952544757,18927,17736
item_drug_AZITHROMYCIN|item_drug_LISINOPRIL|item_drug_PREDNISONE,AZITHROMYCIN + LISINOPRIL + PREDNISONE,3,19,0.0247424022874309,17878,16704
