combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE,AMOXICILLIN + OMEPRAZOLE,2,15,0.03695547205958238,21913,21913
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN,AMOXICILLIN + AZITHROMYCIN,2,13,0.06061661449256343,17534,17534
item_drug_ALPRAZOLAM|item_drug_GABAPENTIN,ALPRAZOLAM + GABAPENTIN,2,12,0.18259757556128217,19060,19060
item_drug_CLONAZEPAM|item_drug_GABAPENTIN,CLONAZEPAM + GABAPENTIN,2,12,0.1796522325301878,19060,19060
item_drug_AMOXICILLIN|item_drug_GABAPENTIN,AMOXICILLIN + GABAPENTIN,2,12,0.16524396289586293,19060,19060
item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,GABAPENTIN + OMEPRAZOLE,2,12,0.16485162715581933,19060,19060
item_drug_CEPHALEXIN|item_drug_GABAPENTIN,CEPHALEXIN + GABAPENTIN,2,12,0.1594339451286779,19060,19060
item_drug_ALPRAZOLAM|item_drug_CLONAZEPAM|item_drug_GABAPENTIN,ALPRAZOLAM + CLONAZEPAM + GABAPENTIN,3,12,0.14511382297598,19060,19060
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_GABAPENTIN,ALPRAZOLAM + AMOXICILLIN + GABAPENTIN,3,12,0.13550830988643006,19060,19060
item_drug_ALPRAZOLAM|item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,ALPRAZOLAM + GABAPENTIN + OMEPRAZOLE,3,12,0.135246752726401,19060,19060
item_drug_AMOXICILLIN|item_drug_CLONAZEPAM|item_drug_GABAPENTIN,AMOXICILLIN + CLONAZEPAM + GABAPENTIN,3,12,0.1335447478657005,19060,19060
item_drug_CLONAZEPAM|item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,CLONAZEPAM + GABAPENTIN + OMEPRAZOLE,3,12,0.13328319070567143,19060,19060
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_GABAPENTIN,ALPRAZOLAM + CEPHALEXIN + GABAPENTIN,3,12,0.1316349647083067,19060,19060
item_drug_CEPHALEXIN|item_drug_CLONAZEPAM|item_drug_GABAPENTIN,CEPHALEXIN + CLONAZEPAM + GABAPENTIN,3,12,0.12967140268757715,19060,19060
item_drug_AMOXICILLIN|item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,AMOXICILLIN + GABAPENTIN + OMEPRAZOLE,3,12,0.12367767761612151,19060,19060
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_GABAPENTIN,AMOXICILLIN + CEPHALEXIN + GABAPENTIN,3,12,0.12006588959802722,19060,19060
item_drug_CEPHALEXIN|item_drug_GABAPENTIN|item_drug_OMEPRAZOLE,CEPHALEXIN + GABAPENTIN + OMEPRAZOLE,3,12,0.11980433243799815,19060,19060
item_drug_ALPRAZOLAM|item_drug_CLONAZEPAM,ALPRAZOLAM + CLONAZEPAM,2,12,0.07309166083647,19060,19060
item_drug_AMOXICILLIN|item_drug_PREDNISONE,AMOXICILLIN + PREDNISONE,2,12,0.06482182730423038,15534,15534
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_CLONAZEPAM,ALPRAZOLAM + AMOXICILLIN + CLONAZEPAM,3,12,0.06250436673655528,19060,19060
item_drug_ALPRAZOLAM|item_drug_CLONAZEPAM|item_drug_OMEPRAZOLE,ALPRAZOLAM + CLONAZEPAM + OMEPRAZOLE,3,12,0.062242809576526226,19060,19060
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN,ALPRAZOLAM + AMOXICILLIN,2,12,0.05868339120214509,19060,19060
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_CLONAZEPAM,ALPRAZOLAM + CEPHALEXIN + CLONAZEPAM,3,12,0.058631021558431924,19060,19060
item_drug_ALPRAZOLAM|item_drug_OMEPRAZOLE,ALPRAZOLAM + OMEPRAZOLE,2,12,0.05829105546210151,19060,19060
item_drug_AMOXICILLIN|item_drug_CLONAZEPAM,AMOXICILLIN + CLONAZEPAM,2,12,0.05573804817105075,19060,19060
item_drug_CLONAZEPAM|item_drug_OMEPRAZOLE,CLONAZEPAM + OMEPRAZOLE,2,12,0.055345712431007166,19060,19060
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN,ALPRAZOLAM + CEPHALEXIN,2,12,0.05287337343496007,19060,19060
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_OMEPRAZOLE,ALPRAZOLAM + AMOXICILLIN + OMEPRAZOLE,3,12,0.05263729648697629,19060,19060
item_drug_AMOXICILLIN|item_drug_CLONAZEPAM|item_drug_OMEPRAZOLE,AMOXICILLIN + CLONAZEPAM + OMEPRAZOLE,3,12,0.05067373446624673,19060,19060
item_drug_CEPHALEXIN|item_drug_CLONAZEPAM,CEPHALEXIN + CLONAZEPAM,2,12,0.04992803040386571,19060,19060
item_drug_ALPRAZOLAM|item_drug_AMOXICILLIN|item_drug_CEPHALEXIN,ALPRAZOLAM + AMOXICILLIN + CEPHALEXIN,3,12,0.04902550846888199,19060,19060
item_drug_ALPRAZOLAM|item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,ALPRAZOLAM + CEPHALEXIN + OMEPRAZOLE,3,12,0.04876395130885294,19060,19060
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_CLONAZEPAM,AMOXICILLIN + CEPHALEXIN + CLONAZEPAM,3,12,0.04706194644815243,19060,19060
item_drug_CEPHALEXIN|item_drug_CLONAZEPAM|item_drug_OMEPRAZOLE,CEPHALEXIN + CLONAZEPAM + OMEPRAZOLE,3,12,0.04680038928812338,19060,19060
