cohort,age_band,bin,feature,drug_name,rank,combined_importance
non_opioid_ed,45_54,low,item_drug_ALPRAZOLAM,ALPRAZOLAM,15,0.001544907457354
non_opioid_ed,45_54,low,item_drug_AMOXICILLIN,AMOXICILLIN,8,0.0043611653118328
non_opioid_ed,45_54,low,item_drug_ATENOLOL,ATENOLOL,18,0.0007236496315746
non_opioid_ed,45_54,low,item_drug_AZITHROMYCIN,AZITHROMYCIN,4,0.0110873260650833
non_opioid_ed,45_54,low,item_drug_CEPHALEXIN,CEPHALEXIN,19,0.0007093039471048
non_opioid_ed,45_54,low,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,6,0.0102741693702154
non_opioid_ed,45_54,low,item_drug_FENOFIBRATE,FENOFIBRATE,20,0.0005912762619695
non_opioid_ed,45_54,low,item_drug_GABAPENTIN,GABAPENTIN,14,0.0021834111616464
non_opioid_ed,45_54,low,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,11,0.0033244056599154
non_opioid_ed,45_54,low,item_drug_IBUPROFEN,IBUPROFEN,3,0.0130324002147254
non_opioid_ed,45_54,low,item_drug_KETOCONAZOLE,KETOCONAZOLE,7,0.0064515048464032
non_opioid_ed,45_54,low,item_drug_LISINOPRIL,LISINOPRIL,5,0.0109797797578634
non_opioid_ed,45_54,low,item_drug_METRONIDAZOLE,METRONIDAZOLE,9,0.0041494489175373
non_opioid_ed,45_54,low,item_drug_MUPIROCIN,MUPIROCIN,17,0.0008508234074617
non_opioid_ed,45_54,low,item_drug_NAPROXEN,NAPROXEN,16,0.0009176883310677
non_opioid_ed,45_54,low,item_drug_OMEPRAZOLE,OMEPRAZOLE,13,0.0025534919996892
non_opioid_ed,45_54,low,item_drug_PREDNISONE,PREDNISONE,10,0.003690587966102
non_opioid_ed,45_54,low,item_drug_SIMVASTATIN,SIMVASTATIN,12,0.0030564330919019
non_opioid_ed,45_54,medium,item_drug_ALPRAZOLAM,ALPRAZOLAM,14,0.0023567655919764
non_opioid_ed,45_54,medium,item_drug_AMOXICILLIN,AMOXICILLIN,6,0.0113013622711109
non_opioid_ed,45_54,medium,item_drug_ATENOLOL,ATENOLOL,15,0.0022740609128267
non_opioid_ed,45_54,medium,item_drug_AZITHROMYCIN,AZITHROMYCIN,3,0.0234171297109404
non_opioid_ed,45_54,medium,item_drug_CLARITHROMYCIN,CLARITHROMYCIN,20,0.001120131880065
non_opioid_ed,45_54,medium,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,7,0.0107026758710457
non_opioid_ed,45_54,medium,item_drug_GABAPENTIN,GABAPENTIN,16,0.0020863664564737
non_opioid_ed,45_54,medium,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,11,0.0040461958234715
non_opioid_ed,45_54,medium,item_drug_IBUPROFEN,IBUPROFEN,4,0.0212986766891212
non_opioid_ed,45_54,medium,item_drug_KETOCONAZOLE,KETOCONAZOLE,9,0.0068821943620893
non_opioid_ed,45_54,medium,item_drug_LISINOPRIL,LISINOPRIL,5,0.0187189282066587
non_opioid_ed,45_54,medium,item_drug_METRONIDAZOLE,METRONIDAZOLE,8,0.0089632651483228
non_opioid_ed,45_54,medium,item_drug_MUPIROCIN,MUPIROCIN,17,0.0018521424143654
non_opioid_ed,45_54,medium,item_drug_NAPROXEN,NAPROXEN,18,0.0017838674828016
non_opioid_ed,45_54,medium,item_drug_OMEPRAZOLE,OMEPRAZOLE,10,0.0042306169549147
non_opioid_ed,45_54,medium,item_drug_PREDNISONE,PREDNISONE,12,0.0038217209399263
non_opioid_ed,45_54,medium,item_drug_SIMVASTATIN,SIMVASTATIN,13,0.0034396960818039
non_opioid_ed,45_54,medium,item_drug_TOPIRAMATE,TOPIRAMATE,19,0.0012273307005485
non_opioid_ed,45_54,extreme,item_drug_ALPRAZOLAM,ALPRAZOLAM,16,0.0045146268216952
non_opioid_ed,45_54,extreme,item_drug_AMOXICILLIN,AMOXICILLIN,6,0.0124446210930634
non_opioid_ed,45_54,extreme,item_drug_ATENOLOL,ATENOLOL,15,0.005220940983045
non_opioid_ed,45_54,extreme,item_drug_AZITHROMYCIN,AZITHROMYCIN,4,0.0207577356936514
non_opioid_ed,45_54,extreme,item_drug_CARVEDILOL,CARVEDILOL,20,0.0024559299388462
non_opioid_ed,45_54,extreme,item_drug_CLONAZEPAM,CLONAZEPAM,10,0.0088230303845108
non_opioid_ed,45_54,extreme,item_drug_DIAZEPAM,DIAZEPAM,13,0.0058840204830685
non_opioid_ed,45_54,extreme,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,12,0.0081342258215695
non_opioid_ed,45_54,extreme,item_drug_GABAPENTIN,GABAPENTIN,8,0.0112756535506474
non_opioid_ed,45_54,extreme,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,17,0.0041440055327427
non_opioid_ed,45_54,extreme,item_drug_IBUPROFEN,IBUPROFEN,5,0.0200138658408266
non_opioid_ed,45_54,extreme,item_drug_KETOCONAZOLE,KETOCONAZOLE,11,0.0085710831021367
non_opioid_ed,45_54,extreme,item_drug_LISINOPRIL,LISINOPRIL,2,0.0242166321327958
non_opioid_ed,45_54,extreme,item_drug_METRONIDAZOLE,METRONIDAZOLE,9,0.0101518422039559
non_opioid_ed,45_54,extreme,item_drug_MUPIROCIN,MUPIROCIN,19,0.0030978422362415
non_opioid_ed,45_54,extreme,item_drug_OMEPRAZOLE,OMEPRAZOLE,7,0.0123284415207035
non_opioid_ed,45_54,extreme,item_drug_PREDNISONE,PREDNISONE,14,0.0056742744064376
non_opioid_ed,45_54,extreme,item_drug_SIMVASTATIN,SIMVASTATIN,18,0.0035120692780929
non_opioid_ed,45_54,high,item_drug_ALPRAZOLAM,ALPRAZOLAM,15,0.0041924956730183
non_opioid_ed,45_54,high,item_drug_AMOXICILLIN,AMOXICILLIN,6,0.01600959496354
non_opioid_ed,45_54,high,item_drug_ATENOLOL,ATENOLOL,12,0.0050430404472278
non_opioid_ed,45_54,high,item_drug_AZITHROMYCIN,AZITHROMYCIN,3,0.026584864003848
non_opioid_ed,45_54,high,item_drug_CLONAZEPAM,CLONAZEPAM,17,0.0038593117601924
non_opioid_ed,45_54,high,item_drug_DIAZEPAM,DIAZEPAM,18,0.0033425916321371
non_opioid_ed,45_54,high,item_drug_ERYTHROMYCIN,ERYTHROMYCIN,8,0.0106666654075963
non_opioid_ed,45_54,high,item_drug_GABAPENTIN,GABAPENTIN,11,0.0050710642746932
non_opioid_ed,45_54,high,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,13,0.0045592343553695
non_opioid_ed,45_54,high,item_drug_IBUPROFEN,IBUPROFEN,4,0.025274776393671
non_opioid_ed,45_54,high,item_drug_KETOCONAZOLE,KETOCONAZOLE,10,0.0075682205267235
non_opioid_ed,45_54,high,item_drug_LISINOPRIL,LISINOPRIL,5,0.0235810737033094
non_opioid_ed,45_54,high,item_drug_METRONIDAZOLE,METRONIDAZOLE,7,0.011342833734671
